iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-6998.94	-4.807	-6994.133	0.155	0.509	197.729	2.21
10		0.011	-6834.15	-4.672	-6829.478	0.142	0.535	200.933	2.11
20		0.02	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
30		0.03	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
40		0.04	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
50		0.049	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
60		0.059	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
70		0.069	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
80		0.078	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
90		0.088	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
100		0.098	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
110		0.107	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
120		0.117	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
130		0.126	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
140		0.136	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
150		0.145	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
160		0.155	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
170		0.165	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
180		0.174	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
190		0.184	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
200		0.193	-6809.008	-4.805	-6804.203	0.172	0.557	198.365	2.119
210		0.203	-6803.34	-4.712	-6798.627	0.156	0.566	196.932	2.079
220		0.213	-6791.078	-4.824	-6786.254	0.169	0.6	195.507	2.138
230		0.222	-6785.666	-4.758	-6780.908	0.17	0.594	194.147	2.028
240		0.232	-6785.666	-4.758	-6780.908	0.17	0.594	194.147	2.028
250		0.242	-6787.246	-4.805	-6782.442	0.177	0.577	194.513	2.041
260		0.251	-6756.813	-5.023	-6751.79	0.213	0.594	197.725	2.013
270		0.261	-6756.813	-5.023	-6751.79	0.213	0.594	197.725	2.013
280		0.27	-6756.813	-5.023	-6751.79	0.213	0.594	197.725	2.013
290		0.28	-6756.813	-5.023	-6751.79	0.213	0.594	197.725	2.013
300		0.289	-6756.813	-5.023	-6751.79	0.213	0.594	197.725	2.013
310		0.299	-6756.813	-5.023	-6751.79	0.213	0.594	197.725	2.013
320		0.309	-6756.813	-5.023	-6751.79	0.213	0.594	197.725	2.013
330		0.318	-6756.813	-5.023	-6751.79	0.213	0.594	197.725	2.013
