iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-5215.013	-5.051	-5209.961	0.107	0.176	248.916	2.505
10		0.011	-5105.784	-4.97	-5100.814	0.125	0.203	250.487	2.474
20		0.02	-5050.387	-5.001	-5045.385	0.139	0.243	250.034	2.496
30		0.03	-5050.387	-5.001	-5045.385	0.139	0.243	250.034	2.496
40		0.04	-5032.644	-5.09	-5027.554	0.111	0.259	246.424	2.56
50		0.05	-5032.644	-5.09	-5027.554	0.111	0.259	246.424	2.56
60		0.059	-5032.644	-5.09	-5027.554	0.111	0.259	246.424	2.56
70		0.069	-5018.93	-5.143	-5013.787	0.095	0.301	246.687	2.558
80		0.079	-5018.93	-5.143	-5013.787	0.095	0.301	246.687	2.558
90		0.089	-4989.372	-5.001	-4984.37	0.109	0.314	246.882	2.503
100		0.098	-4989.372	-5.001	-4984.37	0.109	0.314	246.882	2.503
110		0.108	-4965.509	-5.081	-4960.428	0.115	0.351	245.477	2.569
120		0.118	-4965.509	-5.081	-4960.428	0.115	0.351	245.477	2.569
130		0.128	-4965.509	-5.081	-4960.428	0.115	0.351	245.477	2.569
140		0.137	-4940.115	-5.079	-4935.036	0.126	0.373	243.082	2.574
150		0.147	-4940.115	-5.079	-4935.036	0.126	0.373	243.082	2.574
160		0.157	-4939.439	-5.31	-4934.129	0.185	0.369	240.429	2.585
170		0.167	-4919.91	-5.297	-4914.613	0.199	0.393	235.978	2.511
180		0.176	-4919.91	-5.297	-4914.613	0.199	0.393	235.978	2.511
190		0.186	-4912.799	-5.275	-4907.525	0.179	0.435	234.049	2.588
200		0.196	-4907.501	-5.303	-4902.199	0.154	0.443	231.862	2.678
210		0.206	-4903.058	-5.324	-4897.734	0.113	0.453	236.436	2.721
220		0.215	-4883.233	-5.26	-4877.973	0.117	0.46	242.594	2.689
230		0.225	-4869.353	-5.267	-4864.086	0.116	0.484	241.72	2.692
240		0.235	-4844.43	-5.087	-4839.343	0.104	0.526	238.438	2.556
250		0.245	-4832.817	-5.266	-4827.551	0.071	0.588	235.001	2.501
260		0.255	-4778.894	-5.398	-4773.496	0.06	0.665	234.236	2.459
270		0.264	-4778.894	-5.398	-4773.496	0.06	0.665	234.236	2.459
280		0.274	-4778.894	-5.398	-4773.496	0.06	0.665	234.236	2.459
290		0.284	-4768.204	-5.27	-4762.934	0.071	0.673	234.648	2.497
300		0.293	-4768.204	-5.27	-4762.934	0.071	0.673	234.648	2.497
310		0.303	-4768.204	-5.27	-4762.934	0.071	0.673	234.648	2.497
320		0.313	-4768.204	-5.27	-4762.934	0.071	0.673	234.648	2.497
330		0.323	-4759.567	-5.007	-4754.56	0.115	0.693	236.027	2.508
340		0.332	-4759.567	-5.007	-4754.56	0.115	0.693	236.027	2.508
350		0.342	-4744.569	-5.036	-4739.532	0.111	0.715	231.628	2.516
360		0.352	-4744.569	-5.036	-4739.532	0.111	0.715	231.628	2.516
370		0.362	-4744.569	-5.036	-4739.532	0.111	0.715	231.628	2.516
380		0.371	-4744.569	-5.036	-4739.532	0.111	0.715	231.628	2.516
390		0.381	-4744.569	-5.036	-4739.532	0.111	0.715	231.628	2.516
400		0.391	-4744.569	-5.036	-4739.532	0.111	0.715	231.628	2.516
410		0.401	-4734.73	-5.136	-4729.594	0.119	0.755	232.968	2.588
420		0.411	-4727.254	-5.114	-4722.14	0.149	0.765	236.28	2.55
430		0.42	-4725.746	-5.24	-4720.506	0.163	0.812	236.094	2.589
440		0.43	-4707.41	-5.718	-4701.692	0.205	0.794	235.106	2.727
450		0.44	-4707.41	-5.718	-4701.692	0.205	0.794	235.106	2.727
460		0.45	-4707.41	-5.718	-4701.692	0.205	0.794	235.106	2.727
470		0.459	-4707.41	-5.718	-4701.692	0.205	0.794	235.106	2.727
480		0.469	-4702.711	-5.343	-4697.368	0.165	0.814	237.716	2.649
490		0.479	-4702.711	-5.343	-4697.368	0.165	0.814	237.716	2.649
500		0.489	-4702.711	-5.343	-4697.368	0.165	0.814	237.716	2.649
510		0.498	-4697.757	-5.341	-4692.416	0.149	0.828	236.027	2.681
520		0.508	-4692.674	-5.476	-4687.198	0.13	0.833	235.565	2.78
530		0.518	-4692.674	-5.476	-4687.198	0.13	0.833	235.565	2.78
540		0.528	-4687.311	-5.747	-4681.563	0.068	0.871	243.203	2.735
550		0.537	-4687.311	-5.747	-4681.563	0.068	0.871	243.203	2.735
560		0.547	-4687.311	-5.747	-4681.563	0.068	0.871	243.203	2.735
570		0.557	-4687.311	-5.747	-4681.563	0.068	0.871	243.203	2.735
580		0.567	-4687.311	-5.747	-4681.563	0.068	0.871	243.203	2.735
590		0.576	-4677.048	-5.584	-4671.464	0.087	0.899	244.032	2.747
600		0.586	-4677.048	-5.584	-4671.464	0.087	0.899	244.032	2.747
610		0.596	-4677.048	-5.584	-4671.464	0.087	0.899	244.032	2.747
620		0.606	-4677.048	-5.584	-4671.464	0.087	0.899	244.032	2.747
630		0.616	-4676.844	-5.641	-4671.203	0.072	0.904	243.01	2.693
640		0.625	-4676.844	-5.641	-4671.203	0.072	0.904	243.01	2.693
650		0.635	-4676.844	-5.641	-4671.203	0.072	0.904	243.01	2.693
660		0.645	-4664.969	-5.834	-4659.135	0.055	0.94	244.522	2.61
670		0.655	-4664.969	-5.834	-4659.135	0.055	0.94	244.522	2.61
680		0.664	-4664.969	-5.834	-4659.135	0.055	0.94	244.522	2.61
690		0.674	-4664.969	-5.834	-4659.135	0.055	0.94	244.522	2.61
700		0.684	-4664.969	-5.834	-4659.135	0.055	0.94	244.522	2.61
710		0.693	-4664.969	-5.834	-4659.135	0.055	0.94	244.522	2.61
720		0.703	-4664.969	-5.834	-4659.135	0.055	0.94	244.522	2.61
730		0.713	-4664.969	-5.834	-4659.135	0.055	0.94	244.522	2.61
740		0.723	-4664.969	-5.834	-4659.135	0.055	0.94	244.522	2.61
750		0.732	-4655.107	-5.331	-4649.777	0.103	0.967	243.928	2.583
760		0.742	-4655.107	-5.331	-4649.777	0.103	0.967	243.928	2.583
770		0.752	-4652.927	-5.251	-4647.676	0.108	0.974	243.973	2.524
780		0.762	-4652.927	-5.251	-4647.676	0.108	0.974	243.973	2.524
790		0.771	-4652.927	-5.251	-4647.676	0.108	0.974	243.973	2.524
800		0.781	-4652.927	-5.251	-4647.676	0.108	0.974	243.973	2.524
810		0.791	-4652.927	-5.251	-4647.676	0.108	0.974	243.973	2.524
820		0.801	-4652.927	-5.251	-4647.676	0.108	0.974	243.973	2.524
830		0.811	-4652.927	-5.251	-4647.676	0.108	0.974	243.973	2.524
840		0.82	-4652.927	-5.251	-4647.676	0.108	0.974	243.973	2.524
850		0.83	-4652.927	-5.251	-4647.676	0.108	0.974	243.973	2.524
860		0.84	-4652.927	-5.251	-4647.676	0.108	0.974	243.973	2.524
870		0.85	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
880		0.859	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
890		0.869	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
900		0.879	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
910		0.889	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
920		0.898	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
930		0.908	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
940		0.918	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
950		0.928	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
960		0.938	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
970		0.947	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
980		0.957	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
990		0.967	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
1000		0.977	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
1010		0.986	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
1020		0.996	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
1030		1.006	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
1040		1.016	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
1050		1.025	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
1060		1.035	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
1070		1.045	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
1080		1.054	-4646.93	-5.35	-4641.58	0.108	0.991	243.81	2.52
1090		1.064	-4647.008	-5.496	-4641.512	0.122	0.994	247.354	2.606
1100		1.074	-4645.718	-5.876	-4639.842	0.134	1.0	249.351	2.646
1110		1.084	-4645.718	-5.876	-4639.842	0.134	1.0	249.351	2.646
1120		1.093	-4645.718	-5.876	-4639.842	0.134	1.0	249.351	2.646
1130		1.103	-4645.718	-5.876	-4639.842	0.134	1.0	249.351	2.646
1140		1.113	-4645.718	-5.876	-4639.842	0.134	1.0	249.351	2.646
1150		1.122	-4645.718	-5.876	-4639.842	0.134	1.0	249.351	2.646
1160		1.132	-4645.718	-5.876	-4639.842	0.134	1.0	249.351	2.646
1170		1.142	-4645.718	-5.876	-4639.842	0.134	1.0	249.351	2.646
1180		1.151	-4645.718	-5.876	-4639.842	0.134	1.0	249.351	2.646
1190		1.161	-4645.718	-5.876	-4639.842	0.134	1.0	249.351	2.646
1200		1.171	-4645.718	-5.876	-4639.842	0.134	1.0	249.351	2.646
1210		1.181	-4645.718	-5.876	-4639.842	0.134	1.0	249.351	2.646
1220		1.19	-4645.718	-5.876	-4639.842	0.134	1.0	249.351	2.646
1230		1.2	-4648.284	-5.412	-4642.872	0.147	0.988	247.122	2.577
1240		1.21	-4648.284	-5.412	-4642.872	0.147	0.988	247.122	2.577
1250		1.219	-4648.284	-5.412	-4642.872	0.147	0.988	247.122	2.577
1260		1.229	-4648.284	-5.412	-4642.872	0.147	0.988	247.122	2.577
1270		1.239	-4648.284	-5.412	-4642.872	0.147	0.988	247.122	2.577
1280		1.249	-4648.284	-5.412	-4642.872	0.147	0.988	247.122	2.577
1290		1.258	-4648.284	-5.412	-4642.872	0.147	0.988	247.122	2.577
1300		1.268	-4648.284	-5.412	-4642.872	0.147	0.988	247.122	2.577
1310		1.278	-4645.148	-5.599	-4639.549	0.14	0.996	248.571	2.643
1320		1.287	-4645.148	-5.599	-4639.549	0.14	0.996	248.571	2.643
1330		1.297	-4645.148	-5.599	-4639.549	0.14	0.996	248.571	2.643
1340		1.307	-4645.148	-5.599	-4639.549	0.14	0.996	248.571	2.643
