iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-3995.294	-5.323	-3989.971	0.178	0.02	176.631	2.218
10		0.011	-3842.481	-5.706	-3836.776	0.236	0.145	176.638	2.326
20		0.021	-3760.93	-5.726	-3755.204	0.243	0.258	176.472	2.319
30		0.031	-3674.754	-5.722	-3669.032	0.226	0.421	161.335	2.35
40		0.041	-3622.08	-5.554	-3616.526	0.22	0.612	162.115	2.252
50		0.05	-3617.741	-5.421	-3612.32	0.197	0.644	160.905	2.287
60		0.06	-3615.132	-5.574	-3609.558	0.206	0.689	157.551	2.319
70		0.07	-3612.295	-5.846	-3606.45	0.248	0.79	162.177	2.231
80		0.08	-3603.163	-4.974	-3598.19	0.157	0.8	166.277	2.05
90		0.09	-3604.627	-5.551	-3599.077	0.246	0.772	169.33	1.951
100		0.1	-3607.351	-5.384	-3601.967	0.217	0.764	171.506	2.171
110		0.11	-3605.658	-5.621	-3600.037	0.245	0.771	171.568	2.125
120		0.12	-3603.862	-5.596	-3598.265	0.244	0.773	169.247	2.075
130		0.129	-3604.886	-6.24	-3598.646	0.298	0.755	164.779	2.029
140		0.139	-3602.46	-5.862	-3596.598	0.265	0.785	161.649	1.988
150		0.149	-3600.872	-4.904	-3595.967	0.108	0.78	164.202	1.969
160		0.159	-3600.872	-4.904	-3595.967	0.108	0.78	164.202	1.969
170		0.169	-3598.454	-4.914	-3593.54	0.119	0.797	159.79	1.905
180		0.179	-3597.811	-6.604	-3591.208	0.026	0.779	156.0	1.804
190		0.189	-3593.113	-5.172	-3587.941	0.073	0.778	159.029	1.761
200		0.199	-3588.616	-5.301	-3583.315	0.07	0.793	154.641	1.647
210		0.209	-3584.838	-5.09	-3579.749	0.118	0.78	149.434	1.589
220		0.219	-3575.813	-5.594	-3570.219	0.198	0.808	145.599	1.44
230		0.229	-3566.517	-5.752	-3560.766	0.184	0.807	145.877	1.28
240		0.239	-3554.238	-5.806	-3548.432	0.115	0.836	144.628	1.184
250		0.249	-3532.194	-6.746	-3525.448	0.13	0.876	136.632	0.953
260		0.259	-3514.002	-7.93	-3506.072	0.181	0.957	131.081	0.801
