iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-5067.289	-6.056	-5061.233	0.163	0.755	461.681	1.344
10		0.011	-4979.021	-5.982	-4973.039	0.163	0.762	459.511	1.378
20		0.02	-4971.283	-5.901	-4965.382	0.155	0.734	458.236	1.399
30		0.03	-4971.283	-5.901	-4965.382	0.155	0.734	458.236	1.399
40		0.04	-4971.283	-5.901	-4965.382	0.155	0.734	458.236	1.399
50		0.05	-4971.283	-5.901	-4965.382	0.155	0.734	458.236	1.399
60		0.059	-4960.826	-6.135	-4954.691	0.205	0.797	453.605	1.428
70		0.069	-4943.907	-6.56	-4937.348	0.239	0.819	456.635	1.367
80		0.079	-4936.99	-6.755	-4930.235	0.261	0.829	455.642	1.389
90		0.088	-4931.756	-6.947	-4924.808	0.279	0.838	456.391	1.414
100		0.098	-4931.756	-6.947	-4924.808	0.279	0.838	456.391	1.414
110		0.108	-4931.756	-6.947	-4924.808	0.279	0.838	456.391	1.414
120		0.118	-4931.756	-6.947	-4924.808	0.279	0.838	456.391	1.414
130		0.127	-4931.756	-6.947	-4924.808	0.279	0.838	456.391	1.414
140		0.137	-4931.756	-6.947	-4924.808	0.279	0.838	456.391	1.414
150		0.147	-4931.756	-6.947	-4924.808	0.279	0.838	456.391	1.414
160		0.157	-4927.643	-6.85	-4920.794	0.272	0.845	453.391	1.409
170		0.166	-4927.089	-6.955	-4920.134	0.275	0.856	450.654	1.348
180		0.176	-4927.089	-6.955	-4920.134	0.275	0.856	450.654	1.348
190		0.186	-4919.725	-7.057	-4912.668	0.287	0.874	450.749	1.382
200		0.196	-4910.702	-6.545	-4904.157	0.243	0.896	452.83	1.411
210		0.205	-4893.283	-6.367	-4886.916	0.219	0.949	450.528	1.412
220		0.215	-4891.177	-6.317	-4884.86	0.203	0.982	452.533	1.438
230		0.225	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
240		0.235	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
250		0.244	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
260		0.254	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
270		0.264	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
280		0.273	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
290		0.283	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
300		0.293	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
310		0.303	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
320		0.312	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
330		0.322	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
340		0.332	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
350		0.341	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
360		0.351	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
370		0.361	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
380		0.37	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
390		0.38	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
400		0.389	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
410		0.399	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
420		0.409	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
430		0.419	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
440		0.428	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
450		0.438	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
460		0.448	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
470		0.458	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
480		0.467	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
490		0.477	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
500		0.487	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
510		0.497	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
520		0.506	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
530		0.516	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
540		0.526	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
550		0.535	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
560		0.545	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
570		0.555	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
580		0.565	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
590		0.574	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
600		0.584	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
610		0.594	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
620		0.603	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
630		0.613	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
640		0.623	-4881.972	-6.859	-4875.114	0.221	0.999	453.691	1.397
