iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-3874.702	-4.626	-3870.076	0.102	0.877	290.269	1.927
10		0.011	-3865.721	-4.923	-3860.798	0.07	0.91	291.293	1.941
20		0.02	-3847.123	-5.387	-3841.736	0.054	0.98	295.548	2.019
30		0.03	-3844.319	-4.937	-3839.382	0.092	0.977	290.422	2.113
40		0.04	-3839.909	-4.926	-3834.983	0.125	0.987	287.7	2.156
50		0.05	-3838.97	-5.109	-3833.861	0.087	0.992	285.668	2.164
60		0.059	-3838.97	-5.109	-3833.861	0.087	0.992	285.668	2.164
70		0.069	-3841.172	-6.25	-3834.923	0.036	0.998	288.944	2.149
80		0.079	-3841.172	-6.25	-3834.923	0.036	0.998	288.944	2.149
90		0.089	-3840.721	-5.455	-3835.267	0.057	0.989	286.068	2.145
100		0.099	-3839.149	-5.521	-3833.628	0.056	0.995	286.708	2.098
110		0.108	-3838.418	-5.301	-3833.118	0.067	0.994	284.653	2.109
120		0.118	-3837.091	-4.961	-3832.129	0.133	0.993	283.756	2.133
130		0.128	-3834.459	-5.079	-3829.381	0.171	0.995	279.574	2.098
140		0.137	-3834.669	-4.992	-3829.677	0.145	0.995	279.574	2.106
150		0.147	-3836.724	-5.336	-3831.388	0.07	0.997	281.709	2.121
160		0.157	-3838.619	-5.312	-3833.307	0.068	0.995	285.261	2.121
170		0.167	-3842.011	-5.114	-3836.897	0.077	0.982	284.954	2.168
180		0.177	-3840.659	-5.174	-3835.485	0.076	0.99	287.472	2.151
190		0.186	-3838.862	-5.239	-3833.623	0.086	0.997	288.064	2.204
200		0.196	-3838.862	-5.239	-3833.623	0.086	0.997	288.064	2.204
210		0.206	-3838.143	-4.999	-3833.144	0.12	0.996	289.391	2.101
220		0.216	-3840.184	-5.02	-3835.163	0.17	0.983	287.698	2.151
230		0.225	-3839.204	-5.174	-3834.029	0.182	0.99	288.815	2.195
240		0.235	-3838.52	-5.375	-3833.146	0.2	0.994	289.431	2.217
250		0.245	-3838.52	-5.375	-3833.146	0.2	0.994	289.431	2.217
260		0.254	-3837.496	-5.386	-3832.11	0.187	0.999	291.032	2.177
270		0.264	-3835.402	-5.465	-3829.936	0.207	0.998	285.916	2.127
280		0.274	-3835.05	-5.384	-3829.666	0.199	0.999	285.273	2.073
290		0.284	-3835.05	-5.384	-3829.666	0.199	0.999	285.273	2.073
300		0.293	-3835.05	-5.384	-3829.666	0.199	0.999	285.273	2.073
310		0.303	-3834.466	-5.667	-3828.8	0.225	0.999	282.188	2.141
320		0.313	-3834.466	-5.667	-3828.8	0.225	0.999	282.188	2.141
330		0.323	-3834.466	-5.667	-3828.8	0.225	0.999	282.188	2.141
340		0.332	-3834.993	-5.029	-3829.964	0.132	0.998	281.494	2.078
350		0.342	-3833.362	-5.15	-3828.212	0.1	0.999	277.059	1.993
360		0.352	-3833.362	-5.15	-3828.212	0.1	0.999	277.059	1.993
370		0.362	-3833.362	-5.15	-3828.212	0.1	0.999	277.059	1.993
380		0.371	-3833.362	-5.15	-3828.212	0.1	0.999	277.059	1.993
390		0.381	-3833.88	-4.985	-3828.895	0.1	0.996	275.789	2.05
400		0.391	-3835.916	-5.673	-3830.243	0.045	0.992	272.213	2.013
410		0.4	-3833.216	-4.97	-3828.246	0.104	0.997	275.078	2.017
420		0.41	-3833.216	-4.97	-3828.246	0.104	0.997	275.078	2.017
430		0.42	-3833.476	-5.263	-3828.213	0.075	0.999	275.037	2.023
440		0.43	-3833.476	-5.263	-3828.213	0.075	0.999	275.037	2.023
450		0.439	-3833.184	-5.201	-3827.983	0.088	0.999	276.981	1.964
460		0.449	-3832.91	-4.817	-3828.094	0.143	0.99	271.173	1.979
470		0.459	-3829.791	-5.101	-3824.69	0.176	0.998	270.179	1.919
480		0.469	-3829.791	-5.101	-3824.69	0.176	0.998	270.179	1.919
490		0.478	-3829.791	-5.101	-3824.69	0.176	0.998	270.179	1.919
500		0.488	-3829.791	-5.101	-3824.69	0.176	0.998	270.179	1.919
510		0.497	-3829.791	-5.101	-3824.69	0.176	0.998	270.179	1.919
520		0.507	-3829.791	-5.101	-3824.69	0.176	0.998	270.179	1.919
530		0.517	-3831.062	-4.979	-3826.082	0.139	0.998	271.277	1.978
540		0.527	-3831.062	-4.979	-3826.082	0.139	0.998	271.277	1.978
550		0.536	-3828.883	-4.973	-3823.909	0.116	0.999	264.869	1.938
560		0.546	-3830.149	-4.83	-3825.319	0.142	0.993	265.246	1.934
570		0.556	-3829.484	-4.908	-3824.577	0.147	0.996	266.44	1.922
580		0.566	-3829.317	-4.852	-3824.465	0.117	0.995	262.422	1.942
590		0.575	-3829.884	-4.806	-3825.078	0.122	0.992	261.608	1.954
600		0.585	-3830.038	-4.829	-3825.209	0.138	0.992	262.065	1.98
610		0.595	-3829.536	-4.772	-3824.764	0.112	0.991	260.381	1.859
620		0.604	-3827.542	-5.017	-3822.525	0.128	0.999	259.617	1.927
630		0.614	-3827.542	-5.017	-3822.525	0.128	0.999	259.617	1.927
640		0.624	-3827.542	-5.017	-3822.525	0.128	0.999	259.617	1.927
650		0.634	-3827.542	-5.017	-3822.525	0.128	0.999	259.617	1.927
660		0.643	-3827.542	-5.017	-3822.525	0.128	0.999	259.617	1.927
670		0.653	-3827.542	-5.017	-3822.525	0.128	0.999	259.617	1.927
680		0.663	-3828.417	-4.827	-3823.59	0.137	0.994	257.763	1.947
690		0.673	-3828.161	-4.799	-3823.362	0.154	0.989	254.88	1.903
700		0.682	-3826.371	-4.874	-3821.498	0.159	0.994	253.607	1.882
710		0.692	-3825.567	-5.408	-3820.159	0.235	0.993	252.127	1.854
720		0.702	-3825.543	-5.445	-3820.098	0.242	0.991	251.512	1.855
730		0.711	-3825.376	-5.573	-3819.803	0.248	0.995	252.524	1.878
740		0.721	-3825.376	-5.573	-3819.803	0.248	0.995	252.524	1.878
750		0.731	-3825.376	-5.573	-3819.803	0.248	0.995	252.524	1.878
760		0.741	-3825.376	-5.573	-3819.803	0.248	0.995	252.524	1.878
770		0.75	-3824.912	-5.611	-3819.301	0.25	0.996	252.435	1.88
780		0.76	-3825.682	-5.552	-3820.13	0.253	0.99	251.911	1.805
790		0.77	-3822.658	-5.303	-3817.355	0.211	0.998	249.338	1.695
800		0.78	-3822.658	-5.303	-3817.355	0.211	0.998	249.338	1.695
810		0.79	-3823.183	-5.497	-3817.686	0.241	0.994	246.993	1.673
820		0.8	-3823.354	-5.861	-3817.493	0.273	0.996	247.001	1.824
830		0.81	-3822.73	-5.748	-3816.982	0.256	0.998	246.671	1.81
840		0.82	-3823.307	-6.104	-3817.203	0.285	0.998	247.811	1.846
850		0.829	-3823.307	-6.104	-3817.203	0.285	0.998	247.811	1.846
860		0.839	-3823.605	-6.173	-3817.432	0.289	0.999	248.944	1.871
870		0.849	-3823.605	-6.173	-3817.432	0.289	0.999	248.944	1.871
880		0.859	-3824.615	-6.501	-3818.114	0.319	0.997	253.279	1.765
890		0.868	-3824.54	-6.366	-3818.174	0.312	0.995	251.742	1.727
900		0.878	-3824.54	-6.366	-3818.174	0.312	0.995	251.742	1.727
910		0.888	-3824.54	-6.366	-3818.174	0.312	0.995	251.742	1.727
920		0.897	-3824.54	-6.366	-3818.174	0.312	0.995	251.742	1.727
930		0.907	-3825.347	-6.029	-3819.319	0.293	0.989	249.149	1.686
940		0.917	-3822.792	-6.061	-3816.731	0.286	0.997	249.161	1.743
950		0.927	-3822.792	-6.061	-3816.731	0.286	0.997	249.161	1.743
960		0.936	-3824.11	-5.652	-3818.458	0.26	0.993	248.111	1.808
970		0.946	-3824.11	-5.652	-3818.458	0.26	0.993	248.111	1.808
980		0.956	-3822.936	-5.771	-3817.165	0.26	0.998	248.186	1.796
990		0.966	-3826.34	-5.404	-3820.936	0.24	0.989	251.256	1.85
1000		0.975	-3825.491	-5.5	-3819.991	0.239	0.996	252.403	1.907
1010		0.985	-3824.524	-5.149	-3819.375	0.198	0.996	252.356	1.829
1020		0.995	-3823.095	-4.864	-3818.23	0.142	0.996	247.32	1.729
1030		1.004	-3824.113	-4.884	-3819.229	0.167	0.992	248.547	1.719
1040		1.014	-3822.776	-4.901	-3817.875	0.149	0.997	246.774	1.702
1050		1.024	-3822.544	-5.012	-3817.532	0.179	0.996	246.534	1.71
1060		1.034	-3822.918	-4.864	-3818.054	0.153	0.995	246.323	1.72
1070		1.044	-3822.137	-5.202	-3816.935	0.208	0.995	244.595	1.747
1080		1.053	-3822.321	-5.215	-3817.106	0.217	0.991	241.607	1.733
1090		1.063	-3822.762	-5.747	-3817.015	0.27	0.991	242.157	1.762
1100		1.073	-3819.951	-5.383	-3814.568	0.212	0.999	239.816	1.685
1110		1.083	-3819.951	-5.383	-3814.568	0.212	0.999	239.816	1.685
1120		1.092	-3821.829	-4.868	-3816.962	0.151	0.994	242.588	1.686
1130		1.102	-3822.802	-4.949	-3817.853	0.162	0.996	247.736	1.68
1140		1.112	-3822.802	-4.949	-3817.853	0.162	0.996	247.736	1.68
1150		1.121	-3822.802	-4.949	-3817.853	0.162	0.996	247.736	1.68
1160		1.131	-3822.587	-4.996	-3817.591	0.166	0.998	246.862	1.744
1170		1.141	-3823.136	-5.1	-3818.036	0.197	0.995	246.459	1.765
1180		1.15	-3824.057	-5.156	-3818.901	0.209	0.993	247.899	1.779
1190		1.16	-3823.595	-5.103	-3818.493	0.202	0.993	246.902	1.777
1200		1.17	-3825.864	-4.835	-3821.029	0.169	0.987	245.39	1.836
1210		1.179	-3823.506	-4.896	-3818.61	0.098	0.996	242.282	1.805
1220		1.189	-3823.601	-4.779	-3818.822	0.115	0.992	241.24	1.785
1230		1.199	-3823.844	-5.091	-3818.754	0.073	0.996	241.648	1.783
1240		1.208	-3823.844	-5.091	-3818.754	0.073	0.996	241.648	1.783
1250		1.218	-3823.844	-5.091	-3818.754	0.073	0.996	241.648	1.783
1260		1.228	-3823.844	-5.091	-3818.754	0.073	0.996	241.648	1.783
1270		1.237	-3824.014	-5.3	-3818.714	0.058	0.991	238.518	1.648
1280		1.247	-3824.014	-5.3	-3818.714	0.058	0.991	238.518	1.648
1290		1.257	-3824.319	-5.292	-3819.027	0.071	0.997	241.5	1.517
1300		1.267	-3825.604	-5.136	-3820.468	0.081	0.994	241.219	1.479
1310		1.276	-3825.604	-5.136	-3820.468	0.081	0.994	241.219	1.479
1320		1.286	-3825.604	-5.136	-3820.468	0.081	0.994	241.219	1.479
1330		1.296	-3825.604	-5.136	-3820.468	0.081	0.994	241.219	1.479
1340		1.306	-3820.847	-5.007	-3815.84	0.12	0.995	232.446	1.456
1350		1.316	-3818.363	-4.95	-3813.413	0.137	0.996	231.128	1.553
1360		1.325	-3818.363	-4.95	-3813.413	0.137	0.996	231.128	1.553
1370		1.335	-3817.903	-5.075	-3812.828	0.115	0.996	225.875	1.449
1380		1.345	-3817.903	-5.075	-3812.828	0.115	0.996	225.875	1.449
1390		1.355	-3818.155	-4.942	-3813.213	0.139	0.988	222.515	1.47
1400		1.365	-3816.792	-5.03	-3811.762	0.167	0.99	221.375	1.496
1410		1.374	-3814.288	-5.208	-3809.08	0.165	0.998	219.976	1.488
1420		1.384	-3814.288	-5.208	-3809.08	0.165	0.998	219.976	1.488
1430		1.394	-3814.288	-5.208	-3809.08	0.165	0.998	219.976	1.488
1440		1.404	-3815.39	-5.276	-3810.113	0.185	0.997	222.368	1.47
1450		1.413	-3817.529	-5.055	-3812.475	0.106	0.996	224.219	1.474
1460		1.423	-3817.529	-5.055	-3812.475	0.106	0.996	224.219	1.474
1470		1.433	-3816.77	-5.134	-3811.636	0.106	0.996	220.997	1.426
1480		1.443	-3815.67	-5.123	-3810.546	0.12	0.997	219.692	1.436
1490		1.452	-3815.67	-5.123	-3810.546	0.12	0.997	219.692	1.436
1500		1.462	-3816.297	-5.31	-3810.987	0.116	0.999	218.229	1.37
1510		1.472	-3817.486	-5.156	-3812.329	0.191	0.995	220.189	1.595
1520		1.482	-3816.894	-5.264	-3811.63	0.196	0.997	221.422	1.59
1530		1.491	-3816.894	-5.264	-3811.63	0.196	0.997	221.422	1.59
1540		1.501	-3815.049	-5.505	-3809.544	0.225	0.997	222.807	1.549
1550		1.511	-3815.049	-5.505	-3809.544	0.225	0.997	222.807	1.549
1560		1.521	-3815.049	-5.505	-3809.544	0.225	0.997	222.807	1.549
1570		1.53	-3817.975	-5.507	-3812.468	0.238	0.993	217.091	1.632
1580		1.54	-3813.643	-6.021	-3807.623	0.268	0.995	216.76	1.464
1590		1.549	-3814.52	-6.259	-3808.261	0.29	0.995	218.123	1.478
1600		1.559	-3813.852	-5.982	-3807.87	0.248	0.999	219.249	1.455
1610		1.568	-3813.852	-5.982	-3807.87	0.248	0.999	219.249	1.455
1620		1.578	-3813.852	-5.982	-3807.87	0.248	0.999	219.249	1.455
1630		1.588	-3813.852	-5.982	-3807.87	0.248	0.999	219.249	1.455
1640		1.598	-3813.852	-5.982	-3807.87	0.248	0.999	219.249	1.455
1650		1.607	-3813.852	-5.982	-3807.87	0.248	0.999	219.249	1.455
1660		1.617	-3814.295	-5.858	-3808.438	0.254	0.995	218.594	1.456
1670		1.627	-3814.816	-5.411	-3809.404	0.204	0.998	215.172	1.519
1680		1.636	-3813.823	-5.138	-3808.685	0.167	0.995	216.305	1.48
1690		1.646	-3813.823	-5.138	-3808.685	0.167	0.995	216.305	1.48
1700		1.656	-3812.399	-5.299	-3807.1	0.155	0.999	212.411	1.413
1710		1.666	-3811.929	-5.319	-3806.609	0.157	0.999	211.822	1.431
1720		1.675	-3811.929	-5.319	-3806.609	0.157	0.999	211.822	1.431
1730		1.685	-3811.929	-5.319	-3806.609	0.157	0.999	211.822	1.431
1740		1.695	-3811.929	-5.319	-3806.609	0.157	0.999	211.822	1.431
1750		1.704	-3811.929	-5.319	-3806.609	0.157	0.999	211.822	1.431
1760		1.714	-3811.929	-5.319	-3806.609	0.157	0.999	211.822	1.431
1770		1.724	-3811.929	-5.319	-3806.609	0.157	0.999	211.822	1.431
1780		1.734	-3811.929	-5.319	-3806.609	0.157	0.999	211.822	1.431
1790		1.743	-3811.929	-5.319	-3806.609	0.157	0.999	211.822	1.431
1800		1.753	-3814.448	-5.464	-3808.984	0.21	0.995	211.605	1.452
1810		1.763	-3816.131	-5.421	-3810.709	0.22	0.988	212.828	1.491
1820		1.773	-3814.201	-5.718	-3808.483	0.242	0.995	209.636	1.5
1830		1.782	-3814.291	-5.645	-3808.646	0.235	0.997	210.265	1.547
1840		1.792	-3814.641	-5.285	-3809.355	0.199	0.994	209.399	1.538
1850		1.802	-3814.641	-5.285	-3809.355	0.199	0.994	209.399	1.538
1860		1.811	-3813.369	-5.566	-3807.803	0.224	0.994	214.051	1.451
1870		1.821	-3813.369	-5.566	-3807.803	0.224	0.994	214.051	1.451
1880		1.831	-3813.369	-5.566	-3807.803	0.224	0.994	214.051	1.451
1890		1.841	-3813.369	-5.566	-3807.803	0.224	0.994	214.051	1.451
1900		1.85	-3812.178	-5.941	-3806.237	0.246	0.999	213.741	1.445
1910		1.86	-3812.178	-5.941	-3806.237	0.246	0.999	213.741	1.445
1920		1.87	-3812.178	-5.941	-3806.237	0.246	0.999	213.741	1.445
1930		1.88	-3812.178	-5.941	-3806.237	0.246	0.999	213.741	1.445
1940		1.889	-3812.178	-5.941	-3806.237	0.246	0.999	213.741	1.445
1950		1.899	-3812.178	-5.941	-3806.237	0.246	0.999	213.741	1.445
1960		1.909	-3814.61	-5.725	-3808.885	0.245	0.995	212.382	1.498
1970		1.918	-3814.61	-5.725	-3808.885	0.245	0.995	212.382	1.498
1980		1.928	-3814.898	-5.582	-3809.316	0.228	0.989	213.581	1.419
1990		1.938	-3815.084	-6.233	-3808.851	0.286	0.989	214.132	1.404
2000		1.947	-3815.084	-6.233	-3808.851	0.286	0.989	214.132	1.404
2010		1.957	-3813.443	-6.123	-3807.319	0.253	0.999	214.528	1.373
2020		1.967	-3813.443	-6.123	-3807.319	0.253	0.999	214.528	1.373
2030		1.976	-3814.133	-5.7	-3808.432	0.242	0.988	211.214	1.428
2040		1.986	-3811.969	-5.987	-3805.982	0.244	0.999	213.64	1.435
2050		1.996	-3811.969	-5.987	-3805.982	0.244	0.999	213.64	1.435
2060		2.005	-3811.969	-5.987	-3805.982	0.244	0.999	213.64	1.435
2070		2.015	-3811.969	-5.987	-3805.982	0.244	0.999	213.64	1.435
2080		2.025	-3811.969	-5.987	-3805.982	0.244	0.999	213.64	1.435
2090		2.034	-3811.969	-5.987	-3805.982	0.244	0.999	213.64	1.435
2100		2.044	-3811.969	-5.987	-3805.982	0.244	0.999	213.64	1.435
2110		2.054	-3812.008	-5.931	-3806.077	0.25	0.995	209.504	1.386
2120		2.063	-3812.008	-5.931	-3806.077	0.25	0.995	209.504	1.386
2130		2.073	-3812.008	-5.931	-3806.077	0.25	0.995	209.504	1.386
2140		2.083	-3812.486	-5.892	-3806.595	0.246	0.998	206.54	1.471
2150		2.092	-3813.652	-5.776	-3807.876	0.248	0.992	206.583	1.462
2160		2.102	-3813.652	-5.776	-3807.876	0.248	0.992	206.583	1.462
2170		2.112	-3813.652	-5.776	-3807.876	0.248	0.992	206.583	1.462
2180		2.122	-3812.05	-5.402	-3806.648	0.188	0.994	207.156	1.377
2190		2.131	-3812.05	-5.402	-3806.648	0.188	0.994	207.156	1.377
2200		2.141	-3811.794	-5.349	-3806.445	0.175	0.998	210.969	1.42
2210		2.151	-3811.794	-5.349	-3806.445	0.175	0.998	210.969	1.42
2220		2.161	-3811.794	-5.349	-3806.445	0.175	0.998	210.969	1.42
2230		2.17	-3813.496	-5.525	-3807.971	0.204	0.995	211.709	1.371
2240		2.18	-3813.496	-5.525	-3807.971	0.204	0.995	211.709	1.371
2250		2.19	-3812.577	-5.67	-3806.908	0.224	0.996	212.57	1.41
2260		2.2	-3811.405	-5.871	-3805.534	0.24	0.998	211.319	1.426
2270		2.209	-3811.405	-5.871	-3805.534	0.24	0.998	211.319	1.426
2280		2.219	-3811.405	-5.871	-3805.534	0.24	0.998	211.319	1.426
2290		2.228	-3811.405	-5.871	-3805.534	0.24	0.998	211.319	1.426
2300		2.238	-3811.405	-5.871	-3805.534	0.24	0.998	211.319	1.426
2310		2.248	-3811.405	-5.871	-3805.534	0.24	0.998	211.319	1.426
2320		2.257	-3811.861	-6.395	-3805.465	0.272	0.999	209.541	1.357
2330		2.267	-3811.861	-6.395	-3805.465	0.272	0.999	209.541	1.357
2340		2.277	-3811.861	-6.395	-3805.465	0.272	0.999	209.541	1.357
2350		2.287	-3811.861	-6.395	-3805.465	0.272	0.999	209.541	1.357
2360		2.297	-3812.01	-6.144	-3805.866	0.259	0.996	206.546	1.335
2370		2.306	-3813.397	-5.876	-3807.522	0.247	0.988	205.959	1.359
2380		2.316	-3811.51	-6.281	-3805.229	0.262	1.0	205.391	1.42
2390		2.326	-3811.51	-6.281	-3805.229	0.262	1.0	205.391	1.42
2400		2.335	-3811.51	-6.281	-3805.229	0.262	1.0	205.391	1.42
2410		2.345	-3810.78	-5.774	-3805.006	0.218	0.999	201.374	1.421
2420		2.354	-3811.808	-5.476	-3806.332	0.207	0.993	199.27	1.445
2430		2.364	-3811.808	-5.476	-3806.332	0.207	0.993	199.27	1.445
2440		2.374	-3811.174	-5.693	-3805.481	0.229	0.994	198.028	1.439
2450		2.383	-3809.111	-6.368	-3802.744	0.165	1.0	191.306	1.344
2460		2.393	-3809.111	-6.368	-3802.744	0.165	1.0	191.306	1.344
2470		2.402	-3809.306	-5.337	-3803.968	0.147	0.995	190.984	1.362
2480		2.412	-3811.251	-5.397	-3805.854	0.14	0.988	193.53	1.26
2490		2.422	-3810.239	-5.648	-3804.592	0.151	0.995	191.68	1.211
2500		2.431	-3809.187	-5.637	-3803.549	0.122	0.999	192.877	1.245
2510		2.441	-3809.187	-5.637	-3803.549	0.122	0.999	192.877	1.245
2520		2.451	-3809.187	-5.637	-3803.549	0.122	0.999	192.877	1.245
2530		2.461	-3809.187	-5.637	-3803.549	0.122	0.999	192.877	1.245
2540		2.47	-3809.187	-5.637	-3803.549	0.122	0.999	192.877	1.245
2550		2.48	-3809.187	-5.637	-3803.549	0.122	0.999	192.877	1.245
2560		2.49	-3809.801	-5.488	-3804.313	0.134	0.997	191.02	1.282
2570		2.5	-3810.792	-5.397	-3805.395	0.112	0.995	193.073	1.307
2580		2.509	-3809.819	-5.575	-3804.244	0.122	0.999	192.173	1.283
2590		2.519	-3809.819	-5.575	-3804.244	0.122	0.999	192.173	1.283
2600		2.529	-3809.819	-5.575	-3804.244	0.122	0.999	192.173	1.283
2610		2.538	-3809.228	-5.56	-3803.668	0.143	0.996	192.559	1.243
2620		2.548	-3809.228	-5.56	-3803.668	0.143	0.996	192.559	1.243
2630		2.557	-3808.055	-5.558	-3802.497	0.154	0.995	190.885	1.254
2640		2.567	-3808.055	-5.558	-3802.497	0.154	0.995	190.885	1.254
2650		2.577	-3807.562	-5.596	-3801.966	0.129	0.999	185.649	1.295
2660		2.586	-3807.562	-5.596	-3801.966	0.129	0.999	185.649	1.295
2670		2.596	-3806.492	-6.042	-3800.45	0.157	1.0	183.958	1.193
2680		2.606	-3807.88	-6.639	-3801.241	0.258	0.998	185.691	1.184
2690		2.615	-3807.88	-6.639	-3801.241	0.258	0.998	185.691	1.184
2700		2.625	-3807.881	-6.206	-3801.675	0.202	1.0	189.3	1.286
2710		2.635	-3808.527	-5.817	-3802.71	0.218	0.992	187.188	1.317
2720		2.645	-3810.776	-6.095	-3804.681	0.232	0.981	185.592	1.209
2730		2.654	-3806.473	-6.788	-3799.684	0.267	0.999	184.982	1.202
2740		2.664	-3806.473	-6.788	-3799.684	0.267	0.999	184.982	1.202
2750		2.674	-3805.843	-7.033	-3798.809	0.291	0.998	183.439	1.202
2760		2.684	-3805.843	-7.033	-3798.809	0.291	0.998	183.439	1.202
2770		2.693	-3805.843	-7.033	-3798.809	0.291	0.998	183.439	1.202
2780		2.703	-3805.843	-7.033	-3798.809	0.291	0.998	183.439	1.202
2790		2.713	-3805.843	-7.033	-3798.809	0.291	0.998	183.439	1.202
2800		2.723	-3807.96	-6.395	-3801.565	0.242	0.997	187.56	1.203
2810		2.732	-3808.069	-6.37	-3801.698	0.257	0.997	188.627	1.278
2820		2.742	-3807.227	-6.439	-3800.788	0.253	0.997	188.307	1.232
2830		2.752	-3807.975	-6.675	-3801.299	0.27	0.996	186.939	1.197
2840		2.762	-3811.729	-6.961	-3804.768	0.285	0.99	184.175	1.134
2850		2.771	-3809.888	-6.93	-3802.958	0.287	0.987	181.337	1.154
2860		2.781	-3808.792	-7.381	-3801.41	0.304	0.998	181.357	1.13
2870		2.791	-3808.792	-7.381	-3801.41	0.304	0.998	181.357	1.13
2880		2.8	-3807.551	-7.296	-3800.255	0.323	0.991	178.805	1.221
2890		2.81	-3806.536	-6.668	-3799.868	0.281	0.995	181.669	1.263
