iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-7483.754	-6.112	-7477.641	0.207	0.065	456.882	2.023
10		0.011	-7453.242	-6.049	-7447.193	0.184	0.071	456.313	2.177
20		0.02	-7387.111	-6.348	-7380.764	0.217	0.122	456.414	2.278
30		0.03	-7354.231	-6.515	-7347.716	0.242	0.184	455.238	2.261
40		0.039	-7345.065	-6.704	-7338.36	0.258	0.195	457.484	2.258
50		0.049	-7339.214	-6.743	-7332.471	0.262	0.198	455.731	2.266
60		0.058	-7304.59	-6.605	-7297.985	0.264	0.254	458.434	2.065
70		0.068	-7265.478	-6.396	-7259.082	0.245	0.323	459.794	2.079
80		0.078	-7238.798	-6.663	-7232.135	0.265	0.37	461.314	2.132
90		0.087	-7238.798	-6.663	-7232.135	0.265	0.37	461.314	2.132
100		0.097	-7238.798	-6.663	-7232.135	0.265	0.37	461.314	2.132
110		0.106	-7207.25	-6.637	-7200.613	0.268	0.369	460.389	2.062
120		0.116	-7189.173	-6.833	-7182.34	0.282	0.4	460.631	2.105
130		0.126	-7189.173	-6.833	-7182.34	0.282	0.4	460.631	2.105
140		0.135	-7189.173	-6.833	-7182.34	0.282	0.4	460.631	2.105
150		0.145	-7189.173	-6.833	-7182.34	0.282	0.4	460.631	2.105
160		0.155	-7189.173	-6.833	-7182.34	0.282	0.4	460.631	2.105
170		0.164	-7176.896	-7.408	-7169.488	0.325	0.444	463.09	2.051
180		0.174	-7176.896	-7.408	-7169.488	0.325	0.444	463.09	2.051
190		0.183	-7176.896	-7.408	-7169.488	0.325	0.444	463.09	2.051
200		0.193	-7176.896	-7.408	-7169.488	0.325	0.444	463.09	2.051
210		0.203	-7176.896	-7.408	-7169.488	0.325	0.444	463.09	2.051
220		0.212	-7176.896	-7.408	-7169.488	0.325	0.444	463.09	2.051
230		0.222	-7158.916	-8.168	-7150.748	0.374	0.521	462.254	2.043
240		0.232	-7151.596	-8.076	-7143.52	0.368	0.53	462.81	2.062
250		0.241	-7140.949	-8.646	-7132.304	0.4	0.544	459.978	2.114
260		0.251	-7135.243	-8.529	-7126.714	0.392	0.567	458.861	2.16
270		0.26	-7111.914	-9.183	-7102.731	0.428	0.602	455.809	2.156
280		0.27	-7108.883	-9.641	-7099.242	0.459	0.585	445.322	2.045
290		0.28	-7108.883	-9.641	-7099.242	0.459	0.585	445.322	2.045
300		0.289	-7068.861	-9.262	-7059.599	0.44	0.593	444.431	2.08
310		0.299	-7068.861	-9.262	-7059.599	0.44	0.593	444.431	2.08
320		0.309	-7068.861	-9.262	-7059.599	0.44	0.593	444.431	2.08
330		0.318	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
340		0.328	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
350		0.337	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
360		0.347	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
370		0.357	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
380		0.366	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
390		0.376	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
400		0.386	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
410		0.395	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
420		0.405	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
430		0.415	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
440		0.424	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
450		0.434	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
460		0.443	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
470		0.453	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
480		0.463	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
490		0.472	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
500		0.482	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
510		0.492	-7067.17	-9.038	-7058.132	0.428	0.598	441.234	2.14
520		0.501	-7063.769	-8.752	-7055.016	0.416	0.607	438.49	2.096
530		0.511	-7063.769	-8.752	-7055.016	0.416	0.607	438.49	2.096
540		0.521	-7063.769	-8.752	-7055.016	0.416	0.607	438.49	2.096
550		0.531	-7063.769	-8.752	-7055.016	0.416	0.607	438.49	2.096
560		0.54	-7063.769	-8.752	-7055.016	0.416	0.607	438.49	2.096
570		0.55	-7063.769	-8.752	-7055.016	0.416	0.607	438.49	2.096
580		0.559	-7063.769	-8.752	-7055.016	0.416	0.607	438.49	2.096
590		0.569	-7049.86	-8.663	-7041.197	0.413	0.635	437.972	2.04
600		0.579	-7049.86	-8.663	-7041.197	0.413	0.635	437.972	2.04
610		0.588	-7049.86	-8.663	-7041.197	0.413	0.635	437.972	2.04
620		0.598	-7049.86	-8.663	-7041.197	0.413	0.635	437.972	2.04
630		0.607	-7049.86	-8.663	-7041.197	0.413	0.635	437.972	2.04
640		0.617	-7049.86	-8.663	-7041.197	0.413	0.635	437.972	2.04
650		0.627	-7049.86	-8.663	-7041.197	0.413	0.635	437.972	2.04
