iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-3698.718	-4.729	-3693.989	0.144	0.174	198.933	2.095
10		0.011	-3624.62	-5.008	-3619.612	0.208	0.29	200.902	2.058
20		0.021	-3565.283	-4.662	-3560.621	0.146	0.421	201.376	2.084
30		0.031	-3544.281	-4.741	-3539.54	0.169	0.496	202.06	2.079
40		0.041	-3509.666	-4.638	-3505.029	0.128	0.616	202.051	2.091
50		0.052	-3500.487	-4.672	-3495.815	0.091	0.707	208.416	2.003
60		0.062	-3493.727	-5.669	-3488.058	0.039	0.734	204.899	2.127
70		0.072	-3489.252	-4.722	-3484.53	0.115	0.799	203.554	2.152
80		0.082	-3488.96	-4.787	-3484.173	0.156	0.813	202.777	2.152
90		0.092	-3489.028	-4.747	-3484.281	0.146	0.784	198.993	2.134
100		0.102	-3487.192	-4.715	-3482.477	0.155	0.762	197.074	2.041
110		0.112	-3487.122	-4.639	-3482.483	0.13	0.754	196.37	2.003
120		0.122	-3485.566	-4.706	-3480.86	0.098	0.763	191.966	1.961
130		0.132	-3488.536	-4.662	-3483.874	0.097	0.813	200.454	1.896
140		0.143	-3474.315	-4.869	-3469.446	0.093	0.863	194.887	1.5
150		0.153	-3473.288	-4.753	-3468.535	0.104	0.848	195.965	1.55
160		0.163	-3465.934	-5.145	-3460.79	0.192	0.858	197.073	1.4
170		0.173	-3461.688	-5.256	-3456.432	0.176	0.902	189.388	1.314
180		0.183	-3446.532	-5.526	-3441.006	0.133	0.94	192.962	1.144
190		0.193	-3429.774	-6.541	-3423.232	0.199	0.992	191.263	0.996
200		0.203	-3428.455	-7.318	-3421.137	0.254	0.999	188.935	0.988
210		0.213	-3426.353	-7.737	-3418.616	0.28	0.998	184.345	0.953
220		0.223	-3427.068	-7.429	-3419.639	0.271	0.99	185.072	0.955
230		0.233	-3426.326	-7.329	-3418.997	0.241	0.998	183.755	0.939
240		0.243	-3426.326	-7.329	-3418.997	0.241	0.998	183.755	0.939
250		0.253	-3427.065	-7.667	-3419.398	0.267	0.99	183.204	0.899
260		0.263	-3426.694	-7.649	-3419.045	0.254	0.995	182.202	0.887
270		0.274	-3425.548	-8.248	-3417.3	0.307	0.997	180.491	0.912
280		0.284	-3429.023	-8.135	-3420.889	0.331	0.981	178.899	0.976
290		0.294	-3427.504	-7.716	-3419.789	0.298	0.98	177.837	0.966
300		0.304	-3424.101	-7.684	-3416.416	0.256	0.984	170.758	0.882
310		0.313	-3424.659	-7.453	-3417.207	0.234	0.992	176.255	0.887
320		0.323	-3426.613	-6.726	-3419.887	0.193	0.973	174.406	0.944
330		0.333	-3425.646	-6.542	-3419.103	0.15	0.983	176.936	0.941
340		0.343	-3425.646	-6.542	-3419.103	0.15	0.983	176.936	0.941
350		0.353	-3428.318	-6.829	-3421.49	0.173	0.973	177.545	0.892
360		0.364	-3429.034	-6.599	-3422.435	0.074	0.972	179.704	0.961
370		0.374	-3427.209	-7.48	-3419.729	0.05	0.999	184.097	0.926
380		0.384	-3427.209	-7.48	-3419.729	0.05	0.999	184.097	0.926
390		0.394	-3427.209	-7.48	-3419.729	0.05	0.999	184.097	0.926
400		0.404	-3427.209	-7.48	-3419.729	0.05	0.999	184.097	0.926
410		0.414	-3427.209	-7.48	-3419.729	0.05	0.999	184.097	0.926
420		0.425	-3427.51	-6.712	-3420.798	0.081	0.992	182.812	0.942
430		0.435	-3427.386	-6.709	-3420.677	0.111	0.996	186.453	0.917
440		0.445	-3427.739	-6.566	-3421.173	0.091	0.989	184.724	0.945
450		0.455	-3429.385	-6.454	-3422.931	0.174	0.978	187.151	0.961
460		0.465	-3427.43	-6.868	-3420.562	0.218	0.991	186.452	0.96
470		0.475	-3428.151	-6.941	-3421.21	0.215	0.988	186.956	0.93
480		0.485	-3427.994	-6.985	-3421.009	0.226	0.99	187.619	0.945
490		0.495	-3427.994	-6.985	-3421.009	0.226	0.99	187.619	0.945
500		0.505	-3424.95	-7.03	-3417.921	0.204	0.997	180.592	0.929
510		0.516	-3426.172	-6.837	-3419.335	0.183	0.997	181.477	0.941
520		0.525	-3426.172	-6.837	-3419.335	0.183	0.997	181.477	0.941
530		0.535	-3426.1	-6.51	-3419.59	0.124	0.986	178.829	0.939
540		0.546	-3423.475	-6.826	-3416.648	0.157	0.998	174.524	0.935
550		0.556	-3422.849	-7.104	-3415.745	0.186	0.999	173.9	0.932
560		0.566	-3422.849	-7.104	-3415.745	0.186	0.999	173.9	0.932
570		0.576	-3422.709	-7.225	-3415.484	0.227	0.99	170.503	0.924
580		0.586	-3424.204	-8.193	-3416.012	0.282	0.984	166.498	0.851
590		0.596	-3422.917	-7.982	-3414.934	0.285	0.982	165.538	0.898
600		0.606	-3421.523	-7.851	-3413.672	0.273	0.992	165.587	0.91
610		0.616	-3422.892	-6.856	-3416.036	0.163	0.979	164.291	0.905
620		0.626	-3422.931	-6.824	-3416.106	0.141	0.986	168.503	0.897
630		0.636	-3423.702	-6.735	-3416.966	0.121	0.984	170.378	0.905
640		0.646	-3423.917	-6.758	-3417.159	0.126	0.999	171.359	0.95
650		0.656	-3421.595	-7.036	-3414.56	0.119	0.997	167.063	0.884
660		0.666	-3422.551	-6.812	-3415.739	0.113	0.993	168.6	0.911
670		0.675	-3423.215	-6.703	-3416.512	0.119	0.986	169.343	0.917
680		0.686	-3422.063	-7.358	-3414.705	0.087	0.991	162.196	0.838
690		0.695	-3422.063	-7.358	-3414.705	0.087	0.991	162.196	0.838
700		0.705	-3422.931	-6.765	-3416.167	0.109	0.975	160.574	0.915
710		0.715	-3424.681	-7.645	-3417.037	0.043	0.972	161.021	0.909
720		0.725	-3421.953	-8.68	-3413.273	0.026	0.993	157.539	0.887
730		0.735	-3420.479	-8.019	-3412.46	0.049	0.987	152.119	0.84
740		0.745	-3418.036	-8.592	-3409.443	0.04	0.999	149.847	0.828
750		0.755	-3419.418	-7.299	-3412.119	0.076	0.984	154.033	0.874
760		0.765	-3419.026	-7.442	-3411.585	0.068	0.989	151.422	0.88
770		0.775	-3419.026	-7.442	-3411.585	0.068	0.989	151.422	0.88
780		0.785	-3419.969	-7.485	-3412.484	0.063	0.985	153.227	0.876
790		0.795	-3416.461	-7.989	-3408.472	0.064	0.998	148.886	0.833
800		0.805	-3418.594	-8.041	-3410.553	0.048	0.989	149.4	0.848
810		0.815	-3417.796	-7.347	-3410.449	0.105	0.973	143.793	0.846
820		0.825	-3417.619	-7.573	-3410.045	0.105	0.992	147.64	0.817
830		0.835	-3416.164	-7.479	-3408.685	0.11	0.994	146.243	0.839
840		0.845	-3416.164	-7.479	-3408.685	0.11	0.994	146.243	0.839
850		0.854	-3415.463	-7.568	-3407.895	0.121	0.994	144.943	0.824
860		0.865	-3415.767	-7.604	-3408.162	0.163	0.991	145.153	0.826
870		0.874	-3415.038	-7.562	-3407.476	0.145	0.996	143.701	0.839
880		0.885	-3416.361	-7.509	-3408.853	0.165	0.974	139.547	0.84
890		0.895	-3415.776	-7.831	-3407.946	0.163	0.996	138.183	0.821
900		0.904	-3415.776	-7.831	-3407.946	0.163	0.996	138.183	0.821
910		0.915	-3413.955	-8.284	-3405.67	0.223	0.991	137.276	0.802
920		0.924	-3413.955	-8.284	-3405.67	0.223	0.991	137.276	0.802
930		0.935	-3413.955	-8.284	-3405.67	0.223	0.991	137.276	0.802
940		0.945	-3413.955	-8.284	-3405.67	0.223	0.991	137.276	0.802
950		0.955	-3413.955	-8.284	-3405.67	0.223	0.991	137.276	0.802
960		0.965	-3413.661	-7.863	-3405.798	0.187	0.986	137.576	0.817
970		0.975	-3413.661	-7.863	-3405.798	0.187	0.986	137.576	0.817
980		0.985	-3413.661	-7.863	-3405.798	0.187	0.986	137.576	0.817
990		0.995	-3413.128	-8.028	-3405.1	0.179	0.996	138.487	0.801
1000		1.005	-3415.759	-8.042	-3407.717	0.201	0.98	138.739	0.796
1010		1.015	-3415.205	-8.278	-3406.926	0.223	0.981	136.272	0.795
1020		1.025	-3413.558	-8.532	-3405.026	0.244	0.998	139.903	0.814
1030		1.035	-3413.558	-8.532	-3405.026	0.244	0.998	139.903	0.814
1040		1.046	-3413.558	-8.532	-3405.026	0.244	0.998	139.903	0.814
1050		1.056	-3413.558	-8.532	-3405.026	0.244	0.998	139.903	0.814
1060		1.066	-3413.558	-8.532	-3405.026	0.244	0.998	139.903	0.814
1070		1.076	-3413.558	-8.532	-3405.026	0.244	0.998	139.903	0.814
1080		1.086	-3413.558	-8.532	-3405.026	0.244	0.998	139.903	0.814
1090		1.096	-3413.558	-8.532	-3405.026	0.244	0.998	139.903	0.814
1100		1.106	-3413.558	-8.532	-3405.026	0.244	0.998	139.903	0.814
1110		1.116	-3412.068	-9.002	-3403.067	0.242	1.0	135.238	0.797
1120		1.126	-3412.068	-9.002	-3403.067	0.242	1.0	135.238	0.797
1130		1.137	-3413.759	-8.465	-3405.294	0.228	0.99	135.861	0.783
1140		1.147	-3413.759	-8.465	-3405.294	0.228	0.99	135.861	0.783
1150		1.157	-3413.759	-8.465	-3405.294	0.228	0.99	135.861	0.783
1160		1.167	-3413.567	-8.154	-3405.413	0.193	0.994	137.55	0.791
1170		1.177	-3415.811	-8.223	-3407.588	0.234	0.985	141.851	0.808
1180		1.187	-3416.782	-7.881	-3408.901	0.229	0.987	145.516	0.853
1190		1.197	-3415.448	-7.912	-3407.536	0.214	0.987	143.046	0.83
1200		1.207	-3413.943	-7.808	-3406.135	0.194	0.993	142.725	0.832
1210		1.217	-3413.943	-7.808	-3406.135	0.194	0.993	142.725	0.832
1220		1.227	-3413.943	-7.808	-3406.135	0.194	0.993	142.725	0.832
1230		1.237	-3413.943	-7.808	-3406.135	0.194	0.993	142.725	0.832
1240		1.247	-3413.943	-7.808	-3406.135	0.194	0.993	142.725	0.832
1250		1.257	-3413.943	-7.808	-3406.135	0.194	0.993	142.725	0.832
1260		1.267	-3413.943	-7.808	-3406.135	0.194	0.993	142.725	0.832
1270		1.277	-3413.943	-7.808	-3406.135	0.194	0.993	142.725	0.832
1280		1.287	-3413.943	-7.808	-3406.135	0.194	0.993	142.725	0.832
1290		1.297	-3413.943	-7.808	-3406.135	0.194	0.993	142.725	0.832
1300		1.307	-3414.264	-8.257	-3406.007	0.22	0.992	140.052	0.797
1310		1.318	-3414.264	-8.257	-3406.007	0.22	0.992	140.052	0.797
1320		1.328	-3416.105	-8.384	-3407.72	0.243	0.996	138.079	0.831
1330		1.338	-3413.288	-8.581	-3404.707	0.246	0.99	136.067	0.792
1340		1.348	-3413.878	-8.413	-3405.465	0.245	0.985	135.127	0.813
1350		1.358	-3416.07	-8.221	-3407.849	0.229	0.986	132.316	0.829
1360		1.368	-3413.134	-7.973	-3405.161	0.186	0.979	131.876	0.808
1370		1.378	-3413.134	-7.973	-3405.161	0.186	0.979	131.876	0.808
1380		1.388	-3413.134	-7.973	-3405.161	0.186	0.979	131.876	0.808
1390		1.398	-3413.134	-7.973	-3405.161	0.186	0.979	131.876	0.808
1400		1.408	-3415.426	-8.161	-3407.265	0.197	0.977	133.385	0.784
1410		1.418	-3414.025	-7.855	-3406.171	0.126	0.998	140.188	0.805
1420		1.428	-3414.025	-7.855	-3406.171	0.126	0.998	140.188	0.805
1430		1.438	-3414.025	-7.855	-3406.171	0.126	0.998	140.188	0.805
1440		1.448	-3414.025	-7.855	-3406.171	0.126	0.998	140.188	0.805
1450		1.458	-3413.605	-7.875	-3405.731	0.173	0.994	139.056	0.81
1460		1.468	-3414.008	-7.597	-3406.41	0.135	0.989	140.442	0.821
1470		1.478	-3414.852	-7.671	-3407.181	0.143	0.991	141.292	0.813
1480		1.488	-3414.852	-7.671	-3407.181	0.143	0.991	141.292	0.813
1490		1.498	-3414.534	-7.606	-3406.928	0.131	0.993	142.787	0.822
1500		1.508	-3415.062	-7.815	-3407.246	0.14	0.994	140.705	0.797
1510		1.518	-3415.062	-7.815	-3407.246	0.14	0.994	140.705	0.797
1520		1.528	-3415.062	-7.815	-3407.246	0.14	0.994	140.705	0.797
1530		1.538	-3415.362	-7.626	-3407.736	0.094	0.994	143.822	0.832
1540		1.548	-3415.524	-7.517	-3408.006	0.111	0.992	143.832	0.833
1550		1.558	-3415.524	-7.517	-3408.006	0.111	0.992	143.832	0.833
1560		1.568	-3415.524	-7.517	-3408.006	0.111	0.992	143.832	0.833
1570		1.578	-3415.524	-7.517	-3408.006	0.111	0.992	143.832	0.833
1580		1.588	-3416.94	-7.383	-3409.557	0.133	0.981	145.113	0.837
1590		1.599	-3416.94	-7.383	-3409.557	0.133	0.981	145.113	0.837
1600		1.609	-3415.774	-7.582	-3408.192	0.122	0.996	147.676	0.824
1610		1.619	-3415.774	-7.582	-3408.192	0.122	0.996	147.676	0.824
1620		1.629	-3415.774	-7.582	-3408.192	0.122	0.996	147.676	0.824
1630		1.639	-3417.491	-7.678	-3409.813	0.172	0.992	148.81	0.814
1640		1.649	-3417.426	-7.601	-3409.825	0.153	0.99	149.364	0.809
1650		1.659	-3416.969	-7.503	-3409.466	0.176	0.993	148.252	0.852
1660		1.669	-3416.969	-7.503	-3409.466	0.176	0.993	148.252	0.852
1670		1.679	-3415.705	-8.048	-3407.657	0.203	0.999	148.463	0.824
1680		1.689	-3415.411	-7.756	-3407.655	0.182	0.995	146.572	0.826
1690		1.699	-3414.798	-8.046	-3406.752	0.213	0.996	143.233	0.823
1700		1.709	-3414.798	-8.046	-3406.752	0.213	0.996	143.233	0.823
1710		1.72	-3414.798	-8.046	-3406.752	0.213	0.996	143.233	0.823
1720		1.73	-3415.134	-8.216	-3406.918	0.233	0.998	144.875	0.835
1730		1.74	-3415.134	-8.216	-3406.918	0.233	0.998	144.875	0.835
1740		1.75	-3415.134	-8.216	-3406.918	0.233	0.998	144.875	0.835
1750		1.76	-3414.977	-7.994	-3406.984	0.215	0.989	142.489	0.822
1760		1.77	-3415.154	-8.07	-3407.085	0.208	0.988	141.752	0.8
1770		1.78	-3415.154	-8.07	-3407.085	0.208	0.988	141.752	0.8
1780		1.79	-3414.722	-8.027	-3406.695	0.202	0.991	140.892	0.806
1790		1.8	-3416.626	-7.889	-3408.737	0.222	0.982	143.465	0.839
1800		1.81	-3416.696	-7.804	-3408.891	0.222	0.986	145.805	0.854
1810		1.82	-3417.005	-7.925	-3409.08	0.226	0.984	145.894	0.835
1820		1.83	-3417.77	-7.697	-3410.073	0.215	0.973	145.57	0.851
1830		1.84	-3417.77	-7.697	-3410.073	0.215	0.973	145.57	0.851
1840		1.85	-3415.66	-8.127	-3407.532	0.236	0.998	147.116	0.853
1850		1.86	-3415.753	-7.796	-3407.957	0.207	0.976	140.06	0.838
1860		1.87	-3419.459	-8.557	-3410.903	0.289	0.983	138.83	0.866
1870		1.881	-3413.137	-9.205	-3403.932	0.28	0.999	138.222	0.795
1880		1.891	-3413.137	-9.205	-3403.932	0.28	0.999	138.222	0.795
1890		1.901	-3413.137	-9.205	-3403.932	0.28	0.999	138.222	0.795
1900		1.911	-3413.137	-9.205	-3403.932	0.28	0.999	138.222	0.795
1910		1.921	-3416.794	-8.81	-3407.984	0.281	0.979	139.107	0.8
1920		1.931	-3415.491	-9.104	-3406.387	0.298	0.982	137.058	0.795
1930		1.941	-3413.639	-9.621	-3404.018	0.318	0.995	134.278	0.785
1940		1.951	-3415.81	-9.712	-3406.098	0.334	0.995	133.446	0.811
1950		1.961	-3414.198	-10.06	-3404.138	0.353	0.996	136.565	0.798
1960		1.971	-3414.198	-10.06	-3404.138	0.353	0.996	136.565	0.798
1970		1.982	-3414.198	-10.06	-3404.138	0.353	0.996	136.565	0.798
1980		1.992	-3414.198	-10.06	-3404.138	0.353	0.996	136.565	0.798
1990		2.002	-3414.198	-10.06	-3404.138	0.353	0.996	136.565	0.798
2000		2.012	-3414.198	-10.06	-3404.138	0.353	0.996	136.565	0.798
2010		2.022	-3414.198	-10.06	-3404.138	0.353	0.996	136.565	0.798
2020		2.032	-3414.395	-10.084	-3404.311	0.348	0.996	135.759	0.782
2030		2.042	-3417.477	-9.637	-3407.841	0.338	0.957	131.062	0.803
2040		2.052	-3413.834	-8.505	-3405.329	0.228	0.992	129.57	0.798
2050		2.062	-3412.996	-8.521	-3404.475	0.232	0.97	125.467	0.793
2060		2.072	-3412.996	-8.521	-3404.475	0.232	0.97	125.467	0.793
2070		2.082	-3412.996	-8.521	-3404.475	0.232	0.97	125.467	0.793
2080		2.092	-3418.732	-9.232	-3409.5	0.226	0.999	128.854	0.722
2090		2.103	-3418.732	-9.232	-3409.5	0.226	0.999	128.854	0.722
2100		2.113	-3414.055	-8.345	-3405.709	0.208	0.97	127.702	0.781
2110		2.123	-3412.103	-8.94	-3403.163	0.236	0.999	125.532	0.79
2120		2.133	-3410.928	-8.487	-3402.441	0.215	0.985	126.424	0.783
