iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-3850.402	-6.112	-3844.29	0.207	0.065	456.882	2.023
10		0.011	-3805.268	-5.956	-3799.312	0.198	0.138	459.559	1.907
20		0.021	-3757.938	-5.633	-3752.306	0.103	0.225	457.55	1.89
30		0.03	-3683.422	-8.367	-3675.056	0.013	0.401	454.962	1.975
40		0.04	-3640.73	-6.916	-3633.813	0.029	0.505	447.023	1.929
50		0.05	-3624.569	-6.521	-3618.048	0.04	0.553	448.807	2.016
60		0.06	-3580.053	-5.531	-3574.522	0.105	0.691	445.603	1.977
70		0.07	-3537.496	-5.628	-3531.869	0.136	0.87	452.451	1.969
80		0.08	-3510.08	-6.579	-3503.501	0.223	0.999	454.246	1.951
90		0.09	-3509.895	-6.239	-3503.655	0.156	1.0	454.165	1.958
100		0.1	-3509.895	-6.239	-3503.655	0.156	1.0	454.165	1.958
110		0.11	-3511.574	-5.926	-3505.648	0.147	0.99	455.566	1.97
120		0.12	-3511.918	-6.167	-3505.751	0.126	0.999	455.033	2.012
130		0.13	-3512.43	-6.095	-3506.335	0.142	0.998	454.169	2.033
140		0.14	-3512.43	-6.095	-3506.335	0.142	0.998	454.169	2.033
150		0.15	-3513.282	-6.255	-3507.027	0.194	0.997	448.703	2.063
160		0.16	-3511.055	-6.347	-3504.708	0.222	0.99	448.842	1.997
170		0.17	-3512.49	-6.523	-3505.967	0.223	0.998	446.274	2.051
180		0.18	-3508.302	-6.05	-3502.252	0.085	0.997	442.072	1.958
190		0.19	-3505.172	-6.081	-3499.091	0.078	0.998	436.946	1.883
200		0.199	-3505.172	-6.081	-3499.091	0.078	0.998	436.946	1.883
210		0.209	-3504.082	-5.782	-3498.3	0.139	0.996	435.214	1.744
220		0.219	-3504.498	-5.888	-3498.61	0.157	0.998	435.287	1.777
230		0.229	-3503.929	-5.935	-3497.993	0.189	0.987	435.559	1.624
240		0.239	-3501.753	-6.179	-3495.574	0.205	0.993	433.555	1.509
250		0.249	-3501.273	-6.033	-3495.24	0.184	0.992	429.356	1.462
260		0.259	-3501.273	-6.033	-3495.24	0.184	0.992	429.356	1.462
270		0.269	-3500.272	-6.227	-3494.046	0.227	0.993	426.32	1.612
280		0.279	-3501.658	-5.933	-3495.725	0.213	0.978	420.391	1.628
290		0.289	-3498.508	-6.601	-3491.906	0.265	0.997	418.317	1.665
300		0.299	-3494.367	-6.279	-3488.088	0.236	0.997	415.356	1.707
310		0.309	-3497.071	-5.875	-3491.196	0.2	0.991	419.293	1.728
320		0.319	-3496.554	-5.928	-3490.626	0.203	0.993	420.824	1.745
330		0.328	-3495.979	-5.715	-3490.264	0.181	0.989	416.933	1.716
340		0.338	-3497.26	-5.668	-3491.593	0.181	0.984	417.042	1.734
350		0.348	-3498.724	-5.927	-3492.798	0.215	0.981	419.801	1.748
360		0.358	-3496.283	-6.122	-3490.161	0.23	0.993	416.686	1.771
370		0.368	-3495.734	-6.287	-3489.447	0.236	0.997	418.388	1.739
380		0.378	-3495.734	-6.287	-3489.447	0.236	0.997	418.388	1.739
390		0.388	-3497.656	-6.322	-3491.333	0.236	0.997	417.242	1.651
400		0.398	-3497.656	-6.322	-3491.333	0.236	0.997	417.242	1.651
410		0.408	-3495.772	-5.799	-3489.973	0.181	0.996	416.4	1.74
420		0.418	-3495.649	-5.746	-3489.903	0.088	0.997	414.613	1.746
430		0.428	-3495.649	-5.746	-3489.903	0.088	0.997	414.613	1.746
440		0.438	-3498.762	-5.479	-3493.283	0.108	0.985	413.639	1.792
450		0.448	-3495.303	-5.656	-3489.647	0.181	0.989	411.024	1.746
460		0.458	-3494.473	-5.764	-3488.71	0.19	0.992	413.305	1.717
470		0.467	-3493.586	-6.086	-3487.5	0.206	0.999	412.522	1.721
480		0.477	-3492.627	-6.095	-3486.532	0.222	0.996	411.678	1.691
490		0.487	-3492.627	-6.095	-3486.532	0.222	0.996	411.678	1.691
500		0.497	-3492.564	-5.906	-3486.658	0.171	0.999	412.871	1.683
510		0.506	-3492.434	-5.767	-3486.667	0.168	0.998	411.819	1.689
520		0.516	-3492.434	-5.767	-3486.667	0.168	0.998	411.819	1.689
530		0.526	-3494.647	-5.582	-3489.065	0.149	0.993	414.5	1.719
540		0.536	-3494.027	-6.132	-3487.895	0.184	1.0	415.576	1.692
550		0.546	-3494.027	-6.132	-3487.895	0.184	1.0	415.576	1.692
560		0.556	-3498.465	-5.968	-3492.497	0.215	0.993	413.498	1.808
570		0.565	-3498.968	-5.95	-3493.018	0.229	0.972	412.059	1.751
580		0.575	-3494.587	-6.095	-3488.492	0.238	0.987	408.912	1.704
590		0.585	-3495.661	-5.608	-3490.053	0.188	0.977	407.056	1.706
600		0.595	-3493.328	-5.835	-3487.493	0.172	0.997	407.144	1.505
610		0.605	-3493.833	-5.655	-3488.178	0.141	0.992	407.658	1.48
620		0.615	-3489.661	-5.768	-3483.892	0.172	0.999	402.339	1.66
630		0.625	-3489.661	-5.768	-3483.892	0.172	0.999	402.339	1.66
640		0.635	-3489.661	-5.768	-3483.892	0.172	0.999	402.339	1.66
650		0.645	-3489.661	-5.768	-3483.892	0.172	0.999	402.339	1.66
660		0.655	-3489.661	-5.768	-3483.892	0.172	0.999	402.339	1.66
670		0.665	-3489.833	-6.224	-3483.609	0.241	0.997	401.612	1.663
680		0.675	-3489.833	-6.224	-3483.609	0.241	0.997	401.612	1.663
690		0.685	-3489.833	-6.224	-3483.609	0.241	0.997	401.612	1.663
700		0.695	-3489.76	-6.535	-3483.225	0.272	0.995	402.63	1.629
710		0.704	-3489.76	-6.535	-3483.225	0.272	0.995	402.63	1.629
720		0.714	-3489.76	-6.535	-3483.225	0.272	0.995	402.63	1.629
730		0.724	-3489.76	-6.535	-3483.225	0.272	0.995	402.63	1.629
740		0.734	-3489.76	-6.535	-3483.225	0.272	0.995	402.63	1.629
750		0.744	-3489.76	-6.535	-3483.225	0.272	0.995	402.63	1.629
760		0.754	-3489.76	-6.535	-3483.225	0.272	0.995	402.63	1.629
770		0.764	-3493.514	-6.195	-3487.319	0.24	0.998	399.226	1.743
780		0.774	-3490.822	-6.146	-3484.676	0.237	0.995	403.385	1.675
790		0.784	-3492.634	-6.019	-3486.616	0.235	0.983	404.492	1.664
800		0.794	-3492.554	-5.806	-3486.748	0.211	0.985	404.004	1.679
810		0.804	-3491.382	-6.5	-3484.882	0.257	0.999	403.054	1.711
820		0.813	-3490.215	-6.711	-3483.504	0.279	0.999	400.135	1.693
830		0.823	-3490.215	-6.711	-3483.504	0.279	0.999	400.135	1.693
840		0.833	-3492.147	-6.637	-3485.51	0.289	0.986	402.156	1.656
850		0.843	-3491.567	-7.236	-3484.331	0.334	0.983	399.429	1.633
860		0.853	-3492.939	-7.919	-3485.02	0.342	1.0	402.47	1.529
870		0.863	-3494.007	-7.704	-3486.302	0.346	0.994	405.016	1.464
880		0.873	-3494.568	-7.352	-3487.216	0.325	0.992	406.43	1.468
890		0.883	-3490.29	-7.348	-3482.942	0.321	0.996	395.281	1.424
900		0.893	-3490.29	-7.348	-3482.942	0.321	0.996	395.281	1.424
910		0.903	-3491.546	-8.11	-3483.436	0.34	1.0	395.381	1.337
920		0.913	-3491.546	-8.11	-3483.436	0.34	1.0	395.381	1.337
930		0.923	-3491.821	-7.794	-3484.027	0.311	1.0	397.465	1.361
940		0.933	-3490.501	-7.65	-3482.851	0.344	0.998	395.778	1.502
950		0.943	-3489.408	-7.53	-3481.877	0.328	0.999	393.964	1.433
960		0.953	-3489.222	-7.58	-3481.643	0.344	0.997	391.5	1.528
970		0.963	-3489.222	-7.58	-3481.643	0.344	0.997	391.5	1.528
980		0.973	-3490.58	-8.382	-3482.197	0.397	0.995	389.858	1.547
990		0.983	-3488.924	-8.409	-3480.516	0.405	0.99	390.028	1.623
1000		0.993	-3487.693	-8.707	-3478.986	0.421	0.991	386.461	1.604
1010		1.003	-3485.132	-8.088	-3477.044	0.385	0.992	384.434	1.549
1020		1.012	-3487.045	-8.583	-3478.463	0.407	0.998	382.377	1.623
1030		1.022	-3487.045	-8.583	-3478.463	0.407	0.998	382.377	1.623
1040		1.032	-3483.629	-8.322	-3475.307	0.399	0.994	377.504	1.554
1050		1.042	-3483.629	-8.322	-3475.307	0.399	0.994	377.504	1.554
1060		1.052	-3483.111	-8.024	-3475.087	0.383	0.994	377.553	1.562
1070		1.062	-3483.111	-8.024	-3475.087	0.383	0.994	377.553	1.562
1080		1.072	-3483.111	-8.024	-3475.087	0.383	0.994	377.553	1.562
1090		1.082	-3483.111	-8.024	-3475.087	0.383	0.994	377.553	1.562
1100		1.092	-3482.875	-8.063	-3474.812	0.386	0.995	372.694	1.558
1110		1.102	-3482.875	-8.063	-3474.812	0.386	0.995	372.694	1.558
1120		1.112	-3485.136	-7.055	-3478.081	0.328	0.993	374.193	1.618
1130		1.122	-3485.136	-7.055	-3478.081	0.328	0.993	374.193	1.618
1140		1.132	-3485.321	-6.769	-3478.552	0.307	0.99	378.968	1.596
1150		1.141	-3483.843	-7.097	-3476.746	0.324	0.994	379.518	1.567
1160		1.151	-3483.56	-6.665	-3476.895	0.289	0.996	379.571	1.565
1170		1.161	-3482.851	-6.22	-3476.631	0.261	0.987	375.838	1.508
1180		1.171	-3482.851	-6.22	-3476.631	0.261	0.987	375.838	1.508
1190		1.181	-3481.573	-6.353	-3475.22	0.281	0.977	367.411	1.503
1200		1.191	-3479.007	-6.8	-3472.207	0.303	0.994	369.144	1.476
1210		1.201	-3481.294	-6.743	-3474.551	0.294	0.999	367.623	1.593
1220		1.211	-3481.294	-6.743	-3474.551	0.294	0.999	367.623	1.593
1230		1.22	-3479.646	-5.592	-3474.054	0.205	0.982	365.808	1.494
1240		1.23	-3480.804	-5.411	-3475.393	0.18	0.979	367.668	1.504
1250		1.24	-3481.221	-5.226	-3475.995	0.134	0.977	366.95	1.501
1260		1.25	-3478.227	-5.602	-3472.626	0.164	0.999	363.908	1.533
1270		1.26	-3478.227	-5.602	-3472.626	0.164	0.999	363.908	1.533
1280		1.27	-3478.227	-5.602	-3472.626	0.164	0.999	363.908	1.533
1290		1.28	-3478.5	-5.82	-3472.68	0.233	0.991	359.05	1.541
1300		1.29	-3474.678	-5.687	-3468.991	0.202	0.997	355.145	1.483
1310		1.3	-3474.609	-5.404	-3469.204	0.154	0.997	351.405	1.468
1320		1.31	-3474.114	-5.285	-3468.828	0.157	0.987	349.733	1.454
1330		1.32	-3472.264	-5.52	-3466.743	0.135	0.999	351.113	1.421
1340		1.33	-3472.264	-5.52	-3466.743	0.135	0.999	351.113	1.421
1350		1.34	-3472.264	-5.52	-3466.743	0.135	0.999	351.113	1.421
1360		1.349	-3472.976	-5.357	-3467.619	0.162	0.988	348.217	1.415
1370		1.359	-3472.976	-5.357	-3467.619	0.162	0.988	348.217	1.415
1380		1.369	-3472.169	-5.311	-3466.859	0.137	0.988	346.663	1.389
1390		1.379	-3470.134	-5.533	-3464.601	0.173	0.996	344.835	1.4
1400		1.389	-3470.134	-5.533	-3464.601	0.173	0.996	344.835	1.4
1410		1.398	-3470.253	-5.496	-3464.757	0.161	0.995	346.79	1.374
