iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-4183.101	-5.361	-4177.74	0.197	0.676	397.328	1.852
10		0.013	-4162.65	-5.135	-4157.514	0.1	0.731	397.586	1.879
20		0.027	-4141.073	-5.204	-4135.87	0.093	0.777	395.535	1.98
30		0.037	-4137.089	-5.048	-4132.041	0.131	0.791	390.773	1.844
40		0.048	-4059.717	-6.111	-4053.607	0.228	0.997	389.321	2.106
50		0.058	-4053.168	-6.263	-4046.905	0.235	0.995	385.849	2.299
60		0.068	-4053.168	-6.263	-4046.905	0.235	0.995	385.849	2.299
70		0.078	-4053.168	-6.263	-4046.905	0.235	0.995	385.849	2.299
80		0.088	-4053.168	-6.263	-4046.905	0.235	0.995	385.849	2.299
90		0.098	-4052.523	-6.601	-4045.922	0.252	0.999	386.099	2.28
100		0.108	-4049.978	-6.771	-4043.208	0.276	0.997	382.917	2.308
110		0.118	-4049.546	-7.562	-4041.984	0.338	0.989	380.771	2.393
120		0.128	-4049.448	-7.309	-4042.14	0.313	0.998	383.22	2.347
130		0.138	-4047.919	-7.998	-4039.921	0.35	0.999	382.131	2.366
140		0.148	-4047.96	-7.529	-4040.431	0.328	0.995	381.833	2.409
150		0.158	-4045.594	-7.638	-4037.956	0.324	0.997	381.528	2.51
160		0.168	-4044.252	-6.504	-4037.747	0.243	0.996	378.133	2.456
170		0.177	-4042.985	-6.938	-4036.047	0.287	0.996	375.67	2.419
180		0.187	-4036.428	-7.175	-4029.254	0.303	0.996	367.837	2.476
190		0.196	-4036.428	-7.175	-4029.254	0.303	0.996	367.837	2.476
200		0.206	-4036.428	-7.175	-4029.254	0.303	0.996	367.837	2.476
210		0.215	-4036.864	-7.418	-4029.446	0.326	0.995	366.744	2.432
220		0.225	-4029.237	-6.66	-4022.578	0.198	1.0	363.413	2.635
230		0.234	-4030.594	-6.111	-4024.483	0.181	0.992	362.792	2.646
240		0.244	-4030.594	-6.111	-4024.483	0.181	0.992	362.792	2.646
250		0.253	-4030.594	-6.111	-4024.483	0.181	0.992	362.792	2.646
260		0.263	-4025.95	-6.342	-4019.608	0.197	0.998	358.926	2.665
270		0.272	-4025.155	-6.369	-4018.785	0.214	0.991	355.67	2.691
280		0.282	-4022.482	-6.923	-4015.559	0.257	0.999	354.23	2.664
290		0.292	-4022.482	-6.923	-4015.559	0.257	0.999	354.23	2.664
300		0.301	-4022.482	-6.923	-4015.559	0.257	0.999	354.23	2.664
310		0.311	-4022.031	-6.508	-4015.523	0.234	0.996	352.336	2.629
320		0.32	-4022.374	-6.313	-4016.061	0.219	0.99	350.603	2.655
330		0.33	-4017.168	-6.369	-4010.799	0.195	0.996	346.646	2.756
340		0.34	-4017.168	-6.369	-4010.799	0.195	0.996	346.646	2.756
350		0.349	-4017.168	-6.369	-4010.799	0.195	0.996	346.646	2.756
360		0.359	-4018.427	-6.147	-4012.28	0.176	0.991	346.221	2.75
370		0.368	-4011.415	-6.549	-4004.866	0.2	0.999	339.646	2.76
380		0.378	-4014.027	-6.196	-4007.831	0.175	0.997	342.269	2.736
390		0.388	-4010.376	-6.885	-4003.49	0.241	0.998	338.512	2.81
400		0.397	-4010.651	-6.978	-4003.672	0.221	1.0	339.143	2.831
410		0.407	-4010.651	-6.978	-4003.672	0.221	1.0	339.143	2.831
420		0.416	-4010.651	-6.978	-4003.672	0.221	1.0	339.143	2.831
430		0.426	-4009.042	-6.57	-4002.472	0.173	0.996	336.672	2.97
440		0.436	-4009.042	-6.57	-4002.472	0.173	0.996	336.672	2.97
450		0.445	-4007.487	-6.538	-4000.949	0.174	0.995	333.84	2.97
460		0.455	-4006.531	-6.544	-3999.986	0.188	0.99	329.98	2.978
470		0.464	-4007.304	-6.549	-4000.755	0.188	0.98	326.42	3.023
480		0.474	-4006.337	-6.833	-3999.504	0.204	0.983	326.745	3.098
490		0.484	-4002.422	-6.964	-3995.458	0.23	0.991	323.712	3.031
500		0.493	-4003.099	-7.082	-3996.016	0.25	0.99	324.812	2.99
510		0.503	-4001.57	-7.23	-3994.341	0.306	0.989	318.447	2.716
520		0.513	-3999.633	-7.42	-3992.213	0.311	0.997	319.508	2.705
530		0.522	-3999.633	-7.42	-3992.213	0.311	0.997	319.508	2.705
540		0.532	-4002.129	-8.152	-3993.977	0.365	0.998	322.44	2.636
550		0.542	-4001.872	-8.442	-3993.43	0.387	0.995	320.69	2.633
560		0.551	-4000.454	-8.073	-3992.381	0.359	0.999	319.791	2.603
570		0.561	-4000.454	-8.073	-3992.381	0.359	0.999	319.791	2.603
580		0.571	-3996.163	-8.028	-3988.135	0.358	0.995	314.287	2.692
590		0.58	-3996.163	-8.028	-3988.135	0.358	0.995	314.287	2.692
600		0.59	-3994.523	-8.619	-3985.905	0.389	0.995	311.354	2.735
610		0.6	-3992.631	-8.848	-3983.783	0.391	0.996	309.018	2.838
620		0.609	-3992.631	-8.848	-3983.783	0.391	0.996	309.018	2.838
630		0.619	-3991.642	-9.38	-3982.262	0.407	1.0	308.289	2.83
640		0.629	-3991.642	-9.38	-3982.262	0.407	1.0	308.289	2.83
650		0.638	-3993.84	-9.421	-3984.419	0.423	0.99	307.039	2.88
660		0.648	-3993.048	-9.291	-3983.757	0.41	0.996	308.65	2.895
670		0.658	-3993.048	-9.291	-3983.757	0.41	0.996	308.65	2.895
680		0.668	-3991.547	-9.725	-3981.821	0.431	0.997	306.135	2.904
690		0.677	-3992.591	-9.064	-3983.526	0.385	0.997	309.368	3.002
700		0.687	-3992.929	-8.479	-3984.451	0.359	0.995	309.151	2.945
710		0.697	-3991.58	-8.27	-3983.31	0.356	0.995	306.838	2.868
720		0.706	-3990.039	-8.471	-3981.568	0.359	0.997	304.552	2.931
730		0.716	-3989.892	-8.359	-3981.532	0.354	0.997	304.838	2.901
740		0.725	-3988.927	-8.034	-3980.893	0.33	0.999	303.358	2.88
750		0.735	-3988.927	-8.034	-3980.893	0.33	0.999	303.358	2.88
760		0.745	-3989.633	-7.164	-3982.469	0.278	0.995	304.065	2.871
770		0.754	-3988.789	-7.532	-3981.256	0.316	0.986	295.686	2.87
780		0.764	-3985.046	-7.513	-3977.532	0.295	0.999	296.627	2.84
790		0.774	-3986.44	-7.683	-3978.757	0.305	0.996	296.861	2.962
800		0.783	-3986.513	-7.905	-3978.608	0.325	0.994	295.891	2.951
810		0.793	-3987.176	-9.633	-3977.543	0.426	0.994	294.092	2.963
820		0.802	-3984.74	-9.557	-3975.183	0.397	1.0	293.234	2.898
830		0.812	-3984.74	-9.557	-3975.183	0.397	1.0	293.234	2.898
840		0.822	-3984.85	-8.394	-3976.456	0.356	0.996	292.174	2.944
850		0.831	-3984.54	-8.046	-3976.493	0.337	0.998	292.818	2.886
860		0.841	-3984.058	-7.988	-3976.07	0.338	0.997	291.589	2.859
870		0.85	-3984.058	-7.988	-3976.07	0.338	0.997	291.589	2.859
880		0.86	-3986.036	-8.349	-3977.687	0.335	1.0	297.725	2.912
890		0.87	-3986.036	-8.349	-3977.687	0.335	1.0	297.725	2.912
900		0.879	-3986.471	-8.028	-3978.443	0.327	0.999	298.556	2.917
910		0.889	-3986.471	-8.028	-3978.443	0.327	0.999	298.556	2.917
920		0.899	-3988.134	-7.698	-3980.436	0.309	0.991	297.752	2.986
930		0.908	-3986.645	-8.529	-3978.116	0.351	0.998	296.939	3.024
940		0.918	-3987.358	-8.152	-3979.206	0.334	0.989	292.975	3.044
950		0.928	-3985.818	-9.218	-3976.6	0.379	1.0	295.567	3.049
960		0.937	-3988.346	-8.625	-3979.721	0.362	0.992	296.435	3.042
970		0.947	-3986.85	-9.509	-3977.341	0.397	0.999	297.513	3.052
980		0.956	-3986.601	-9.694	-3976.906	0.414	0.999	296.514	3.024
990		0.966	-3987.782	-9.404	-3978.378	0.401	0.996	297.418	3.061
1000		0.975	-3988.131	-9.14	-3978.991	0.37	0.999	300.445	3.123
1010		0.985	-3988.131	-9.14	-3978.991	0.37	0.999	300.445	3.123
1020		0.995	-3987.85	-8.586	-3979.265	0.341	0.998	298.886	3.12
1030		1.004	-3987.85	-8.586	-3979.265	0.341	0.998	298.886	3.12
1040		1.014	-3987.175	-8.791	-3978.385	0.362	0.996	296.999	3.083
1050		1.024	-3987.175	-8.791	-3978.385	0.362	0.996	296.999	3.083
1060		1.034	-3987.56	-8.587	-3978.973	0.328	0.995	294.687	3.25
1070		1.043	-3987.56	-8.587	-3978.973	0.328	0.995	294.687	3.25
1080		1.053	-3986.321	-7.625	-3978.696	0.284	0.995	294.751	3.082
1090		1.062	-3986.103	-7.261	-3978.842	0.254	0.995	293.399	3.086
1100		1.072	-3986.128	-7.244	-3978.883	0.262	0.991	291.44	3.064
1110		1.082	-3986.072	-7.296	-3978.776	0.258	0.993	292.696	3.092
1120		1.091	-3987.107	-7.539	-3979.568	0.274	0.991	293.599	3.128
1130		1.101	-3984.906	-7.973	-3976.933	0.294	0.998	290.987	3.156
1140		1.111	-3984.475	-8.656	-3975.819	0.332	0.999	289.345	3.16
1150		1.121	-3986.903	-8.646	-3978.257	0.335	0.994	291.283	3.244
1160		1.131	-3986.925	-8.761	-3978.164	0.328	0.997	291.975	3.314
1170		1.14	-3986.925	-8.761	-3978.164	0.328	0.997	291.975	3.314
1180		1.15	-3986.992	-7.863	-3979.13	0.282	0.997	296.635	3.182
1190		1.16	-3987.597	-7.856	-3979.74	0.286	0.998	299.642	3.13
1200		1.17	-3988.063	-7.965	-3980.099	0.279	0.998	300.018	3.209
1210		1.179	-3988.063	-7.965	-3980.099	0.279	0.998	300.018	3.209
1220		1.189	-3990.27	-8.014	-3982.256	0.297	0.991	301.534	3.201
1230		1.199	-3989.043	-7.759	-3981.285	0.271	0.997	302.378	3.189
1240		1.209	-3989.043	-7.759	-3981.285	0.271	0.997	302.378	3.189
1250		1.219	-3989.043	-7.759	-3981.285	0.271	0.997	302.378	3.189
1260		1.229	-3990.385	-7.559	-3982.826	0.266	0.992	302.835	3.166
1270		1.238	-3989.07	-7.915	-3981.156	0.297	0.995	300.926	3.136
1280		1.248	-3988.868	-8.463	-3980.405	0.328	0.996	300.478	3.18
1290		1.258	-3991.523	-8.34	-3983.183	0.291	0.997	307.207	3.326
1300		1.268	-3991.675	-7.868	-3983.807	0.258	0.996	306.708	3.313
1310		1.277	-3990.76	-8.784	-3981.976	0.321	0.998	304.257	3.334
1320		1.287	-3990.76	-8.784	-3981.976	0.321	0.998	304.257	3.334
1330		1.297	-3989.287	-9.267	-3980.02	0.352	0.996	297.645	3.381
1340		1.307	-3988.482	-9.228	-3979.255	0.359	0.999	300.696	3.228
1350		1.317	-3987.892	-8.916	-3978.976	0.346	0.997	298.3	3.245
1360		1.327	-3988.213	-8.23	-3979.983	0.308	0.997	299.197	3.199
1370		1.336	-3988.213	-8.23	-3979.983	0.308	0.997	299.197	3.199
1380		1.346	-3987.51	-8.659	-3978.851	0.34	0.999	299.032	3.128
1390		1.356	-3987.51	-8.659	-3978.851	0.34	0.999	299.032	3.128
1400		1.366	-3987.51	-8.659	-3978.851	0.34	0.999	299.032	3.128
1410		1.376	-3987.51	-8.659	-3978.851	0.34	0.999	299.032	3.128
1420		1.385	-3987.133	-7.983	-3979.15	0.301	0.998	298.978	3.094
1430		1.395	-3987.133	-7.983	-3979.15	0.301	0.998	298.978	3.094
1440		1.405	-3987.133	-7.983	-3979.15	0.301	0.998	298.978	3.094
1450		1.415	-3987.133	-7.983	-3979.15	0.301	0.998	298.978	3.094
1460		1.425	-3987.133	-7.983	-3979.15	0.301	0.998	298.978	3.094
1470		1.435	-3987.133	-7.983	-3979.15	0.301	0.998	298.978	3.094
1480		1.444	-3987.133	-7.983	-3979.15	0.301	0.998	298.978	3.094
1490		1.454	-3987.228	-8.744	-3978.484	0.358	0.999	299.31	3.042
1500		1.464	-3987.874	-8.875	-3978.999	0.359	1.0	300.831	3.037
1510		1.474	-3988.254	-8.516	-3979.739	0.351	0.995	299.071	3.049
1520		1.484	-3986.521	-8.729	-3977.792	0.362	0.996	295.205	3.059
1530		1.493	-3986.424	-8.827	-3977.596	0.363	0.998	295.68	3.073
1540		1.503	-3986.424	-8.827	-3977.596	0.363	0.998	295.68	3.073
1550		1.513	-3986.61	-9.207	-3977.402	0.352	1.0	297.165	3.035
1560		1.523	-3987.644	-7.422	-3980.223	0.282	0.992	296.603	3.019
1570		1.533	-3984.851	-6.973	-3977.878	0.237	0.998	294.744	2.975
1580		1.542	-3985.761	-7.239	-3978.522	0.252	0.997	295.085	3.055
1590		1.552	-3984.944	-7.373	-3977.572	0.257	0.999	294.485	3.028
1600		1.562	-3984.944	-7.373	-3977.572	0.257	0.999	294.485	3.028
1610		1.572	-3985.118	-7.986	-3977.132	0.31	0.998	292.991	3.062
1620		1.582	-3984.26	-8.945	-3975.315	0.369	0.998	289.683	3.081
1630		1.591	-3983.349	-8.068	-3975.281	0.308	0.999	288.308	3.087
1640		1.601	-3983.349	-8.068	-3975.281	0.308	0.999	288.308	3.087
1650		1.611	-3983.349	-8.068	-3975.281	0.308	0.999	288.308	3.087
1660		1.621	-3983.349	-8.068	-3975.281	0.308	0.999	288.308	3.087
1670		1.631	-3983.208	-8.047	-3975.161	0.321	0.997	286.547	3.037
1680		1.64	-3983.208	-8.047	-3975.161	0.321	0.997	286.547	3.037
1690		1.65	-3980.903	-8.05	-3972.852	0.329	0.998	282.187	2.958
1700		1.66	-3982.274	-7.98	-3974.295	0.333	0.995	283.705	2.945
1710		1.669	-3981.954	-8.949	-3973.006	0.396	0.994	280.718	2.917
1720		1.679	-3981.219	-9.298	-3971.92	0.405	0.999	282.08	2.917
1730		1.689	-3981.219	-9.298	-3971.92	0.405	0.999	282.08	2.917
1740		1.699	-3981.684	-10.411	-3971.273	0.455	1.0	281.884	2.93
1750		1.709	-3981.684	-10.411	-3971.273	0.455	1.0	281.884	2.93
1760		1.719	-3987.043	-10.269	-3976.774	0.467	0.985	279.576	2.909
1770		1.728	-3980.263	-10.301	-3969.962	0.458	1.0	279.434	2.833
1780		1.738	-3980.263	-10.301	-3969.962	0.458	1.0	279.434	2.833
1790		1.748	-3980.263	-10.301	-3969.962	0.458	1.0	279.434	2.833
1800		1.758	-3980.263	-10.301	-3969.962	0.458	1.0	279.434	2.833
1810		1.768	-3980.263	-10.301	-3969.962	0.458	1.0	279.434	2.833
1820		1.778	-3980.263	-10.301	-3969.962	0.458	1.0	279.434	2.833
1830		1.788	-3982.302	-8.412	-3973.89	0.375	0.991	281.389	2.842
1840		1.797	-3982.949	-7.495	-3975.454	0.323	0.991	285.526	2.791
1850		1.807	-3982.949	-7.495	-3975.454	0.323	0.991	285.526	2.791
1860		1.817	-3983.184	-7.581	-3975.603	0.338	0.991	285.869	2.709
1870		1.827	-3983.184	-7.581	-3975.603	0.338	0.991	285.869	2.709
1880		1.837	-3981.486	-7.857	-3973.629	0.352	0.996	285.241	2.7
1890		1.847	-3985.005	-8.809	-3976.196	0.406	0.984	283.076	2.787
1900		1.857	-3984.296	-9.471	-3974.825	0.437	0.992	286.288	2.781
1910		1.866	-3981.519	-8.956	-3972.563	0.402	0.999	285.577	2.759
1920		1.876	-3979.528	-8.215	-3971.313	0.378	0.994	277.663	2.692
1930		1.886	-3977.678	-6.375	-3971.303	0.254	0.996	276.875	2.601
1940		1.896	-3977.66	-6.467	-3971.193	0.269	0.992	273.174	2.604
1950		1.906	-3975.656	-5.837	-3969.819	0.214	0.996	270.906	2.514
1960		1.916	-3975.401	-5.792	-3969.61	0.171	0.999	272.266	2.552
1970		1.926	-3975.401	-5.792	-3969.61	0.171	0.999	272.266	2.552
1980		1.935	-3975.401	-5.792	-3969.61	0.171	0.999	272.266	2.552
1990		1.945	-3975.401	-5.792	-3969.61	0.171	0.999	272.266	2.552
2000		1.955	-3975.401	-5.792	-3969.61	0.171	0.999	272.266	2.552
2010		1.965	-3975.818	-5.978	-3969.84	0.185	1.0	273.498	2.537
2020		1.975	-3975.818	-5.978	-3969.84	0.185	1.0	273.498	2.537
2030		1.985	-3976.547	-5.671	-3970.876	0.187	0.992	269.616	2.587
2040		1.995	-3974.16	-5.6	-3968.56	0.165	0.999	268.636	2.503
2050		2.005	-3975.988	-5.474	-3970.515	0.13	0.997	270.201	2.529
2060		2.014	-3976.627	-5.383	-3971.244	0.146	0.995	272.623	2.483
2070		2.024	-3977.005	-5.367	-3971.638	0.2	0.991	271.541	2.286
2080		2.034	-3975.358	-6.004	-3969.353	0.23	1.0	270.984	2.168
2090		2.045	-3975.731	-5.355	-3970.375	0.206	0.995	269.431	2.178
2100		2.054	-3975.731	-5.355	-3970.375	0.206	0.995	269.431	2.178
2110		2.064	-3975.731	-5.355	-3970.375	0.206	0.995	269.431	2.178
2120		2.074	-3977.397	-5.574	-3971.824	0.238	0.985	266.704	2.229
2130		2.084	-3973.445	-5.818	-3967.627	0.253	0.995	264.675	2.199
2140		2.094	-3972.04	-6.302	-3965.738	0.265	1.0	264.197	2.22
2150		2.104	-3972.948	-5.888	-3967.06	0.26	0.994	262.928	2.21
2160		2.114	-3970.628	-6.03	-3964.598	0.245	1.0	261.019	2.262
2170		2.124	-3969.633	-5.947	-3963.686	0.27	0.994	254.574	2.148
2180		2.133	-3969.633	-5.947	-3963.686	0.27	0.994	254.574	2.148
2190		2.143	-3969.751	-5.491	-3964.26	0.226	0.996	249.55	2.132
2200		2.153	-3969.751	-5.491	-3964.26	0.226	0.996	249.55	2.132
2210		2.163	-3971.287	-5.563	-3965.725	0.244	0.99	249.951	2.096
2220		2.173	-3968.406	-5.666	-3962.739	0.255	0.992	248.974	2.035
2230		2.183	-3968.395	-5.833	-3962.562	0.244	0.999	248.698	2.116
2240		2.193	-3968.049	-5.541	-3962.508	0.219	0.999	252.362	2.078
2250		2.202	-3968.15	-5.173	-3962.976	0.194	0.995	250.034	2.065
2260		2.212	-3968.106	-4.984	-3963.122	0.129	0.998	250.635	2.058
2270		2.222	-3968.106	-4.984	-3963.122	0.129	0.998	250.635	2.058
2280		2.232	-3969.401	-4.98	-3964.421	0.125	0.996	252.817	2.14
2290		2.242	-3968.965	-5.138	-3963.828	0.108	0.999	252.809	2.118
2300		2.251	-3968.779	-5.241	-3963.539	0.113	1.0	252.101	2.088
2310		2.261	-3968.779	-5.241	-3963.539	0.113	1.0	252.101	2.088
2320		2.271	-3968.016	-5.114	-3962.902	0.153	0.999	251.759	2.059
2330		2.281	-3968.016	-5.114	-3962.902	0.153	0.999	251.759	2.059
2340		2.29	-3968.311	-4.962	-3963.349	0.128	0.997	250.775	2.066
2350		2.3	-3968.311	-4.962	-3963.349	0.128	0.997	250.775	2.066
2360		2.31	-3968.311	-4.962	-3963.349	0.128	0.997	250.775	2.066
2370		2.32	-3968.311	-4.962	-3963.349	0.128	0.997	250.775	2.066
2380		2.33	-3968.311	-4.962	-3963.349	0.128	0.997	250.775	2.066
2390		2.339	-3968.311	-4.962	-3963.349	0.128	0.997	250.775	2.066
2400		2.349	-3968.852	-5.064	-3963.788	0.185	0.994	250.506	2.029
2410		2.359	-3967.147	-4.851	-3962.296	0.15	0.994	243.61	1.896
2420		2.369	-3966.995	-4.941	-3962.054	0.166	0.995	239.537	1.895
2430		2.379	-3968.392	-4.802	-3963.589	0.154	0.99	242.37	1.852
2440		2.388	-3967.885	-4.917	-3962.968	0.166	0.995	239.617	1.869
2450		2.398	-3966.416	-5.007	-3961.41	0.152	0.999	245.022	1.927
2460		2.408	-3966.416	-5.007	-3961.41	0.152	0.999	245.022	1.927
2470		2.418	-3966.881	-5.097	-3961.784	0.135	1.0	244.068	1.845
2480		2.427	-3966.325	-4.98	-3961.345	0.149	0.999	243.584	1.878
2490		2.437	-3967.564	-4.776	-3962.789	0.141	0.991	239.912	1.815
2500		2.447	-3966.9	-4.849	-3962.051	0.145	0.995	241.734	1.846
2510		2.457	-3969.534	-4.888	-3964.646	0.182	0.983	240.637	1.849
2520		2.467	-3969.534	-4.888	-3964.646	0.182	0.983	240.637	1.849
2530		2.477	-3967.642	-5.091	-3962.551	0.205	0.988	241.285	1.877
2540		2.487	-3966.743	-5.271	-3961.473	0.197	0.999	242.4	1.982
2550		2.497	-3966.743	-5.271	-3961.473	0.197	0.999	242.4	1.982
2560		2.507	-3966.743	-5.271	-3961.473	0.197	0.999	242.4	1.982
2570		2.517	-3966.743	-5.271	-3961.473	0.197	0.999	242.4	1.982
2580		2.527	-3966.743	-5.271	-3961.473	0.197	0.999	242.4	1.982
2590		2.537	-3966.142	-5.916	-3960.226	0.257	0.999	241.873	1.995
2600		2.547	-3966.142	-5.916	-3960.226	0.257	0.999	241.873	1.995
2610		2.557	-3966.142	-5.916	-3960.226	0.257	0.999	241.873	1.995
2620		2.567	-3966.142	-5.916	-3960.226	0.257	0.999	241.873	1.995
2630		2.577	-3966.142	-5.916	-3960.226	0.257	0.999	241.873	1.995
2640		2.586	-3966.142	-5.916	-3960.226	0.257	0.999	241.873	1.995
2650		2.596	-3966.142	-5.916	-3960.226	0.257	0.999	241.873	1.995
2660		2.606	-3965.146	-5.412	-3959.734	0.231	0.995	234.344	1.847
2670		2.616	-3964.012	-5.653	-3958.36	0.234	0.999	234.421	1.838
2680		2.626	-3964.859	-5.997	-3958.861	0.255	1.0	235.046	1.831
2690		2.636	-3964.859	-5.997	-3958.861	0.255	1.0	235.046	1.831
2700		2.646	-3966.352	-4.999	-3961.353	0.186	0.992	235.244	1.898
2710		2.656	-3964.95	-5.383	-3959.566	0.184	1.0	236.653	1.877
2720		2.666	-3964.95	-5.383	-3959.566	0.184	1.0	236.653	1.877
2730		2.676	-3964.95	-5.383	-3959.566	0.184	1.0	236.653	1.877
2740		2.686	-3964.95	-5.383	-3959.566	0.184	1.0	236.653	1.877
2750		2.695	-3964.95	-5.383	-3959.566	0.184	1.0	236.653	1.877
2760		2.705	-3964.95	-5.383	-3959.566	0.184	1.0	236.653	1.877
2770		2.715	-3964.95	-5.383	-3959.566	0.184	1.0	236.653	1.877
2780		2.725	-3964.95	-5.383	-3959.566	0.184	1.0	236.653	1.877
2790		2.735	-3964.95	-5.383	-3959.566	0.184	1.0	236.653	1.877
2800		2.745	-3964.95	-5.383	-3959.566	0.184	1.0	236.653	1.877
2810		2.754	-3964.95	-5.383	-3959.566	0.184	1.0	236.653	1.877
2820		2.764	-3964.524	-4.882	-3959.641	0.137	0.997	232.424	1.838
2830		2.774	-3968.797	-4.823	-3963.974	0.169	0.983	233.934	1.843
2840		2.784	-3965.651	-4.899	-3960.752	0.157	0.995	235.024	1.869
2850		2.794	-3967.581	-4.848	-3962.733	0.141	0.995	239.313	1.903
2860		2.804	-3967.133	-5.017	-3962.116	0.172	0.997	241.834	1.927
2870		2.814	-3967.133	-5.017	-3962.116	0.172	0.997	241.834	1.927
2880		2.823	-3970.088	-5.297	-3964.79	0.234	0.981	236.908	1.858
2890		2.833	-3966.522	-5.12	-3961.402	0.187	0.998	238.834	1.839
2900		2.843	-3966.502	-5.175	-3961.327	0.211	0.992	240.278	1.843
2910		2.853	-3966.502	-5.175	-3961.327	0.211	0.992	240.278	1.843
2920		2.863	-3966.502	-5.175	-3961.327	0.211	0.992	240.278	1.843
2930		2.873	-3965.873	-5.608	-3960.265	0.222	1.0	240.579	1.767
2940		2.883	-3965.553	-5.4	-3960.153	0.2	1.0	237.382	1.828
2950		2.893	-3965.514	-5.173	-3960.342	0.18	0.999	235.454	1.783
2960		2.903	-3963.554	-5.248	-3958.306	0.201	0.998	232.861	1.718
2970		2.912	-3963.189	-5.317	-3957.872	0.209	0.998	230.403	1.815
2980		2.922	-3963.189	-5.317	-3957.872	0.209	0.998	230.403	1.815
2990		2.932	-3962.326	-5.714	-3956.611	0.253	0.998	227.818	1.805
3000		2.942	-3962.326	-5.714	-3956.611	0.253	0.998	227.818	1.805
3010		2.952	-3962.326	-5.714	-3956.611	0.253	0.998	227.818	1.805
3020		2.961	-3962.326	-5.714	-3956.611	0.253	0.998	227.818	1.805
3030		2.971	-3962.326	-5.714	-3956.611	0.253	0.998	227.818	1.805
3040		2.981	-3962.326	-5.714	-3956.611	0.253	0.998	227.818	1.805
3050		2.991	-3962.326	-5.714	-3956.611	0.253	0.998	227.818	1.805
3060		3.001	-3962.326	-5.714	-3956.611	0.253	0.998	227.818	1.805
3070		3.01	-3962.172	-5.833	-3956.339	0.26	0.998	228.001	1.806
3080		3.02	-3962.172	-5.833	-3956.339	0.26	0.998	228.001	1.806
3090		3.03	-3962.172	-5.833	-3956.339	0.26	0.998	228.001	1.806
3100		3.04	-3962.428	-5.679	-3956.749	0.248	0.998	228.644	1.804
3110		3.05	-3962.741	-5.915	-3956.827	0.277	0.995	225.51	1.765
3120		3.06	-3961.529	-5.89	-3955.64	0.27	0.997	223.671	1.751
3130		3.07	-3962.671	-5.875	-3956.796	0.274	0.994	224.27	1.738
3140		3.079	-3962.671	-5.875	-3956.796	0.274	0.994	224.27	1.738
3150		3.089	-3962.671	-5.875	-3956.796	0.274	0.994	224.27	1.738
3160		3.099	-3962.671	-5.875	-3956.796	0.274	0.994	224.27	1.738
3170		3.109	-3962.671	-5.875	-3956.796	0.274	0.994	224.27	1.738
3180		3.119	-3962.671	-5.875	-3956.796	0.274	0.994	224.27	1.738
3190		3.129	-3964.659	-5.851	-3958.808	0.273	0.994	228.413	1.709
3200		3.138	-3963.895	-5.701	-3958.194	0.261	0.992	225.439	1.698
3210		3.148	-3964.569	-6.098	-3958.471	0.293	0.992	224.89	1.663
3220		3.158	-3964.569	-6.098	-3958.471	0.293	0.992	224.89	1.663
