iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-6862.223	-4.941	-6857.282	0.144	0.872	319.978	2.26
10		0.011	-6862.223	-4.941	-6857.282	0.144	0.872	319.978	2.26
20		0.02	-6862.223	-4.941	-6857.282	0.144	0.872	319.978	2.26
30		0.03	-6844.276	-4.93	-6839.346	0.105	0.905	316.579	2.227
40		0.04	-6793.595	-5.116	-6788.478	0.08	0.883	310.516	2.3
50		0.049	-6793.595	-5.116	-6788.478	0.08	0.883	310.516	2.3
60		0.059	-6793.595	-5.116	-6788.478	0.08	0.883	310.516	2.3
70		0.069	-6793.595	-5.116	-6788.478	0.08	0.883	310.516	2.3
80		0.078	-6793.595	-5.116	-6788.478	0.08	0.883	310.516	2.3
90		0.088	-6793.595	-5.116	-6788.478	0.08	0.883	310.516	2.3
100		0.098	-6793.595	-5.116	-6788.478	0.08	0.883	310.516	2.3
110		0.107	-6793.595	-5.116	-6788.478	0.08	0.883	310.516	2.3
120		0.117	-6793.595	-5.116	-6788.478	0.08	0.883	310.516	2.3
130		0.126	-6793.595	-5.116	-6788.478	0.08	0.883	310.516	2.3
140		0.136	-6793.595	-5.116	-6788.478	0.08	0.883	310.516	2.3
150		0.146	-6793.595	-5.116	-6788.478	0.08	0.883	310.516	2.3
160		0.155	-6793.595	-5.116	-6788.478	0.08	0.883	310.516	2.3
170		0.165	-6793.595	-5.116	-6788.478	0.08	0.883	310.516	2.3
180		0.175	-6785.2	-6.694	-6778.506	0.024	0.891	310.548	2.277
190		0.184	-6785.2	-6.694	-6778.506	0.024	0.891	310.548	2.277
200		0.194	-6785.2	-6.694	-6778.506	0.024	0.891	310.548	2.277
210		0.204	-6782.434	-6.698	-6775.736	0.023	0.904	311.496	2.232
220		0.213	-6782.434	-6.698	-6775.736	0.023	0.904	311.496	2.232
230		0.223	-6782.434	-6.698	-6775.736	0.023	0.904	311.496	2.232
240		0.233	-6782.434	-6.698	-6775.736	0.023	0.904	311.496	2.232
250		0.242	-6782.434	-6.698	-6775.736	0.023	0.904	311.496	2.232
260		0.252	-6782.434	-6.698	-6775.736	0.023	0.904	311.496	2.232
270		0.262	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
280		0.271	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
290		0.281	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
300		0.29	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
310		0.3	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
320		0.31	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
330		0.319	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
340		0.329	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
350		0.339	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
360		0.348	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
370		0.358	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
380		0.368	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
390		0.377	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
400		0.387	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
410		0.397	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
420		0.406	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
430		0.416	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
440		0.426	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
450		0.435	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
460		0.445	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
470		0.455	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
480		0.465	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
490		0.474	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
500		0.484	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
510		0.494	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
520		0.503	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
530		0.513	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
540		0.523	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
550		0.533	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
560		0.542	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
570		0.552	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
580		0.562	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
590		0.571	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
600		0.581	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
610		0.59	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
620		0.6	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
630		0.61	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
640		0.619	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
650		0.629	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
660		0.639	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
670		0.648	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
680		0.658	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
690		0.668	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
700		0.678	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
710		0.687	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
720		0.697	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
730		0.707	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
740		0.716	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
750		0.726	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
760		0.736	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
770		0.745	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
780		0.755	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
790		0.765	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
800		0.774	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
810		0.784	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
820		0.794	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
830		0.803	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
840		0.813	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
850		0.822	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
860		0.832	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
870		0.842	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
880		0.851	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
890		0.861	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
900		0.87	-6729.082	-7.535	-6721.547	0.015	0.964	316.741	2.21
910		0.88	-6722.796	-6.531	-6716.265	0.029	0.981	317.411	2.257
920		0.89	-6722.796	-6.531	-6716.265	0.029	0.981	317.411	2.257
930		0.899	-6722.796	-6.531	-6716.265	0.029	0.981	317.411	2.257
940		0.909	-6722.796	-6.531	-6716.265	0.029	0.981	317.411	2.257
950		0.919	-6722.796	-6.531	-6716.265	0.029	0.981	317.411	2.257
960		0.928	-6722.796	-6.531	-6716.265	0.029	0.981	317.411	2.257
970		0.938	-6722.796	-6.531	-6716.265	0.029	0.981	317.411	2.257
980		0.947	-6722.796	-6.531	-6716.265	0.029	0.981	317.411	2.257
990		0.957	-6722.796	-6.531	-6716.265	0.029	0.981	317.411	2.257
1000		0.967	-6722.796	-6.531	-6716.265	0.029	0.981	317.411	2.257
1010		0.976	-6722.796	-6.531	-6716.265	0.029	0.981	317.411	2.257
1020		0.986	-6722.796	-6.531	-6716.265	0.029	0.981	317.411	2.257
1030		0.996	-6722.796	-6.531	-6716.265	0.029	0.981	317.411	2.257
1040		1.005	-6721.058	-6.233	-6714.825	0.036	0.972	316.768	2.319
1050		1.015	-6721.058	-6.233	-6714.825	0.036	0.972	316.768	2.319
1060		1.025	-6721.058	-6.233	-6714.825	0.036	0.972	316.768	2.319
1070		1.034	-6721.058	-6.233	-6714.825	0.036	0.972	316.768	2.319
1080		1.044	-6721.058	-6.233	-6714.825	0.036	0.972	316.768	2.319
1090		1.054	-6721.058	-6.233	-6714.825	0.036	0.972	316.768	2.319
1100		1.063	-6721.058	-6.233	-6714.825	0.036	0.972	316.768	2.319
1110		1.073	-6721.058	-6.233	-6714.825	0.036	0.972	316.768	2.319
1120		1.083	-6721.058	-6.233	-6714.825	0.036	0.972	316.768	2.319
1130		1.092	-6721.058	-6.233	-6714.825	0.036	0.972	316.768	2.319
1140		1.102	-6721.058	-6.233	-6714.825	0.036	0.972	316.768	2.319
1150		1.112	-6721.058	-6.233	-6714.825	0.036	0.972	316.768	2.319
1160		1.122	-6721.058	-6.233	-6714.825	0.036	0.972	316.768	2.319
