iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-4189.456	-5.454	-4184.002	0.058	0.261	361.42	2.098
10		0.011	-4135.796	-5.119	-4130.677	0.072	0.341	352.695	2.054
20		0.02	-4093.285	-4.993	-4088.292	0.172	0.418	356.225	2.053
30		0.03	-4045.962	-5.07	-4040.892	0.174	0.511	355.788	2.151
40		0.039	-3984.083	-5.141	-3978.942	0.187	0.654	354.179	2.149
50		0.049	-3956.263	-4.851	-3951.412	0.136	0.698	343.139	2.119
60		0.059	-3913.191	-4.839	-3908.352	0.131	0.824	343.714	2.05
70		0.068	-3857.06	-5.141	-3851.919	0.129	0.992	338.994	2.112
80		0.078	-3853.834	-5.156	-3848.678	0.141	0.992	334.029	2.144
90		0.088	-3856.894	-5.193	-3851.7	0.127	0.982	328.064	2.31
100		0.097	-3849.624	-5.549	-3844.076	0.13	0.997	318.677	2.487
110		0.107	-3848.69	-5.652	-3843.039	0.084	0.998	315.274	2.425
120		0.116	-3846.719	-5.306	-3841.413	0.134	0.997	313.096	2.293
130		0.126	-3846.719	-5.306	-3841.413	0.134	0.997	313.096	2.293
140		0.135	-3846.434	-5.346	-3841.088	0.134	0.999	313.304	2.263
150		0.146	-3846.434	-5.346	-3841.088	0.134	0.999	313.304	2.263
160		0.156	-3843.3	-5.131	-3838.168	0.129	0.995	302.561	2.23
170		0.165	-3841.499	-5.185	-3836.314	0.134	0.998	300.903	2.194
180		0.175	-3841.429	-5.118	-3836.311	0.142	0.994	297.167	2.23
190		0.185	-3841.071	-5.171	-3835.901	0.129	0.997	298.332	2.235
200		0.195	-3842.108	-5.074	-3837.033	0.111	0.993	297.021	2.215
210		0.205	-3842.779	-4.957	-3837.822	0.131	0.986	295.421	2.174
220		0.214	-3839.261	-5.228	-3834.033	0.141	0.999	295.475	2.185
230		0.224	-3839.261	-5.228	-3834.033	0.141	0.999	295.475	2.185
240		0.234	-3839.979	-5.034	-3834.945	0.156	0.996	295.689	2.042
250		0.244	-3837.798	-5.371	-3832.427	0.207	0.996	291.63	2.072
260		0.253	-3837.798	-5.371	-3832.427	0.207	0.996	291.63	2.072
270		0.263	-3836.955	-5.545	-3831.41	0.236	0.994	287.61	2.052
280		0.273	-3838.673	-5.229	-3833.445	0.205	0.984	283.916	2.134
290		0.283	-3838.673	-5.229	-3833.445	0.205	0.984	283.916	2.134
300		0.292	-3838.022	-5.293	-3832.729	0.217	0.986	283.131	2.073
310		0.302	-3835.706	-5.318	-3830.388	0.209	0.995	284.122	2.059
320		0.312	-3835.706	-5.318	-3830.388	0.209	0.995	284.122	2.059
330		0.322	-3835.706	-5.318	-3830.388	0.209	0.995	284.122	2.059
340		0.331	-3835.706	-5.318	-3830.388	0.209	0.995	284.122	2.059
350		0.341	-3834.686	-5.483	-3829.203	0.191	1.0	283.912	2.079
360		0.351	-3835.531	-5.587	-3829.944	0.224	0.998	284.857	2.137
370		0.361	-3835.521	-5.765	-3829.756	0.25	0.994	282.428	2.156
380		0.37	-3833.445	-6.027	-3827.417	0.257	1.0	281.007	2.082
390		0.38	-3833.445	-6.027	-3827.417	0.257	1.0	281.007	2.082
400		0.389	-3833.736	-6.273	-3827.463	0.299	0.994	276.807	2.06
