iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-3877.108	-4.74	-3872.368	0.083	0.153	284.099	1.991
10		0.011	-3794.682	-5.013	-3789.669	0.058	0.283	276.325	1.989
20		0.021	-3767.102	-4.657	-3762.445	0.1	0.332	277.152	2.142
30		0.031	-3729.646	-4.942	-3724.704	0.217	0.408	276.413	1.979
40		0.041	-3692.005	-4.791	-3687.213	0.194	0.507	285.943	2.011
50		0.051	-3670.935	-5.329	-3665.605	0.249	0.571	289.086	2.072
60		0.061	-3642.539	-4.775	-3637.763	0.144	0.661	296.155	2.252
70		0.071	-3625.649	-4.964	-3620.685	0.174	0.717	304.452	2.281
80		0.081	-3589.736	-5.019	-3584.717	0.179	0.942	308.419	2.152
90		0.091	-3582.716	-4.929	-3577.787	0.089	0.962	311.053	2.044
100		0.101	-3566.92	-4.973	-3561.947	0.078	0.958	318.01	1.86
110		0.111	-3568.935	-4.783	-3564.152	0.106	0.951	318.209	1.885
120		0.121	-3557.363	-5.108	-3552.255	0.078	0.99	316.064	1.738
130		0.132	-3559.663	-5.177	-3554.486	0.066	0.97	317.937	1.694
140		0.142	-3558.749	-5.276	-3553.473	0.06	0.969	316.435	1.661
150		0.152	-3553.834	-5.43	-3548.404	0.061	0.995	315.494	1.671
160		0.162	-3553.834	-5.43	-3548.404	0.061	0.995	315.494	1.671
170		0.171	-3554.505	-5.064	-3549.441	0.089	0.993	316.673	1.69
180		0.181	-3554.505	-5.064	-3549.441	0.089	0.993	316.673	1.69
190		0.191	-3553.131	-5.29	-3547.841	0.072	0.996	316.146	1.664
200		0.201	-3553.131	-5.29	-3547.841	0.072	0.996	316.146	1.664
210		0.211	-3552.77	-5.041	-3547.729	0.131	0.993	312.418	1.511
220		0.221	-3553.276	-5.141	-3548.134	0.169	0.982	308.674	1.433
230		0.231	-3550.128	-5.446	-3544.682	0.205	0.995	307.628	1.482
240		0.24	-3546.632	-5.509	-3541.123	0.204	0.995	296.711	1.393
250		0.25	-3546.632	-5.509	-3541.123	0.204	0.995	296.711	1.393
260		0.26	-3546.632	-5.509	-3541.123	0.204	0.995	296.711	1.393
270		0.27	-3546.645	-5.504	-3541.14	0.202	0.998	297.931	1.457
280		0.28	-3546.472	-5.539	-3540.934	0.196	0.998	296.991	1.387
290		0.29	-3546.472	-5.539	-3540.934	0.196	0.998	296.991	1.387
300		0.3	-3546.472	-5.539	-3540.934	0.196	0.998	296.991	1.387
