iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-3968.32	-8.082	-3960.238	0.413	0.506	159.828	1.644
10		0.011	-3943.481	-7.746	-3935.735	0.397	0.586	160.775	1.721
20		0.02	-3917.903	-8.8	-3909.103	0.446	0.68	154.618	1.727
30		0.03	-3905.242	-8.726	-3896.516	0.44	0.787	152.877	1.914
40		0.04	-3906.806	-9.383	-3897.423	0.464	0.842	145.853	1.977
50		0.05	-3901.562	-7.997	-3893.565	0.394	0.836	141.793	1.852
60		0.059	-3901.562	-7.997	-3893.565	0.394	0.836	141.793	1.852
70		0.069	-3901.562	-7.997	-3893.565	0.394	0.836	141.793	1.852
80		0.079	-3901.351	-7.816	-3893.535	0.379	0.82	136.354	1.786
90		0.089	-3900.287	-7.775	-3892.512	0.376	0.836	136.161	1.792
100		0.098	-3900.561	-7.126	-3893.434	0.339	0.804	137.75	1.771
110		0.108	-3897.919	-6.765	-3891.154	0.312	0.793	136.674	1.71
120		0.118	-3897.919	-6.765	-3891.154	0.312	0.793	136.674	1.71
130		0.127	-3897.919	-6.765	-3891.154	0.312	0.793	136.674	1.71
140		0.137	-3897.634	-6.168	-3891.465	0.253	0.837	129.875	1.704
150		0.146	-3896.962	-6.684	-3890.278	0.299	0.82	131.605	1.695
160		0.156	-3897.672	-6.714	-3890.958	0.304	0.825	133.267	1.725
170		0.165	-3896.67	-7.071	-3889.599	0.325	0.815	130.719	1.675
180		0.175	-3895.103	-6.516	-3888.587	0.288	0.788	133.707	1.64
190		0.185	-3895.103	-6.516	-3888.587	0.288	0.788	133.707	1.64
200		0.194	-3896.15	-6.481	-3889.668	0.276	0.769	129.478	1.576
210		0.204	-3886.389	-5.749	-3880.64	0.175	0.748	129.593	1.39
220		0.213	-3874.086	-5.983	-3868.103	0.178	0.808	125.467	1.319
230		0.223	-3846.359	-6.33	-3840.029	0.086	0.834	128.26	1.14
240		0.233	-3814.502	-6.522	-3807.98	0.083	0.951	133.88	1.087
250		0.242	-3805.995	-7.338	-3798.657	0.052	0.994	127.296	1.084
260		0.252	-3805.426	-7.071	-3798.354	0.064	0.99	127.663	1.07
270		0.262	-3806.653	-7.11	-3799.543	0.06	0.984	131.878	1.048
280		0.272	-3807.264	-8.389	-3798.875	0.025	0.996	132.735	1.078
290		0.281	-3807.406	-7.56	-3799.847	0.053	0.977	134.056	0.954
300		0.291	-3802.065	-6.874	-3795.192	0.105	0.985	135.569	0.981
310		0.301	-3803.707	-6.76	-3796.947	0.174	0.985	136.334	1.035
320		0.31	-3802.26	-6.693	-3795.567	0.152	0.996	133.895	1.075
330		0.32	-3802.728	-6.686	-3796.043	0.154	0.993	134.351	1.06
340		0.33	-3804.742	-6.516	-3798.227	0.135	0.987	132.902	1.087
350		0.339	-3802.4	-6.928	-3795.472	0.14	1.0	129.555	1.083
360		0.349	-3803.806	-6.738	-3797.068	0.161	0.989	127.962	1.074
370		0.359	-3796.937	-7.693	-3789.244	0.216	0.998	130.845	0.957
380		0.368	-3795.707	-7.608	-3788.099	0.213	0.998	129.36	0.971
390		0.378	-3795.707	-7.608	-3788.099	0.213	0.998	129.36	0.971
400		0.387	-3795.707	-7.608	-3788.099	0.213	0.998	129.36	0.971
410		0.397	-3795.707	-7.608	-3788.099	0.213	0.998	129.36	0.971
420		0.407	-3795.707	-7.608	-3788.099	0.213	0.998	129.36	0.971
430		0.416	-3795.707	-7.608	-3788.099	0.213	0.998	129.36	0.971
