iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-4900.528	-4.833	-4895.695	0.207	0.634	233.846	1.936
10		0.011	-4784.201	-4.643	-4779.558	0.176	0.65	233.354	1.993
20		0.021	-4784.201	-4.643	-4779.558	0.176	0.65	233.354	1.993
30		0.03	-4784.201	-4.643	-4779.558	0.176	0.65	233.354	1.993
40		0.04	-4784.201	-4.643	-4779.558	0.176	0.65	233.354	1.993
50		0.05	-4784.201	-4.643	-4779.558	0.176	0.65	233.354	1.993
60		0.059	-4784.201	-4.643	-4779.558	0.176	0.65	233.354	1.993
70		0.069	-4784.201	-4.643	-4779.558	0.176	0.65	233.354	1.993
80		0.079	-4769.653	-4.813	-4764.84	0.202	0.705	235.582	1.974
90		0.089	-4751.812	-4.557	-4747.255	0.148	0.776	232.719	2.003
100		0.099	-4736.076	-4.495	-4731.581	0.115	0.765	232.35	1.928
110		0.108	-4736.076	-4.495	-4731.581	0.115	0.765	232.35	1.928
120		0.118	-4729.968	-4.496	-4725.472	0.138	0.787	235.688	1.911
130		0.128	-4729.968	-4.496	-4725.472	0.138	0.787	235.688	1.911
140		0.138	-4729.968	-4.496	-4725.472	0.138	0.787	235.688	1.911
150		0.147	-4729.968	-4.496	-4725.472	0.138	0.787	235.688	1.911
160		0.157	-4729.968	-4.496	-4725.472	0.138	0.787	235.688	1.911
170		0.167	-4729.968	-4.496	-4725.472	0.138	0.787	235.688	1.911
180		0.177	-4729.968	-4.496	-4725.472	0.138	0.787	235.688	1.911
190		0.186	-4729.968	-4.496	-4725.472	0.138	0.787	235.688	1.911
200		0.196	-4729.968	-4.496	-4725.472	0.138	0.787	235.688	1.911
210		0.206	-4729.968	-4.496	-4725.472	0.138	0.787	235.688	1.911
220		0.216	-4729.968	-4.496	-4725.472	0.138	0.787	235.688	1.911
230		0.225	-4706.585	-4.916	-4701.67	0.212	0.837	230.282	1.871
240		0.235	-4706.585	-4.916	-4701.67	0.212	0.837	230.282	1.871
