iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-4007.922	-5.361	-4002.561	0.197	0.676	397.328	1.852
10		0.01	-3988.004	-5.135	-3982.868	0.1	0.731	397.586	1.879
20		0.019	-3967.747	-5.204	-3962.543	0.093	0.777	395.535	1.98
30		0.028	-3944.263	-5.571	-3938.692	0.22	0.854	393.084	1.822
40		0.037	-3912.449	-6.547	-3905.902	0.297	0.957	395.14	1.851
50		0.046	-3901.706	-6.137	-3895.569	0.254	0.974	394.396	2.022
60		0.055	-3894.538	-6.316	-3888.222	0.257	0.993	393.67	2.066
70		0.064	-3892.88	-6.728	-3886.152	0.275	0.998	395.097	2.124
80		0.073	-3892.88	-6.728	-3886.152	0.275	0.998	395.097	2.124
90		0.082	-3894.323	-6.327	-3887.996	0.255	0.99	394.781	2.151
100		0.091	-3894.323	-6.327	-3887.996	0.255	0.99	394.781	2.151
110		0.1	-3890.754	-6.403	-3884.351	0.221	1.0	394.702	2.195
120		0.109	-3890.581	-5.978	-3884.603	0.201	0.992	393.323	2.3
130		0.118	-3888.336	-6.866	-3881.47	0.267	0.999	393.434	2.299
140		0.127	-3888.411	-6.487	-3881.924	0.246	0.995	393.136	2.342
150		0.136	-3887.157	-6.881	-3880.276	0.269	0.998	392.954	2.4
160		0.145	-3886.348	-6.0	-3880.348	0.188	0.997	389.558	2.346
170		0.154	-3885.194	-6.293	-3878.901	0.232	0.996	387.095	2.31
180		0.163	-3885.194	-6.293	-3878.901	0.232	0.996	387.095	2.31
190		0.172	-3885.434	-6.133	-3879.301	0.209	0.997	388.372	2.322
200		0.182	-3885.434	-6.133	-3879.301	0.209	0.997	388.372	2.322
210		0.191	-3882.831	-6.36	-3876.471	0.229	0.999	384.609	2.313
220		0.201	-3880.225	-6.584	-3873.641	0.24	1.0	380.296	2.31
230		0.211	-3879.259	-6.177	-3873.082	0.22	0.998	377.574	2.306
240		0.22	-3879.259	-6.177	-3873.082	0.22	0.998	377.574	2.306
250		0.23	-3879.259	-6.177	-3873.082	0.22	0.998	377.574	2.306
260		0.24	-3878.302	-6.125	-3872.177	0.218	0.996	376.348	2.351
270		0.25	-3878.631	-6.559	-3872.072	0.262	0.995	376.352	2.362
280		0.26	-3873.74	-6.101	-3867.639	0.186	0.983	374.227	2.622
290		0.27	-3870.46	-6.165	-3864.296	0.126	0.997	374.697	2.685
300		0.28	-3871.686	-6.102	-3865.585	0.112	0.995	375.368	2.669
310		0.289	-3871.25	-6.166	-3865.083	0.109	0.996	375.189	2.693
320		0.299	-3868.773	-6.065	-3862.708	0.154	0.99	368.856	2.691
330		0.309	-3863.82	-6.352	-3857.468	0.172	0.998	363.191	2.744
340		0.319	-3861.872	-6.152	-3855.72	0.138	0.993	355.099	2.798
350		0.329	-3861.012	-5.923	-3855.089	0.114	0.996	354.661	2.632
360		0.338	-3863.042	-5.884	-3857.158	0.113	0.987	353.597	2.681
370		0.348	-3860.365	-5.842	-3854.523	0.131	0.988	349.482	2.669
380		0.358	-3855.929	-5.792	-3850.137	0.168	0.996	345.355	2.505
390		0.368	-3855.929	-5.792	-3850.137	0.168	0.996	345.355	2.505
400		0.378	-3856.87	-5.573	-3851.298	0.129	0.989	342.558	2.511
410		0.388	-3856.87	-5.573	-3851.298	0.129	0.989	342.558	2.511
420		0.398	-3854.5	-5.623	-3848.877	0.111	0.996	340.71	2.477
430		0.407	-3854.5	-5.623	-3848.877	0.111	0.996	340.71	2.477
440		0.417	-3854.5	-5.623	-3848.877	0.111	0.996	340.71	2.477
450		0.427	-3853.925	-5.598	-3848.327	0.134	0.996	340.426	2.469
460		0.437	-3853.925	-5.598	-3848.327	0.134	0.996	340.426	2.469
470		0.447	-3853.925	-5.598	-3848.327	0.134	0.996	340.426	2.469
480		0.456	-3857.141	-6.022	-3851.119	0.108	0.999	347.973	2.578
490		0.466	-3856.319	-6.118	-3850.201	0.112	0.999	346.448	2.679
500		0.476	-3858.837	-5.644	-3853.193	0.128	0.991	348.299	2.525
510		0.486	-3857.018	-5.865	-3851.153	0.119	0.997	347.02	2.614
520		0.496	-3856.174	-6.27	-3849.904	0.164	1.0	347.806	2.665
530		0.506	-3856.174	-6.27	-3849.904	0.164	1.0	347.806	2.665
540		0.516	-3856.174	-6.27	-3849.904	0.164	1.0	347.806	2.665
550		0.526	-3856.437	-5.935	-3850.502	0.157	0.996	346.73	2.623
560		0.535	-3856.437	-5.935	-3850.502	0.157	0.996	346.73	2.623
570		0.545	-3856.576	-5.838	-3850.738	0.15	0.994	345.873	2.609
580		0.555	-3856.576	-5.838	-3850.738	0.15	0.994	345.873	2.609
590		0.565	-3856.533	-6.353	-3850.181	0.192	1.0	348.912	2.553
600		0.575	-3857.0	-5.993	-3851.006	0.207	0.99	344.81	2.533
610		0.585	-3854.008	-5.809	-3848.199	0.191	0.994	340.557	2.465
