iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-4069.919	-4.921	-4064.998	0.197	0.661	186.252	1.819
10		0.011	-4037.081	-5.422	-4031.659	0.246	0.749	179.531	1.817
20		0.021	-3992.634	-5.656	-3986.979	0.261	0.881	180.302	1.697
30		0.031	-3965.548	-5.989	-3959.558	0.264	0.992	174.358	1.724
40		0.04	-3962.132	-6.268	-3955.864	0.283	0.989	169.35	1.623
50		0.05	-3961.562	-6.258	-3955.304	0.271	0.998	169.534	1.645
60		0.06	-3959.874	-6.334	-3953.541	0.271	0.999	169.435	1.619
70		0.07	-3956.978	-6.478	-3950.5	0.288	0.99	164.752	1.504
80		0.08	-3956.978	-6.478	-3950.5	0.288	0.99	164.752	1.504
90		0.089	-3953.777	-6.862	-3946.915	0.309	0.992	167.58	1.41
100		0.099	-3954.194	-6.955	-3947.239	0.314	0.991	164.092	1.408
110		0.109	-3952.024	-7.136	-3944.888	0.316	0.997	165.687	1.369
120		0.118	-3951.477	-7.32	-3944.157	0.314	1.0	161.232	1.389
130		0.128	-3951.477	-7.32	-3944.157	0.314	1.0	161.232	1.389
140		0.138	-3951.477	-7.32	-3944.157	0.314	1.0	161.232	1.389
150		0.148	-3949.913	-7.196	-3942.717	0.297	1.0	159.784	1.337
160		0.157	-3949.913	-7.196	-3942.717	0.297	1.0	159.784	1.337
170		0.167	-3952.026	-6.794	-3945.231	0.28	0.991	160.246	1.27
180		0.177	-3950.473	-7.268	-3943.205	0.297	0.999	162.55	1.244
190		0.186	-3950.473	-7.268	-3943.205	0.297	0.999	162.55	1.244
200		0.196	-3950.381	-7.689	-3942.693	0.327	0.998	166.156	1.192
210		0.206	-3952.257	-7.886	-3944.371	0.359	0.995	165.034	1.288
220		0.216	-3953.494	-8.585	-3944.909	0.401	0.988	162.104	1.272
230		0.225	-3951.202	-8.412	-3942.789	0.382	0.999	163.853	1.319
240		0.235	-3951.202	-8.412	-3942.789	0.382	0.999	163.853	1.319
250		0.245	-3952.408	-8.77	-3943.638	0.407	0.998	168.783	1.307
260		0.255	-3952.408	-8.77	-3943.638	0.407	0.998	168.783	1.307
270		0.264	-3952.007	-8.771	-3943.236	0.407	0.999	166.22	1.367
280		0.274	-3952.007	-8.771	-3943.236	0.407	0.999	166.22	1.367
290		0.284	-3952.167	-8.736	-3943.43	0.41	0.997	167.031	1.321
300		0.293	-3953.063	-7.484	-3945.579	0.343	0.994	167.669	1.349
310		0.303	-3952.281	-7.43	-3944.851	0.322	1.0	168.745	1.409
320		0.313	-3952.281	-7.43	-3944.851	0.322	1.0	168.745	1.409
330		0.323	-3952.281	-7.43	-3944.851	0.322	1.0	168.745	1.409
340		0.332	-3952.281	-7.43	-3944.851	0.322	1.0	168.745	1.409
350		0.342	-3952.617	-7.184	-3945.433	0.324	0.998	169.317	1.411
360		0.352	-3952.617	-7.184	-3945.433	0.324	0.998	169.317	1.411
370		0.362	-3952.149	-6.982	-3945.168	0.306	0.997	167.666	1.373
380		0.371	-3952.149	-6.982	-3945.168	0.306	0.997	167.666	1.373
390		0.381	-3950.985	-7.111	-3943.875	0.304	0.998	166.043	1.299
400		0.391	-3950.985	-7.111	-3943.875	0.304	0.998	166.043	1.299
410		0.401	-3953.241	-6.939	-3946.302	0.309	0.993	168.586	1.358
420		0.411	-3953.42	-6.614	-3946.807	0.289	0.992	168.618	1.391
430		0.421	-3950.801	-6.39	-3944.411	0.243	0.994	158.103	1.291
440		0.43	-3950.173	-6.842	-3943.332	0.263	0.998	159.749	1.223
450		0.44	-3950.173	-6.842	-3943.332	0.263	0.998	159.749	1.223
460		0.45	-3950.971	-7.074	-3943.897	0.301	0.996	161.695	1.295
470		0.46	-3950.971	-7.074	-3943.897	0.301	0.996	161.695	1.295
480		0.47	-3951.14	-6.748	-3944.392	0.264	1.0	165.058	1.388
490		0.479	-3951.14	-6.748	-3944.392	0.264	1.0	165.058	1.388
500		0.489	-3951.14	-6.748	-3944.392	0.264	1.0	165.058	1.388
510		0.499	-3951.14	-6.748	-3944.392	0.264	1.0	165.058	1.388
520		0.509	-3951.14	-6.748	-3944.392	0.264	1.0	165.058	1.388
530		0.519	-3954.532	-6.54	-3947.992	0.275	0.987	168.911	1.299
540		0.528	-3954.532	-6.54	-3947.992	0.275	0.987	168.911	1.299
550		0.538	-3955.975	-6.818	-3949.157	0.3	0.982	168.868	1.306
560		0.548	-3953.14	-7.834	-3945.307	0.368	0.995	171.87	1.367
570		0.558	-3953.509	-7.99	-3945.52	0.368	0.998	172.898	1.309
580		0.568	-3953.509	-7.99	-3945.52	0.368	0.998	172.898	1.309
590		0.578	-3952.092	-6.977	-3945.115	0.297	1.0	173.359	1.401
600		0.587	-3952.092	-6.977	-3945.115	0.297	1.0	173.359	1.401
610		0.597	-3952.092	-6.977	-3945.115	0.297	1.0	173.359	1.401
620		0.607	-3952.092	-6.977	-3945.115	0.297	1.0	173.359	1.401
630		0.617	-3952.092	-6.977	-3945.115	0.297	1.0	173.359	1.401
