iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-3908.41	-7.396	-3901.014	0.312	0.192	448.771	1.345
10		0.011	-3878.661	-8.013	-3870.648	0.353	0.253	453.914	1.361
20		0.021	-3858.246	-6.901	-3851.345	0.293	0.276	449.603	1.52
30		0.031	-3781.364	-5.675	-3775.689	0.179	0.438	449.045	1.661
40		0.041	-3703.653	-6.359	-3697.294	0.266	0.63	441.671	1.825
50		0.051	-3663.245	-6.465	-3656.78	0.267	0.768	447.527	1.731
60		0.061	-3637.839	-6.06	-3631.779	0.221	0.861	450.945	1.712
70		0.071	-3605.602	-6.22	-3599.382	0.203	0.992	454.61	1.678
80		0.081	-3603.008	-6.507	-3596.501	0.225	0.997	454.405	1.727
90		0.091	-3602.363	-7.035	-3595.328	0.284	0.995	449.326	1.746
100		0.1	-3602.999	-7.247	-3595.752	0.307	0.988	449.195	1.825
110		0.11	-3602.869	-7.202	-3595.667	0.298	0.993	450.782	1.759
120		0.12	-3600.366	-7.161	-3593.204	0.297	0.992	448.738	1.907
130		0.13	-3596.112	-7.074	-3589.039	0.296	0.986	444.514	1.964
140		0.14	-3593.28	-7.078	-3586.203	0.285	0.996	444.234	2.002
150		0.15	-3594.581	-7.281	-3587.3	0.305	0.993	445.528	1.974
160		0.16	-3594.581	-7.281	-3587.3	0.305	0.993	445.528	1.974
170		0.17	-3595.708	-7.694	-3588.014	0.32	0.999	451.055	1.925
180		0.18	-3596.752	-7.728	-3589.025	0.329	0.996	452.178	1.936
190		0.19	-3596.765	-7.893	-3588.871	0.343	0.995	450.78	1.927
200		0.2	-3596.346	-8.018	-3588.327	0.354	0.991	448.015	1.988
210		0.21	-3595.248	-7.565	-3587.682	0.321	0.994	447.341	2.041
220		0.22	-3595.248	-7.565	-3587.682	0.321	0.994	447.341	2.041
230		0.23	-3594.934	-7.799	-3587.136	0.329	0.997	447.805	2.11
240		0.24	-3594.934	-7.799	-3587.136	0.329	0.997	447.805	2.11
250		0.25	-3594.934	-7.799	-3587.136	0.329	0.997	447.805	2.11
260		0.26	-3594.504	-7.379	-3587.125	0.3	0.996	445.352	2.145
270		0.27	-3594.504	-7.379	-3587.125	0.3	0.996	445.352	2.145
280		0.28	-3594.504	-7.379	-3587.125	0.3	0.996	445.352	2.145
290		0.29	-3595.138	-7.417	-3587.72	0.31	0.992	444.036	2.116
300		0.3	-3592.087	-7.632	-3584.455	0.306	1.0	440.933	2.103
310		0.31	-3592.087	-7.632	-3584.455	0.306	1.0	440.933	2.103
320		0.32	-3592.087	-7.632	-3584.455	0.306	1.0	440.933	2.103
330		0.33	-3594.317	-7.173	-3587.144	0.3	0.991	442.881	2.011
340		0.339	-3593.563	-7.368	-3586.195	0.312	0.994	441.893	2.011
350		0.349	-3593.54	-6.978	-3586.562	0.296	0.985	436.849	1.897
360		0.359	-3589.05	-7.545	-3581.505	0.323	0.998	433.063	1.909
370		0.368	-3589.05	-7.545	-3581.505	0.323	0.998	433.063	1.909
380		0.378	-3589.923	-7.455	-3582.467	0.326	0.995	432.366	1.846
390		0.388	-3589.832	-7.173	-3582.659	0.309	0.994	430.041	1.85
400		0.398	-3588.506	-7.192	-3581.313	0.29	0.999	431.592	1.877
410		0.408	-3588.506	-7.192	-3581.313	0.29	0.999	431.592	1.877
420		0.417	-3588.227	-6.108	-3582.119	0.204	0.997	430.114	1.918
430		0.428	-3588.227	-6.108	-3582.119	0.204	0.997	430.114	1.918
440		0.438	-3588.587	-6.548	-3582.039	0.247	0.998	432.341	1.88
450		0.447	-3588.587	-6.548	-3582.039	0.247	0.998	432.341	1.88
460		0.457	-3588.587	-6.548	-3582.039	0.247	0.998	432.341	1.88
470		0.467	-3588.587	-6.548	-3582.039	0.247	0.998	432.341	1.88
480		0.477	-3588.364	-6.859	-3581.506	0.28	0.996	430.178	1.876
490		0.486	-3588.312	-6.815	-3581.496	0.258	0.999	431.862	1.9
500		0.496	-3588.312	-6.815	-3581.496	0.258	0.999	431.862	1.9
510		0.506	-3588.263	-6.571	-3581.691	0.243	0.999	431.481	1.849
520		0.516	-3588.263	-6.571	-3581.691	0.243	0.999	431.481	1.849
530		0.526	-3588.29	-6.721	-3581.57	0.261	0.998	432.469	1.877
540		0.535	-3590.207	-6.679	-3583.528	0.27	0.991	431.961	1.938
550		0.545	-3591.252	-7.132	-3584.119	0.309	0.987	431.185	1.937
560		0.555	-3589.139	-7.931	-3581.209	0.351	0.997	430.669	2.011
570		0.565	-3589.139	-7.931	-3581.209	0.351	0.997	430.669	2.011
580		0.575	-3588.912	-7.695	-3581.216	0.344	0.993	428.205	1.977
590		0.585	-3588.041	-7.445	-3580.596	0.304	1.0	428.001	2.063
600		0.594	-3589.256	-7.007	-3582.248	0.295	0.993	429.172	1.969
610		0.604	-3588.103	-6.994	-3581.109	0.292	0.997	427.829	1.883
620		0.614	-3588.103	-6.994	-3581.109	0.292	0.997	427.829	1.883
630		0.624	-3587.872	-7.26	-3580.612	0.293	1.0	427.76	1.778
640		0.634	-3587.872	-7.26	-3580.612	0.293	1.0	427.76	1.778
650		0.644	-3587.531	-7.139	-3580.392	0.301	0.998	425.515	1.816
660		0.654	-3587.329	-7.075	-3580.254	0.303	0.995	425.402	1.871
670		0.664	-3587.476	-7.74	-3579.737	0.329	1.0	427.569	1.892
680		0.674	-3587.476	-7.74	-3579.737	0.329	1.0	427.569	1.892
690		0.684	-3587.63	-7.16	-3580.47	0.311	0.993	424.799	1.914
700		0.694	-3588.814	-7.283	-3581.531	0.313	0.996	428.549	1.939
710		0.704	-3587.423	-8.066	-3579.357	0.367	0.997	422.83	1.832
720		0.714	-3585.386	-7.469	-3577.917	0.338	0.991	416.992	1.926
730		0.724	-3583.667	-6.621	-3577.045	0.263	0.998	415.868	1.907
740		0.734	-3582.985	-6.601	-3576.384	0.273	0.995	412.773	1.909
750		0.744	-3583.443	-6.036	-3577.407	0.22	0.993	414.33	1.924
760		0.754	-3581.461	-6.529	-3574.932	0.253	0.999	411.025	1.904
770		0.764	-3580.741	-6.263	-3574.479	0.225	0.999	408.566	1.937
780		0.774	-3579.907	-6.134	-3573.773	0.193	1.0	408.345	1.924
790		0.784	-3581.379	-5.605	-3575.773	0.149	0.996	410.044	1.903
800		0.794	-3581.809	-5.703	-3576.106	0.186	0.991	409.83	1.874
810		0.803	-3581.809	-5.703	-3576.106	0.186	0.991	409.83	1.874
820		0.813	-3579.119	-5.689	-3573.43	0.155	0.999	403.112	1.885
830		0.823	-3579.119	-5.689	-3573.43	0.155	0.999	403.112	1.885
840		0.832	-3579.115	-5.491	-3573.624	0.117	0.995	401.578	1.894
850		0.842	-3579.115	-5.491	-3573.624	0.117	0.995	401.578	1.894
860		0.852	-3577.954	-5.514	-3572.44	0.098	0.995	398.895	1.872
870		0.862	-3577.954	-5.514	-3572.44	0.098	0.995	398.895	1.872
880		0.872	-3582.673	-5.37	-3577.303	0.092	0.973	396.431	1.722
890		0.881	-3575.34	-5.884	-3569.456	0.189	0.999	390.41	1.601
900		0.891	-3575.34	-5.884	-3569.456	0.189	0.999	390.41	1.601
910		0.901	-3574.661	-5.511	-3569.151	0.173	0.991	383.709	1.563
920		0.911	-3572.692	-5.406	-3567.286	0.14	0.996	383.047	1.638
930		0.921	-3572.812	-5.436	-3567.376	0.122	0.997	384.175	1.664
940		0.93	-3572.812	-5.436	-3567.376	0.122	0.997	384.175	1.664
950		0.94	-3573.375	-5.256	-3568.119	0.141	0.986	380.285	1.69
960		0.95	-3573.334	-5.393	-3567.94	0.1	0.994	384.697	1.725
970		0.96	-3573.334	-5.393	-3567.94	0.1	0.994	384.697	1.725
980		0.97	-3573.334	-5.393	-3567.94	0.1	0.994	384.697	1.725
990		0.98	-3571.776	-5.585	-3566.191	0.116	1.0	383.296	1.747
1000		0.99	-3571.776	-5.585	-3566.191	0.116	1.0	383.296	1.747
1010		1.0	-3572.097	-5.535	-3566.562	0.127	0.999	384.335	1.699
1020		1.009	-3573.438	-5.394	-3568.044	0.094	0.99	380.868	1.606
1030		1.019	-3571.972	-5.707	-3566.265	0.067	0.996	379.807	1.685
1040		1.029	-3572.834	-6.935	-3565.9	0.031	1.0	378.589	1.67
1050		1.039	-3573.044	-5.923	-3567.121	0.054	0.997	374.689	1.765
1060		1.049	-3571.783	-5.463	-3566.32	0.085	0.997	370.987	1.735
