iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-3375.402	-10.281	-3365.121	0.208	0.854	263.817	6.437
10	0.012	-3361.975	-10.438	-3351.537	0.231	0.799	257.357	6.478
20	0.022	-3357.489	-9.949	-3347.54	0.165	0.772	248.411	6.548
30	0.032	-3355.364	-10.847	-3344.517	0.256	0.72	250.34	6.615
40	0.043	-3358.148	-11.575	-3346.574	0.276	0.743	256.896	6.793
50	0.053	-3355.193	-10.551	-3344.642	0.22	0.684	252.312	6.633
60	0.064	-3353.835	-10.143	-3343.692	0.228	0.72	247.881	6.436
70	0.074	-3353.608	-9.987	-3343.621	0.169	0.7	243.906	6.599
80	0.085	-3356.133	-9.804	-3346.329	0.173	0.608	239.574	6.541
90	0.095	-3353.404	-9.503	-3343.9	0.114	0.646	242.346	6.436
100	0.106	-3355.174	-9.594	-3345.58	0.109	0.63	243.783	6.464
110	0.116	-3352.561	-9.603	-3342.958	0.11	0.651	236.911	6.522
120	0.127	-3349.842	-9.498	-3340.343	0.161	0.688	233.151	6.466
130	0.137	-3350.722	-9.393	-3341.329	0.172	0.718	236.156	6.362
140	0.148	-3349.296	-8.923	-3340.373	0.171	0.664	234.991	6.14
150	0.158	-3346.931	-8.093	-3338.838	0.093	0.724	222.295	5.807
160	0.168	-3346.34	-8.2	-3338.14	0.081	0.686	224.746	5.799
170	0.179	-3346.553	-8.271	-3338.282	0.143	0.695	226.349	5.915
180	0.189	-3346.844	-8.227	-3338.617	0.186	0.64	225.576	5.79
190	0.2	-3346.48	-8.766	-3337.714	0.227	0.68	228.358	5.885
200	0.21	-3350.234	-8.445	-3341.789	0.087	0.73	239.34	5.831
210	0.221	-3350.034	-8.326	-3341.708	0.133	0.725	244.548	5.79
220	0.231	-3351.273	-8.368	-3342.905	0.188	0.626	240.384	5.731
230	0.242	-3351.57	-8.443	-3343.127	0.23	0.599	234.174	5.627
240	0.252	-3347.403	-9.118	-3338.285	0.284	0.684	238.106	5.638
250	0.263	-3345.365	-9.361	-3336.004	0.308	0.682	226.539	5.697
260	0.273	-3347.34	-8.91	-3338.43	0.235	0.71	220.607	5.984
270	0.284	-3346.699	-10.403	-3336.296	0.368	0.663	220.745	5.829
280	0.295	-3344.266	-8.583	-3335.683	0.254	0.679	219.488	5.697
290	0.305	-3346.152	-8.112	-3338.039	0.211	0.728	212.501	5.725
300	0.316	-3344.633	-9.352	-3335.281	0.328	0.652	213.492	5.645
310	0.326	-3344.966	-8.977	-3335.99	0.304	0.637	215.829	5.605
320	0.337	-3343.675	-8.326	-3335.349	0.244	0.681	216.654	5.634
330	0.347	-3344.891	-8.068	-3336.823	0.206	0.703	218.068	5.673
340	0.358	-3347.618	-8.028	-3339.59	0.212	0.739	205.793	5.73
