iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-3446.913	-11.634	-3435.278	0.145	0.888	540.024	3.542
10		0.012	-3444.226	-11.623	-3432.603	0.149	0.854	537.639	3.438
20		0.022	-3444.558	-12.694	-3431.864	0.283	0.854	536.205	3.47
30		0.032	-3442.619	-11.855	-3430.764	0.211	0.867	530.3	3.459
40		0.043	-3442.677	-11.524	-3431.153	0.2	0.801	521.758	3.594
50		0.053	-3439.492	-11.859	-3427.633	0.252	0.857	512.574	3.607
60		0.064	-3441.331	-11.929	-3429.402	0.257	0.809	515.16	3.666
70		0.074	-3435.817	-12.588	-3423.229	0.324	0.811	500.546	3.469
80		0.084	-3434.269	-12.445	-3421.825	0.326	0.823	492.903	3.555
90		0.095	-3430.244	-10.8	-3419.444	0.194	0.824	482.736	3.556
100		0.106	-3429.392	-11.699	-3417.692	0.254	0.833	491.085	3.222
110		0.116	-3429.779	-10.996	-3418.783	0.201	0.795	485.346	3.339
120		0.127	-3431.353	-11.255	-3420.098	0.214	0.826	493.267	3.343
130		0.137	-3428.712	-11.127	-3417.584	0.161	0.837	493.339	3.11
140		0.148	-3426.616	-11.558	-3415.057	0.219	0.869	489.31	3.023
150		0.158	-3425.881	-11.617	-3414.264	0.221	0.801	485.014	2.914
160		0.168	-3421.8	-12.439	-3409.361	0.306	0.819	473.584	2.884
170		0.179	-3421.478	-11.327	-3410.151	0.208	0.839	474.572	2.921
180		0.189	-3422.543	-11.9	-3410.643	0.273	0.851	474.853	2.986
190		0.2	-3421.421	-12.126	-3409.296	0.284	0.829	473.25	2.898
200		0.21	-3419.682	-12.008	-3407.674	0.276	0.825	469.039	2.86
210		0.221	-3419.895	-11.461	-3408.435	0.245	0.87	465.363	2.967
220		0.231	-3419.087	-11.412	-3407.675	0.233	0.847	466.814	2.926
230		0.242	-3418.449	-11.133	-3407.316	0.124	0.822	468.835	2.751
240		0.252	-3419.878	-11.058	-3408.82	0.162	0.822	471.115	2.866
250		0.263	-3420.894	-10.993	-3409.901	0.129	0.829	473.843	2.885
260		0.273	-3420.844	-11.747	-3409.097	0.065	0.802	472.999	2.67
270		0.284	-3416.59	-12.006	-3404.584	0.045	0.846	462.471	2.675
280		0.294	-3412.769	-12.312	-3400.457	0.054	0.888	457.274	2.428
290		0.305	-3410.256	-12.194	-3398.062	0.047	0.887	445.926	2.455
300		0.315	-3409.487	-12.433	-3397.054	0.039	0.83	444.351	2.437
310		0.326	-3406.909	-11.756	-3395.153	0.103	0.828	445.059	2.345
320		0.336	-3404.595	-11.871	-3392.724	0.165	0.886	440.144	2.311
330		0.347	-3403.636	-11.707	-3391.929	0.15	0.829	436.936	2.315
340		0.357	-3399.024	-13.24	-3385.784	0.279	0.869	429.671	2.152
350		0.368	-3398.437	-13.034	-3385.404	0.276	0.845	425.567	2.174
360		0.378	-3399.525	-13.223	-3386.302	0.273	0.875	430.836	2.143
370		0.389	-3401.215	-14.588	-3386.627	0.343	0.907	432.91	2.057
380		0.4	-3396.011	-14.479	-3381.532	0.325	0.908	419.953	1.97
390		0.41	-3397.826	-15.135	-3382.69	0.352	0.825	423.059	1.919
400		0.421	-3395.114	-15.825	-3379.289	0.404	0.882	417.617	1.951
410		0.431	-3396.875	-15.288	-3381.587	0.406	0.903	414.749	2.073
420		0.442	-3392.156	-14.967	-3377.189	0.37	0.875	409.82	1.975
430		0.453	-3392.245	-13.567	-3378.678	0.263	0.892	412.072	1.961
440		0.463	-3390.079	-12.98	-3377.099	0.148	0.841	407.022	1.876
450		0.473	-3386.85	-12.402	-3374.448	0.2	0.847	395.667	2.015
460		0.484	-3386.571	-12.698	-3373.873	0.246	0.911	387.81	2.022
470		0.494	-3385.445	-14.059	-3371.386	0.378	0.828	383.579	2.105
480		0.505	-3384.876	-13.069	-3371.807	0.336	0.817	380.433	2.169
490		0.516	-3382.855	-12.555	-3370.3	0.244	0.818	380.486	2.008
500		0.526	-3382.116	-13.748	-3368.368	0.245	0.911	381.452	1.786
510		0.536	-3380.651	-13.382	-3367.268	0.196	0.885	382.177	1.773
520		0.547	-3379.466	-13.877	-3365.589	0.216	0.903	377.415	1.705
530		0.557	-3380.14	-13.353	-3366.787	0.18	0.911	376.854	1.747
540		0.568	-3377.921	-13.525	-3364.396	0.089	0.868	373.498	1.693
550		0.578	-3376.66	-13.513	-3363.147	0.166	0.907	368.852	1.685
560		0.589	-3373.881	-14.38	-3359.501	0.216	0.883	364.413	1.591
570		0.599	-3375.842	-13.325	-3362.517	0.199	0.872	368.854	1.745
580		0.61	-3376.769	-13.168	-3363.602	0.143	0.836	369.123	1.721
590		0.62	-3376.624	-11.646	-3364.978	0.096	0.829	362.617	1.999
