iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-2109.185	-30.421	-2078.764	0.32	0.742	96.335	0.19
10	0.008	-1925.071	-30.791	-1894.28	0.32	0.608	98.612	0.539
20	0.015	-1840.565	-31.852	-1808.714	0.32	0.666	101.597	0.746
30	0.023	-1817.199	-30.074	-1787.124	0.32	0.759	96.032	0.748
40	0.03	-1794.932	-29.821	-1765.111	0.32	0.795	94.996	0.843
50	0.037	-1785.774	-30.04	-1755.734	0.32	0.796	95.303	0.976
60	0.045	-1773.547	-29.919	-1743.628	0.32	0.818	94.408	1.128
70	0.052	-1771.887	-29.023	-1742.864	0.32	0.815	91.701	1.108
80	0.059	-1762.23	-28.001	-1734.229	0.32	0.867	88.253	1.163
90	0.067	-1754.267	-26.967	-1727.3	0.32	0.924	84.837	1.177
100	0.074	-1749.715	-25.516	-1724.199	0.32	0.885	80.777	1.078
110	0.081	-1742.918	-23.538	-1719.38	0.32	0.952	74.621	0.996
120	0.088	-1742.298	-23.347	-1718.951	0.32	0.952	74.057	0.986
130	0.096	-1742.298	-23.347	-1718.951	0.32	0.952	74.057	0.986
140	0.103	-1738.008	-21.162	-1716.846	0.32	0.933	67.218	1.014
150	0.11	-1737.061	-20.635	-1716.426	0.32	0.933	65.587	1.007
160	0.118	-1740.994	-19.512	-1721.482	0.32	0.815	62.113	1.073
170	0.125	-1728.168	-17.451	-1710.716	0.32	0.9	55.963	0.904
180	0.132	-1731.819	-18.163	-1713.656	0.32	0.852	58.319	0.906
190	0.14	-1729.389	-18.272	-1711.116	0.32	0.931	58.529	0.878
200	0.147	-1729.149	-18.144	-1711.005	0.32	0.928	58.264	0.828
210	0.154	-1728.096	-17.384	-1710.713	0.32	0.903	55.999	0.806
220	0.162	-1724.268	-15.682	-1708.586	0.32	0.921	50.373	0.867
230	0.169	-1723.096	-14.868	-1708.227	0.32	0.882	47.91	0.858
240	0.176	-1723.967	-13.613	-1710.354	0.32	0.82	44.153	0.795
