"PlantID_final","Easting","Northing","Altitude"
"M0821",1492.05480739172,-409.236343219876,1156.59
"M0843",1608.52580739168,-505.383343219757,1172.86
"M1003",-1492.65459260828,86.0986567800865,1215.93
"M1011",-1441.0177926083,93.0726567804813,1213.93
"M1014",-1765.59549260832,-4.47534321993589,1231.58
"M1530",996.211707391718,77.3336567804217,1282.57
"M0158",-1437.49489260832,95.1946567799896,1209.57
"M0170",-1412.50249260833,96.1886567799374,1216.12
"M0172",-1160.94829260831,-44.134343219921,1192.73
"M0174",-1344.4467926083,60.9956567799672,1208.31
"M0178",-1137.57369260828,-56.2383432202041,1194.44
"M0183",-1395.40829260828,91.3446567803621,1211.34
"M0187",-1138.35399260832,-58.8623432200402,1193.3
"M0190",-1447.34919260832,90.0086567802355,1212.03
"M0195",-1434.3228926083,84.2416567802429,1211.65
"M0294",-2060.50009260833,-13.5693432195112,1301.61
"M0301",1041.2125073917,-337.043343219906,1147.61
"M0303",1059.60000739171,-371.653343220241,1148.56
"M0305",931.866407391673,-237.898343220353,1137.97
"M0307",909.780507391726,-240.263343219645,1140.43
"M0308",905.687807391689,-245.93034322001,1139.87
"M0311",1066.65100739169,-377.342343219556,1150.34
"M0313",1173.73620739172,-380.981343219988,1150.62
"M0315",1157.7002073917,-373.076343219727,1150.22
"M0316",1152.96520739171,-373.577343219891,1150.68
"M0324",974.082107391674,-289.452343219891,1138.08
"M0326",1075.86750739173,-381.719343219884,1149.36
"M0349",983.545907391701,-293.996343219653,1139.38
"M0353",-2001.58139260829,-134.272343220189,1245.24
"M0355",-1577.49749260832,5.46365678030998,1224.62
"M0356",-1760.36199260829,-17.3913432201371,1228.41
"M0357",-1661.95819260832,17.6846567802131,1229.19
"M0359",-1726.73049260827,9.31765677966177,1231.74
"M0362",-1652.23689260829,15.3056567804888,1228.8
"M0366",-1756.72029260831,-16.3473432194442,1228.07
"M0368",-1743.2715926083,-9.62134321965277,1228.3
"M0370",-1752.97329260828,-14.7853432195261,1226.94
"M0374",-1751.38939260831,-13.1923432201147,1227.4
"M0375",-1909.97529260832,-77.7683432195336,1239.66
"M0377",-1833.9124926083,-44.6393432198092,1233.92
"M0378",-1652.12049260829,16.3796567805111,1228.57
"M0380",-1716.33869260829,10.4526567803696,1229.48
"M0386",-1653.35279260832,14.3606567801908,1231.79
"M0389",-1982.42979260831,-117.990343219601,1242.37
"M0396",-1827.85549260827,-40.9893432194367,1233.93
"M0397",-1838.82689260831,-45.78634321969,1234.92
"M0398",-1825.9871926083,-42.0623432202265,1233.01
"L1295",-1829.94489260833,-42.6753432201222,1234.33
"M0438",1431.59750739171,-408.819343219511,1161.52
"M0450",1421.42480739171,-414.445343219675,1159.55
"M0454",1325.12450739171,-450.598343219608,1153.97
"M0490",1288.3192073917,-444.006343220361,1154.54
"M0501",1339.15830739168,-449.67234321963,1156.09
"M0506",-1937.39569260832,463.794656780548,1486.01
"M0507",1768.70040739171,-127.8513432201,1242.62
"M0519",-2067.7910926083,-193.466343220323,1251.16
"M0522",-2063.07739260828,-217.155343219638,1252.98
"M0524",-2064.09319260833,-215.777343220077,1254.12
"M0531",1836.85490739171,-487.483343220316,1219.67
"M0533",1834.77790739172,-484.594343219884,1221.17
"M0538",1376.17250739172,-158.482343220152,1257.65
"M0542",1795.65330739168,-443.933343219571,1221.08
"M0543",1769.47590739169,-130.946343219839,1238.49
"M0549",1444.8632073917,-410.289343220182,1162.96
"M0550",-2026.95759260829,-139.29734321963,1250.55
"M0551",1545.43660739169,-87.8283432200551,1253.96
"M0553",1564.73650739167,-97.5403432203457,1250.72
"M0554",1346.95450739173,-145.895343219861,1262.03
"M0558",1553.7003073917,-91.8863432202488,1252.49
"M0559",1500.79510739172,-122.262343219481,1253.76
"M0560",1505.09910739172,-106.848343219608,1254.71
"M0561",1733.38330739172,-132.756343220361,1242.07
"M0562",1336.68400739168,-140.767343220301,1263.79
"M0563",1581.76670739171,-109.891343220137,1249.9
