"","id","Ros","Sulf"
"580","M0030","R/r","s/s"
"581","M0032","R/r","S/+"
"582","M0033",NA,NA
"583","M0034","r/r","s/s"
"584","M0036","R/R","s/s"
"585","M0037",NA,NA
"586","M0038","r/r","s/s"
"587","M0041","R/R","s/s"
"588","M0042","R/R","S/+"
"589","M0043","R/R","s/s"
"590","M0045","R/r","s/s"
"591","M0046","r/r","s/s"
"592","M0048","R/r","s/s"
"593","M0049","R/r","S/+"
"594","M0050","R/R","s/s"
"595","M0051","R/R","S/+"
"596","M0052","R/R","S/+"
"597","M0053","R/R","S/+"
"598","M0054","r/r","s/s"
"599","M0055","R/R","S/+"
"600","M0056","R/R","s/s"
"601","M0057","R/R","S/+"
"602","M0059","R/R","S/+"
"603","M0060","R/r","S/+"
"604","M0061","R/R","S/+"
"605","K1696","R/R","s/s"
"606","M0064","R/R","S/+"
"607","M0068","R/r","S/+"
"608","M0069","R/R","s/s"
"609","M0070","R/R","S/+"
"610","M0072","R/R","S/+"
"611","M0074","R/R","S/+"
"612","M0075","R/r","s/s"
"613","M0076","R/R","s/s"
"614","M0077","R/R","S/+"
"615","M0079","R/R","S/+"
"616","M0080","R/R","S/+"
"617","M0081","R/R","S/+"
"618","M0084","R/R","s/s"
"619","M0087","R/r","S/+"
"620","M0088","R/r","S/+"
"621","M0089","R/R","s/s"
"622","M0090","R/R","S/+"
"623","M0091","R/R","S/+"
"624","M0093","R/R","S/+"
"625","M0094","R/R","S/+"
"626","M0095","R/R","s/s"
"627","M0096","R/R","s/s"
"628","M0097","R/R","S/+"
"629","M0098","R/R","S/+"
"630","M0099","R/r","S/+"
"631","M0100","R/R","S/+"
"632","M0101","R/R","s/s"
"633","M0102","R/R","S/+"
"634","M0104","r/r","s/s"
"635","M0106","R/R","S/+"
"636","M0107","R/r","S/+"
"637","M0114","R/R","s/s"
"638","M0118","R/R","S/+"
"639","M0122","R/R","S/+"
"640","M0123","R/R","s/s"
"641","M0125","R/R","S/+"
"642","M0127","R/R","S/+"
"643","M0128","R/R","S/+"
"644","M0129","R/r","S/+"
"645","M0133","r/r","s/s"
"646","M0136","R/R","S/+"
"647","M0137","R/r","s/s"
"648","M0139","R/R","s/s"
"649","M0141","R/R","S/+"
"650","M0142","R/r","S/+"
"651","K0739","R/R","S/+"
"652","M0144","R/R","S/+"
"653","M0145","R/r","S/+"
"654","M0146","R/r","S/+"
"655","M0147","R/r","S/+"
"656","M0148","R/r","S/+"
"657","M0150","R/R","s/s"
"658","M0153","r/r","s/s"
"659","M0155","r/r","s/s"
"660","M0157","R/r","s/s"
"661","M0159","r/r","s/s"
"662","M0160","r/r","s/s"
"663","M0161","r/r","s/s"
"664","M0162","r/r","s/s"
"665","M0166",NA,NA
"666","M0169","r/r","s/s"
"667","M0175","r/r","s/s"
"668","M0177","r/r","s/s"
"669","M0179","R/R","s/s"
"670","M0181","r/r","s/s"
"671","M0182","r/r","s/s"
"672","M0184","R/r","s/s"
"673","M0185","r/r","s/s"
"674","M0188","R/r","s/s"
"675","M0198","r/r","s/s"
"676","M0202","r/r","S/+"
"677","M0205","R/r","s/s"
"678","M0206","R/r","s/s"
"679","M0208","r/r","s/s"
"680","M0209","R/R","s/s"
"681","K0129",NA,NA
"682","M0213","r/r","s/s"
"683","M0215","r/r","s/s"
"684","M0217","r/r","s/s"
"685","M0219","r/r","s/s"
"686","M0223","R/r","S/+"
"687","M0224","R/R","S/+"
"688","M0226","R/r","s/s"
"689","M0228","R/r","S/+"
"690","M0229","r/r","S/+"
"691","M0232","R/r","s/s"
"692","M0235","R/R","s/s"
"693","M0236","R/r","S/+"
"694","M0238","r/r","s/s"
"695","M0239","r/r","S/+"
"696","M0240","R/r","S/+"
"697","M0241","R/R","s/s"
"698","M0243","R/r","s/s"
"699","M0245","R/r","S/+"
"700","M0247","R/R","S/+"
"701","M0249","r/r","S/+"
"702","M0251","R/r","S/+"
"703","M0252","R/R","S/+"
"704","M0253","R/R","S/+"
"705","M0254","R/R","S/+"
"706","M0255","R/R","s/s"
"707","M0256","R/r","S/+"
"708","M0257","R/R","S/+"
"709","M0258","r/r","s/s"
"710","M0259","R/R","S/+"
"711","M0260","r/r","s/s"
"712","M0261","R/R","S/+"
"713","M0262",NA,NA
"714","M0263","R/R","S/+"
"715","M0264","R/R","s/s"
"716","M0265","R/R","S/+"
"717","M0266","R/R","S/+"
"718","M0267","R/R","s/s"
"719","M0268","R/R","S/+"
"720","M0269","R/R","S/+"
"721","M0270","R/R","s/s"
"722","M0271","R/R","S/+"
"723","M0272","R/R","S/+"
"724","M0273","R/R","S/+"
"725","M0277","R/R","S/+"
"726","M0278","R/R","S/+"
"727","M0279","R/r","S/+"
"728","M0281","R/r","S/+"
"729","M0282","R/R","S/+"
"730","M0283","R/R","S/+"
"731","M0284","R/R","s/s"
"732","M0286","R/r","S/+"
"733","M0287","R/R","S/+"
"734","M0290","R/R","S/+"
"735","M0291","R/R","S/+"
"736","M0292","R/R","s/s"
"737","M0293","R/R","S/+"
"738","M0295","R/R","S/+"
"739","M0296","R/R","s/s"
"740","M0297","R/R","S/+"
"741","M0299","R/R","S/+"
"742","M0306","r/r","S/+"
"743","M0310","R/R","S/+"
"744","M0312","R/r","S/+"
"745","M0317","r/r","s/s"
"746","J1284","R/r","S/+"
"747","M0319","R/r","S/+"
"748","M0320","R/R","S/+"
"749","M0323","R/r","s/s"
"750","M0329","r/r","s/s"
"751","M0331","r/r","S/+"
"752","M0332","r/r","s/s"
"753","M0333","R/R","s/s"
"754","M0334","r/r","S/+"
"755","M0336","R/R","S/+"
"756","K0632","r/r","S/+"
"757","M0344","R/r","S/+"
"758","M0346","r/r","S/+"
"759","M0347","R/R","s/s"
"760","M0351","R/r","s/s"
"761","M0352","R/r","S/+"
"762","M0354","R/r","S/+"
"763","M0358","R/R","S/+"
"764","M0360","r/r","s/s"
"765","M0361","r/r","s/s"
"766","M0363","r/r","s/s"
"767","M0364","R/r","s/s"
"768","M0367","r/r","s/s"
"769","M0369","R/R","S/+"
"770","M0372","r/r","s/s"
"771","M0379","R/r","S/+"
"772","M0381","R/R","S/+"
"773","M0383","r/r","s/s"
"774","M0384","R/r","S/+"
"775","M0385","R/r","s/s"
"776","M0388","R/r","S/+"
"777","M0390","R/R","s/s"
"778","M0393","R/R","S/+"
"779","M0395","R/R","S/+"
"780","M0401","R/r","s/s"
"781","M0402","R/R","S/+"
"782","K0464","R/R","S/+"
"783","M0405","R/R","S/+"
"784","M0411","R/R","s/s"
"785","M0413","r/r","s/s"
"786","M0415","R/R","S/+"
"787","M0416","r/r","S/+"
"788","M0417","R/r","s/s"
"789","M0418","R/R","s/s"
"790","M0419","r/r","s/s"
"791","M0420","r/r","s/s"
"792","M0421","R/R","s/s"
"793","M0423","R/R","S/+"
"794","M0424","R/r","s/s"
"795","K1211","R/r","S/+"
"796","M0427","R/R","s/s"
"797","M0428","R/R","S/+"
"798","M0429","R/r","S/+"
"799","M0430","R/r",NA
"800","M0431","R/r","S/+"
"801","M0434","R/r","S/+"
"802","M0435","R/R","S/+"
"803","M0437","R/R","S/+"
"804","M0439","R/R","s/s"
"805","M0440","R/R","S/+"
"806","M0441","R/R","S/+"
"807","M0443","R/R","S/+"
"808","M0445","r/r","s/s"
"809","M0447","R/r","S/+"
"810","M0451","r/r","s/s"
"811","M0453","r/r","s/s"
"812","M0455","R/r","s/s"
"813","M0458","r/r","s/s"
"814","M0459","r/r","s/s"
"815","M0460","R/r","S/+"
"816","M0461","r/r","s/s"
"817","M0464","R/R","S/+"
"818","M0465","R/r","s/s"
"819","M0466","R/R","S/+"
"820","M0467","R/R","s/s"
"821","M0468","R/R","s/s"
"822","M0470","r/r","s/s"
"823","M0472","R/R","S/+"
"824","M0473","R/r","s/s"
"825","M0474","R/r","S/+"
"826","M0475","R/r","s/s"
"827","M0479","r/r","s/s"
"828","M0481","R/R","S/+"
"829","M0482","R/R","S/+"
"830","M0484","R/R","s/s"
"831","M0485","R/R","s/s"
"832","M0488","r/r","s/s"
"833","M0489","R/r","S/+"
"834","M0492","R/r","s/s"
"835","M0494","R/R","S/+"
"836","M0495","R/R","S/+"
"837","M0497","R/R","S/+"
"838","M0505","r/r","s/s"
"839","M0508","R/R","S/+"
"840","M0509","r/r","s/s"
"841","M0514","R/r","S/+"
"842","M0516","R/R","S/+"
"843","M0517","R/R","S/+"
"844","M0523","r/r","s/s"
"845","M0526","R/R","S/+"
"846","M0529","R/r","S/+"
"847","M0532","R/r","s/s"
"848","M0534","r/r","s/s"
"849","M0536","R/R","S/+"
"850","M0537","R/R","S/+"
"851","M0540","r/r","s/s"
"852","M0541","r/r","s/s"
"853","M0544","r/r","s/s"
"854","M0545","r/r","s/s"
"855","M0547","R/R","S/+"
"856","M0548","R/r","S/+"
"857","M0552","R/R","S/+"
"858","M0557","r/r","s/s"
"859","M0575","r/r","s/s"
"860","M0579","R/R","S/+"
"861","M0580","R/R","s/s"
"862","M0583","R/R","S/+"
"863","M0584","r/r","s/s"
"864","M0589","R/R","S/+"
"865","M0591","r/r","s/s"
"866","M0592","r/r","s/s"
"867","M0593","r/r","s/s"
"868","M0596","r/r","s/s"
"869","M0597","R/R","S/+"
"870","M0602","r/r","s/s"
"871","M0603","R/r","S/+"
"872","M0605","r/r","s/s"
"873","M0606","r/r","s/s"
"874","M0607","r/r","s/s"
"875","M0613","r/r","s/s"
"876","M0616","r/r","s/s"
"877","M0617","r/r","s/s"
"878","M0618","r/r","s/s"
"879","M0619","r/r","s/s"
"880","M0620","r/r","s/s"
"881","M0622","r/r","s/s"
"882","M0623","R/r","s/s"
"883","M0624","r/r","s/s"
"884","M0625","r/r","s/s"
"885","M0626","r/r","s/s"
"886","M0627","r/r","s/s"
"887","M0628","r/r","s/s"
"888","M0631","r/r","s/s"
"889","M0634","r/r","s/s"
"890","M0637","r/r","s/s"
"891","M0638","r/r","s/s"
"892","M0640","r/r","s/s"
"893","M0643","r/r","s/s"
"894","M0644","r/r","s/s"
"895","M0645","r/r","s/s"
"896","M0646","r/r","s/s"
"897","M0648","r/r","s/s"
"898","M0649","r/r","s/s"
"899","M0650","R/r","s/s"
"900","M0652","R/R","S/+"
"901","M0653","R/R","S/+"
"902","M0654","R/R","S/+"
"903","M0656","R/R","s/s"
"904","M0657","R/R","S/+"
"905","M0658","R/R","S/+"
"906","M0661","R/R","S/+"
"907","M0662","R/R","S/+"
"908","M0663","R/r","S/+"
"909","M0666","R/R","s/s"
"910","M0667","R/R","S/+"
"911","M0668","R/R","S/+"
"912","M0669","R/R","S/+"
"913","M0670","R/R","S/+"
"914","M0672","R/R","S/+"
"915","M0673","R/R","S/+"
"916","M0674","R/R","S/+"
"917","M0675","R/R","S/+"
"918","M0681","R/r","s/s"
"919","M0682","R/R","S/+"
"920","M0683","R/R","S/+"
"921","M0684","R/r","S/+"
"922","M0685","R/R","S/+"
"923","M0686","R/R","S/+"
"924","M0687","R/R","S/+"
"925","M0689","R/r","s/s"
"926","M0693","R/R","S/+"
"927","M0694","R/R","S/+"
"928","M0695","R/r","S/+"
"929","M0700","R/r","s/s"
"930","M0701","r/r","s/s"
"931","M0702","r/r","s/s"
"932","M0703","R/R","S/+"
"933","M0704","R/R","S/+"
"934","M0705","r/r","s/s"
"935","M0706","R/r","S/+"
"936","M0707","r/r","s/s"
"937","M0710","r/r","s/s"
"938","M0712","R/R","S/+"
"939","M0715","R/R","S/+"
"940","M0717","R/R","S/+"
"941","M0718","r/r","s/s"
"942","M0720","r/r","s/s"
"943","M0721","r/r","s/s"
"944","M0722","R/r","S/+"
"945","M0723","r/r","s/s"
"946","M0725","r/r","S/+"
"947","M0727","R/R","S/+"
