iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-2054.733	-38.857	-2015.876	0.32	0.807	101.447	0.267
10	0.008	-1854.447	-24.884	-1829.563	0.32	0.853	102.415	0.611
20	0.016	-1800.675	-22.231	-1778.443	0.32	0.836	99.687	0.722
30	0.023	-1773.251	-19.223	-1754.028	0.32	0.881	99.157	0.883
40	0.03	-1741.478	-15.847	-1725.631	0.32	0.909	85.492	1.116
50	0.038	-1742.362	-15.595	-1726.767	0.32	0.961	80.753	1.14
60	0.045	-1742.362	-15.595	-1726.767	0.32	0.961	80.753	1.14
70	0.053	-1740.079	-15.331	-1724.748	0.32	0.943	79.487	1.159
80	0.06	-1740.079	-15.331	-1724.748	0.32	0.943	79.487	1.159
90	0.068	-1737.96	-15.213	-1722.748	0.32	0.893	76.147	1.162
100	0.075	-1736.794	-16.244	-1720.551	0.32	0.933	77.014	1.08
110	0.083	-1738.516	-15.453	-1723.063	0.32	0.931	74.169	1.144
120	0.09	-1736.906	-15.524	-1721.381	0.32	0.9	71.484	1.133
130	0.098	-1738.442	-15.049	-1723.394	0.32	0.883	76.097	1.176
140	0.105	-1739.308	-14.749	-1724.559	0.32	0.873	73.032	1.201
150	0.112	-1741.332	-15.37	-1725.962	0.32	0.845	72.111	1.144
160	0.12	-1732.385	-18.061	-1714.324	0.32	0.907	66.398	0.942
170	0.127	-1731.797	-17.375	-1714.422	0.32	0.89	60.249	0.986
180	0.135	-1729.802	-18.765	-1711.037	0.32	0.92	58.314	0.896
190	0.142	-1730.03	-18.624	-1711.406	0.32	0.878	56.241	0.902
200	0.149	-1732.147	-19.07	-1713.077	0.32	0.837	54.092	0.873
210	0.157	-1732.617	-17.737	-1714.88	0.32	0.845	57.571	0.958
220	0.164	-1731.043	-18.237	-1712.806	0.32	0.884	60.308	0.928
230	0.172	-1730.206	-20.598	-1709.608	0.32	0.895	52.813	0.79
240	0.179	-1730.282	-20.587	-1709.695	0.32	0.924	54.426	0.792
250	0.186	-1726.915	-20.479	-1706.435	0.32	0.925	48.077	0.797
260	0.194	-1724.304	-19.739	-1704.565	0.32	0.941	44.56	0.84
270	0.201	-1724.074	-19.41	-1704.665	0.32	0.922	43.714	0.857
280	0.209	-1724.074	-19.41	-1704.665	0.32	0.922	43.714	0.857
290	0.216	-1721.239	-20.665	-1700.573	0.32	0.905	38.146	0.788
300	0.223	-1719.694	-22.551	-1697.144	0.32	0.898	33.685	0.698
310	0.231	-1720.1	-21.626	-1698.474	0.32	0.9	36.463	0.74
320	0.238	-1720.268	-21.829	-1698.439	0.32	0.909	37.428	0.731
330	0.246	-1719.841	-21.569	-1698.272	0.32	0.905	34.108	0.744
340	0.253	-1719.489	-23.276	-1696.213	0.32	0.895	30.92	0.668
350	0.26	-1720.025	-24.559	-1695.466	0.32	0.899	27.426	0.618
360	0.268	-1716.135	-22.93	-1693.205	0.32	0.919	26.256	0.687
370	0.275	-1713.876	-22.831	-1691.044	0.32	0.947	26.715	0.692
380	0.282	-1713.748	-22.922	-1690.825	0.32	0.941	25.494	0.689
390	0.29	-1713.304	-24.01	-1689.294	0.32	0.955	22.9	0.646
400	0.297	-1713.304	-24.01	-1689.294	0.32	0.955	22.9	0.646
410	0.305	-1711.163	-23.994	-1687.169	0.32	0.922	22.179	0.645
420	0.312	-1711.326	-24.222	-1687.103	0.32	0.918	20.976	0.637
430	0.32	-1710.727	-24.857	-1685.869	0.32	0.935	19.982	0.614
440	0.327	-1712.901	-24.681	-1688.22	0.32	0.926	22.353	0.618
450	0.335	-1712.901	-24.681	-1688.22	0.32	0.926	22.353	0.618
460	0.342	-1710.89	-24.143	-1686.747	0.32	0.932	22.725	0.639
470	0.349	-1711.106	-24.159	-1686.947	0.32	0.935	22.497	0.639
