iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-1954.678	-16.772	-1937.906	0.32	0.398	42.672	0.432
10	0.008	-1842.512	-14.387	-1828.124	0.32	0.402	38.241	0.68
20	0.016	-1814.048	-12.73	-1801.317	0.32	0.447	39.395	0.922
30	0.024	-1784.901	-14.485	-1770.416	0.32	0.526	33.978	0.732
40	0.031	-1773.195	-14.988	-1758.207	0.32	0.578	31.359	0.712
50	0.039	-1764.763	-14.583	-1750.179	0.32	0.58	31.847	0.758
60	0.046	-1754.961	-14.36	-1740.6	0.32	0.61	33.785	0.754
70	0.054	-1742.612	-14.525	-1728.087	0.32	0.658	34.187	0.724
80	0.062	-1736.219	-14.041	-1722.178	0.32	0.702	36.958	0.746
90	0.069	-1724.857	-14.251	-1710.606	0.32	0.783	35.038	0.752
100	0.077	-1720.328	-14.594	-1705.733	0.32	0.828	34.129	0.722
110	0.084	-1711.12	-15.762	-1695.359	0.32	0.898	28.71	0.676
120	0.092	-1707.784	-17.075	-1690.709	0.32	0.959	22.821	0.652
130	0.099	-1707.784	-17.075	-1690.709	0.32	0.959	22.821	0.652
140	0.107	-1707.763	-17.714	-1690.049	0.32	0.964	22.287	0.597
150	0.114	-1708.052	-18.164	-1689.888	0.32	0.973	20.021	0.604
160	0.122	-1705.816	-17.137	-1688.678	0.32	0.952	22.831	0.643
170	0.129	-1705.131	-16.718	-1688.414	0.32	0.902	23.592	0.667
180	0.137	-1705.131	-16.718	-1688.414	0.32	0.902	23.592	0.667
190	0.144	-1704.454	-16.452	-1688.002	0.32	0.912	24.921	0.67
200	0.152	-1704.454	-16.452	-1688.002	0.32	0.912	24.921	0.67
210	0.159	-1704.454	-16.452	-1688.002	0.32	0.912	24.921	0.67
220	0.167	-1704.454	-16.452	-1688.002	0.32	0.912	24.921	0.67
230	0.174	-1704.631	-16.428	-1688.203	0.32	0.935	25.387	0.667
240	0.182	-1708.432	-16.429	-1692.003	0.32	0.918	25.22	0.667
250	0.189	-1705.717	-17.256	-1688.461	0.32	0.923	22.906	0.624
260	0.197	-1704.856	-18.617	-1686.239	0.32	0.94	17.993	0.601
270	0.205	-1705.601	-20.229	-1685.372	0.32	0.933	14.881	0.533
280	0.212	-1705.724	-19.121	-1686.602	0.32	0.935	17.326	0.568
290	0.22	-1704.85	-17.7	-1687.15	0.32	0.939	20.695	0.629
300	0.227	-1704.655	-18.193	-1686.462	0.32	0.936	19.191	0.613
310	0.235	-1705.809	-17.788	-1688.021	0.32	0.911	20.927	0.61
320	0.243	-1706.577	-18.35	-1688.227	0.32	0.884	18.959	0.597
330	0.25	-1705.925	-18.466	-1687.458	0.32	0.929	19.991	0.567
340	0.258	-1707.298	-19.523	-1687.775	0.32	0.871	16.192	0.555
350	0.265	-1706.146	-20.212	-1685.934	0.32	0.897	14.733	0.535
360	0.273	-1707.597	-21.265	-1686.332	0.32	0.886	12.738	0.505
370	0.28	-1707.617	-20.492	-1687.126	0.32	0.913	14.976	0.507
380	0.288	-1705.497	-19.688	-1685.809	0.32	0.928	15.997	0.55
390	0.295	-1706.408	-19.182	-1687.226	0.32	0.885	17.017	0.566
400	0.303	-1706.322	-19.587	-1686.734	0.32	0.9	16.543	0.542
410	0.31	-1706.938	-18.537	-1688.402	0.32	0.956	20.185	0.561
420	0.318	-1705.839	-19.08	-1686.76	0.32	0.9	17.561	0.563
430	0.325	-1706.062	-18.418	-1687.644	0.32	0.902	19.708	0.575
440	0.333	-1706.062	-18.418	-1687.644	0.32	0.902	19.708	0.575
450	0.341	-1706.638	-18.498	-1688.14	0.32	0.895	18.234	0.601
460	0.348	-1706.335	-18.813	-1687.522	0.32	0.891	18.365	0.567
