iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-2086.484	-18.636	-2067.848	0.32	0.783	102.017	0.22
10	0.008	-1922.917	-13.372	-1909.545	0.32	0.797	106.944	0.44
20	0.016	-1809.344	-10.495	-1798.849	0.32	0.832	107.143	0.702
30	0.024	-1758.779	-8.343	-1750.437	0.32	0.865	107.55	1.134
40	0.031	-1751.436	-8.112	-1743.324	0.32	0.931	107.006	1.254
50	0.039	-1748.759	-8.303	-1740.456	0.32	0.954	103.852	1.224
60	0.046	-1737.521	-8.728	-1728.793	0.32	0.92	93.841	1.158
70	0.053	-1739.65	-8.844	-1730.806	0.32	0.952	96.205	1.108
80	0.061	-1737.754	-9.246	-1728.508	0.32	0.947	91.709	1.031
90	0.068	-1732.0	-9.824	-1722.175	0.32	0.923	79.054	1.0
100	0.076	-1731.224	-9.808	-1721.416	0.32	0.902	75.026	1.046
110	0.083	-1727.286	-10.841	-1716.445	0.32	0.952	68.705	0.894
120	0.091	-1726.932	-10.741	-1716.191	0.32	0.953	67.566	0.927
130	0.098	-1726.707	-10.859	-1715.849	0.32	0.95	67.88	0.898
140	0.106	-1727.637	-10.221	-1717.416	0.32	0.871	67.72	1.026
150	0.114	-1723.894	-11.085	-1712.808	0.32	0.907	62.772	0.899
160	0.121	-1723.974	-11.483	-1712.492	0.32	0.926	61.536	0.843
170	0.129	-1723.394	-11.982	-1711.412	0.32	0.942	57.552	0.805
180	0.136	-1720.532	-12.612	-1707.92	0.32	0.917	50.702	0.779
190	0.144	-1715.38	-13.397	-1701.983	0.32	0.949	43.765	0.758
200	0.151	-1715.049	-14.095	-1700.954	0.32	0.955	40.206	0.712
210	0.158	-1713.437	-14.607	-1698.83	0.32	0.91	36.871	0.685
220	0.166	-1714.274	-13.425	-1700.849	0.32	0.929	41.333	0.785
230	0.173	-1714.441	-13.207	-1701.234	0.32	0.907	42.317	0.8
240	0.181	-1714.441	-13.207	-1701.234	0.32	0.907	42.317	0.8
250	0.188	-1713.819	-13.733	-1700.086	0.32	0.937	40.321	0.756
260	0.196	-1710.471	-15.568	-1694.903	0.32	0.949	29.258	0.697
270	0.203	-1710.471	-15.568	-1694.903	0.32	0.949	29.258	0.697
280	0.211	-1710.471	-15.568	-1694.903	0.32	0.949	29.258	0.697
290	0.218	-1705.217	-16.212	-1689.005	0.32	0.931	25.94	0.68
300	0.226	-1705.217	-16.212	-1689.005	0.32	0.931	25.94	0.68
310	0.233	-1705.217	-16.212	-1689.005	0.32	0.931	25.94	0.68
320	0.241	-1704.785	-17.196	-1687.589	0.32	0.95	22.929	0.634
330	0.248	-1705.664	-18.29	-1687.374	0.32	0.912	19.445	0.594
340	0.256	-1705.883	-19.013	-1686.87	0.32	0.916	17.19	0.58
350	0.263	-1705.079	-18.803	-1686.277	0.32	0.944	17.527	0.595
360	0.271	-1703.93	-17.571	-1686.359	0.32	0.914	21.117	0.629
370	0.279	-1703.93	-17.571	-1686.359	0.32	0.914	21.117	0.629
380	0.286	-1706.495	-17.384	-1689.111	0.32	0.941	22.412	0.624
390	0.294	-1705.003	-16.838	-1688.164	0.32	0.936	23.61	0.657
400	0.301	-1705.003	-16.838	-1688.164	0.32	0.936	23.61	0.657
410	0.309	-1705.003	-16.838	-1688.164	0.32	0.936	23.61	0.657
420	0.317	-1705.469	-16.317	-1689.152	0.32	0.944	25.884	0.671
430	0.324	-1705.083	-16.894	-1688.189	0.32	0.928	23.165	0.659
440	0.332	-1704.328	-16.564	-1687.764	0.32	0.907	24.496	0.666
450	0.339	-1705.543	-17.384	-1688.159	0.32	0.92	22.69	0.615
460	0.347	-1709.846	-17.319	-1692.528	0.32	0.912	23.175	0.611
470	0.354	-1711.396	-18.118	-1693.278	0.32	0.945	21.891	0.563
480	0.362	-1703.812	-18.461	-1685.351	0.32	0.937	18.705	0.598
490	0.369	-1703.812	-18.461	-1685.351	0.32	0.937	18.705	0.598
500	0.377	-1703.812	-18.461	-1685.351	0.32	0.937	18.705	0.598
510	0.384	-1703.812	-18.461	-1685.351	0.32	0.937	18.705	0.598
520	0.392	-1703.812	-18.461	-1685.351	0.32	0.937	18.705	0.598
530	0.399	-1703.844	-17.603	-1686.241	0.32	0.925	21.062	0.628
540	0.407	-1703.844	-17.603	-1686.241	0.32	0.925	21.062	0.628
550	0.414	-1705.873	-17.896	-1687.978	0.32	0.903	21.061	0.596
560	0.422	-1705.938	-17.174	-1688.764	0.32	0.911	22.849	0.633
570	0.429	-1705.938	-17.174	-1688.764	0.32	0.911	22.849	0.633
580	0.437	-1703.824	-17.235	-1686.589	0.32	0.929	22.448	0.637
590	0.444	-1703.824	-17.235	-1686.589	0.32	0.929	22.448	0.637
600	0.452	-1705.713	-17.323	-1688.39	0.32	0.954	22.269	0.636
610	0.46	-1705.713	-17.323	-1688.39	0.32	0.954	22.269	0.636
620	0.467	-1705.713	-17.323	-1688.39	0.32	0.954	22.269	0.636
630	0.474	-1707.335	-19.828	-1687.507	0.32	0.963	16.301	0.536
640	0.482	-1706.954	-19.084	-1687.869	0.32	0.957	17.565	0.569
650	0.489	-1707.046	-21.768	-1685.278	0.32	0.934	12.202	0.486
660	0.497	-1708.274	-20.839	-1687.435	0.32	0.946	14.575	0.494
670	0.504	-1707.438	-20.464	-1686.974	0.32	0.915	15.019	0.509
680	0.512	-1706.198	-21.76	-1684.439	0.32	0.938	11.789	0.499
690	0.519	-1706.786	-22.405	-1684.38	0.32	0.907	10.413	0.492
700	0.527	-1706.786	-22.405	-1684.38	0.32	0.907	10.413	0.492
710	0.534	-1706.919	-22.886	-1684.033	0.32	0.914	9.758	0.481
720	0.542	-1708.035	-24.105	-1683.93	0.32	0.917	8.217	0.453
730	0.549	-1708.925	-23.327	-1685.597	0.32	0.909	9.542	0.457
740	0.557	-1707.846	-23.539	-1684.307	0.32	0.91	8.97	0.463
750	0.564	-1707.626	-22.796	-1684.83	0.32	0.924	10.334	0.468
760	0.572	-1708.454	-23.647	-1684.807	0.32	0.92	9.068	0.452
770	0.579	-1707.076	-23.141	-1683.934	0.32	0.943	9.603	0.47
780	0.587	-1707.076	-23.141	-1683.934	0.32	0.943	9.603	0.47
790	0.594	-1706.941	-21.196	-1685.745	0.32	0.921	13.272	0.498
800	0.602	-1706.049	-19.998	-1686.051	0.32	0.945	15.769	0.531
810	0.61	-1706.052	-18.778	-1687.274	0.32	0.901	18.641	0.565
820	0.617	-1705.576	-19.286	-1686.291	0.32	0.91	16.77	0.564
830	0.625	-1707.033	-18.125	-1688.908	0.32	0.877	19.442	0.608
840	0.632	-1706.693	-20.422	-1686.27	0.32	0.936	15.093	0.512
850	0.64	-1706.055	-20.76	-1685.295	0.32	0.909	13.238	0.533
860	0.647	-1706.055	-20.76	-1685.295	0.32	0.909	13.238	0.533
870	0.655	-1706.211	-20.316	-1685.895	0.32	0.915	13.991	0.549
880	0.662	-1706.336	-21.598	-1684.738	0.32	0.945	12.047	0.505
890	0.67	-1706.336	-21.598	-1684.738	0.32	0.945	12.047	0.505
900	0.677	-1706.868	-22.498	-1684.37	0.32	0.909	10.444	0.485
910	0.685	-1707.336	-20.64	-1686.696	0.32	0.875	13.534	0.532
920	0.692	-1707.336	-20.64	-1686.696	0.32	0.875	13.534	0.532
930	0.7	-1706.765	-22.342	-1684.423	0.32	0.939	10.987	0.481
940	0.707	-1706.182	-21.906	-1684.276	0.32	0.921	11.379	0.499
950	0.715	-1706.23	-20.969	-1685.261	0.32	0.948	13.366	0.516
960	0.723	-1706.205	-20.847	-1685.358	0.32	0.922	13.807	0.51
970	0.73	-1706.731	-20.892	-1685.838	0.32	0.896	13.456	0.514
980	0.738	-1706.534	-19.58	-1686.954	0.32	0.923	17.08	0.532
990	0.745	-1705.84	-19.481	-1686.359	0.32	0.908	16.044	0.565
1000	0.753	-1705.82	-18.948	-1686.872	0.32	0.928	17.5	0.579
1010	0.76	-1705.541	-19.471	-1686.07	0.32	0.917	16.279	0.561
1020	0.768	-1706.369	-18.833	-1687.536	0.32	0.953	19.051	0.557
1030	0.775	-1706.369	-18.833	-1687.536	0.32	0.953	19.051	0.557
1040	0.783	-1706.234	-18.837	-1687.398	0.32	0.918	18.952	0.554
1050	0.79	-1707.543	-18.255	-1689.288	0.32	0.964	20.939	0.573
1060	0.798	-1705.48	-19.241	-1686.239	0.32	0.928	17.183	0.56
1070	0.805	-1706.803	-19.778	-1687.024	0.32	0.941	16.767	0.525
1080	0.812	-1706.327	-19.666	-1686.661	0.32	0.903	15.353	0.567
1090	0.82	-1705.568	-19.561	-1686.007	0.32	0.913	16.361	0.55
1100	0.828	-1706.763	-18.541	-1688.223	0.32	0.88	18.445	0.591
1110	0.835	-1706.763	-18.541	-1688.223	0.32	0.88	18.445	0.591
1120	0.843	-1706.046	-19.291	-1686.754	0.32	0.894	16.751	0.563
1130	0.85	-1705.94	-18.993	-1686.947	0.32	0.96	17.32	0.585
1140	0.858	-1705.94	-18.993	-1686.947	0.32	0.96	17.32	0.585
1150	0.865	-1703.801	-18.219	-1685.582	0.32	0.933	19.322	0.606
1160	0.873	-1704.666	-16.875	-1687.791	0.32	0.944	23.948	0.647
1170	0.88	-1705.477	-16.396	-1689.082	0.32	0.95	25.828	0.664
1180	0.888	-1705.549	-16.599	-1688.949	0.32	0.939	24.439	0.667
1190	0.895	-1705.549	-16.599	-1688.949	0.32	0.939	24.439	0.667
1200	0.903	-1704.061	-16.961	-1687.1	0.32	0.931	23.386	0.647
1210	0.91	-1704.061	-16.961	-1687.1	0.32	0.931	23.386	0.647
1220	0.918	-1703.978	-17.252	-1686.726	0.32	0.92	22.161	0.64
1230	0.925	-1704.848	-17.072	-1687.776	0.32	0.906	22.397	0.654
1240	0.932	-1704.848	-17.072	-1687.776	0.32	0.906	22.397	0.654
1250	0.94	-1704.848	-17.072	-1687.776	0.32	0.906	22.397	0.654
1260	0.947	-1704.848	-17.072	-1687.776	0.32	0.906	22.397	0.654
1270	0.955	-1704.848	-17.072	-1687.776	0.32	0.906	22.397	0.654
1280	0.963	-1705.677	-17.697	-1687.98	0.32	0.913	21.613	0.605
1290	0.97	-1705.798	-18.466	-1687.332	0.32	0.929	19.898	0.569
1300	0.978	-1705.878	-18.119	-1687.759	0.32	0.906	19.776	0.603
1310	0.985	-1706.855	-17.814	-1689.042	0.32	0.88	20.536	0.614
1320	0.993	-1705.576	-18.883	-1686.693	0.32	0.911	17.777	0.577
1330	1.0	-1705.576	-18.883	-1686.693	0.32	0.911	17.777	0.577
1340	1.008	-1707.186	-19.252	-1687.935	0.32	0.961	17.25	0.563
1350	1.015	-1705.813	-18.197	-1687.615	0.32	0.914	19.556	0.601
1360	1.023	-1705.813	-18.197	-1687.615	0.32	0.914	19.556	0.601
1370	1.031	-1703.636	-18.283	-1685.354	0.32	0.922	19.013	0.606
1380	1.038	-1703.636	-18.283	-1685.354	0.32	0.922	19.013	0.606
1390	1.046	-1705.683	-18.651	-1687.032	0.32	0.909	18.459	0.582
1400	1.053	-1705.612	-18.49	-1687.122	0.32	0.915	18.859	0.588
