iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
810		0.816	-3271.132	-7.005	-3264.127	0.129	0.77	112.827	0.994
820		0.826	-3271.242	-7.158	-3264.084	0.166	0.755	112.391	0.983
830		0.837	-3270.294	-7.919	-3262.375	0.242	0.753	108.522	0.965
840		0.847	-3268.89	-7.727	-3261.162	0.206	0.757	105.459	0.952
850		0.857	-3268.89	-7.727	-3261.162	0.206	0.757	105.459	0.952
860		0.867	-3268.034	-8.21	-3259.825	0.195	0.779	95.676	0.896
870		0.877	-3266.11	-8.537	-3257.573	0.199	0.788	93.57	0.853
880		0.887	-3267.505	-8.418	-3259.087	0.204	0.785	96.755	0.862
890		0.897	-3266.108	-9.19	-3256.918	0.291	0.754	94.547	0.901
900		0.907	-3267.538	-8.775	-3258.763	0.233	0.768	94.234	0.857
910		0.917	-3266.254	-8.417	-3257.837	0.105	0.764	87.968	0.859
920		0.927	-3268.41	-8.112	-3260.298	0.094	0.68	84.197	0.956
930		0.937	-3263.475	-8.661	-3254.814	0.087	0.733	82.871	0.868
940		0.947	-3265.536	-8.602	-3256.934	0.11	0.681	79.799	0.879
950		0.957	-3264.165	-8.921	-3255.244	0.205	0.752	79.855	0.885
960		0.968	-3264.438	-8.757	-3255.681	0.193	0.759	79.161	0.906
970		0.978	-3261.465	-9.134	-3252.331	0.208	0.723	79.143	0.854
980		0.988	-3261.465	-9.134	-3252.331	0.208	0.723	79.143	0.854
990		0.998	-3261.465	-9.134	-3252.331	0.208	0.723	79.143	0.854
1000		1.008	-3266.129	-8.499	-3257.63	0.129	0.769	84.737	0.861
1010		1.018	-3263.212	-8.47	-3254.741	0.116	0.737	83.731	0.873
1020		1.028	-3263.212	-8.47	-3254.741	0.116	0.737	83.731	0.873
1030		1.038	-3263.528	-8.362	-3255.166	0.119	0.722	84.126	0.89
1040		1.048	-3264.234	-8.516	-3255.718	0.156	0.726	85.643	0.861
1050		1.058	-3263.782	-8.365	-3255.417	0.152	0.736	86.816	0.878
1060		1.068	-3264.373	-8.5	-3255.874	0.14	0.708	83.464	0.87
1070		1.078	-3261.907	-9.272	-3252.635	0.221	0.736	80.519	0.839
1080		1.089	-3262.167	-9.207	-3252.96	0.189	0.765	76.171	0.841
1090		1.099	-3261.468	-9.642	-3251.826	0.126	0.769	71.074	0.772
1100		1.109	-3263.074	-9.02	-3254.055	0.145	0.699	73.344	0.858
1110		1.119	-3261.171	-9.31	-3251.861	0.144	0.745	68.976	0.847
1120		1.13	-3260.049	-10.849	-3249.2	0.257	0.775	69.879	0.729
1130		1.14	-3261.297	-10.392	-3250.905	0.271	0.755	69.298	0.828
1140		1.15	-3260.816	-9.923	-3250.894	0.22	0.756	70.902	0.804
1150		1.16	-3262.745	-10.438	-3252.307	0.199	0.763	63.756	0.758
1160		1.17	-3258.787	-10.665	-3248.122	0.12	0.734	59.421	0.72
1170		1.181	-3259.865	-11.41	-3248.455	0.097	0.796	57.431	0.654
1180		1.191	-3261.667	-11.279	-3250.389	0.102	0.827	57.206	0.67
1190		1.201	-3259.218	-10.866	-3248.352	0.177	0.781	56.747	0.74
1200		1.211	-3256.334	-11.369	-3244.965	0.187	0.768	57.301	0.678
1210		1.221	-3256.334	-11.369	-3244.965	0.187	0.768	57.301	0.678
1220		1.232	-3257.03	-11.27	-3245.761	0.204	0.761	58.462	0.696
1230		1.242	-3258.538	-11.092	-3247.446	0.138	0.727	56.621	0.69
