"id","flower_colour","rosea","sulfurea"
"M1085","FR","R/R","S/+"
"M1086","FR","R/R","S/+"
"M1087","FR","R/R","S/+"
"M1089","FR","R/R","S/+"
"M1098","FR","R/R","S/+"
"M1103","FR","R/R","S/+"
"M1107","FR","R/R","S/+"
"M1115","FR","R/R","S/+"
"M1117","FR","R/R","S/+"
"M1120","FR","R/R","S/+"
"M1121","FR","R/R","S/+"
"M1126","FR","R/R","S/+"
"M1128","FR","R/R","S/+"
"M1129","FR","R/R","S/+"
"M1144","FR","R/R","S/+"
"M1155","Ye","r/r","s/s"
"M1156","FR","R/R","S/+"
"M1159","Ye","r/r","s/s"
"M1160","Ye","r/r","s/s"
"M1164","Ye","r/r","s/s"
"M1171","FR","R/R","S/+"
"M1177","Ye","r/r","s/s"
"M1180","FR","R/R","S/+"
"M1193","Wh","r/r","S/+"
"M1200","Ye","r/r","s/s"
"M1214","WR","R/r","S/+"
"M1225","WR","R/r","S/+"
"M1251","FR","R/R","S/+"
"M1253","WR","R/r","S/+"
"M1293","FR","R/R","S/+"
"M1299","FR","R/R","S/+"
"M1302","Ye","r/r","s/s"
"M1308","WO","R/r","s/s"
"M1334","FR","R/R","S/+"
"M1335","Ye","r/r","s/s"
"M1337","FR","R/R","S/+"
"M1338","FR","R/R","S/+"
"M1342","FR","R/R","S/+"
"L0729","FR","R/R","S/+"
"M1347","FR","R/R","S/+"
"M1349","FR","R/R","S/+"
"M1382","FO","R/R","s/s"
"M1385","FO","R/R","s/s"
"M1400","WR","R/r","S/+"
"M1410","Ye","r/r","s/s"
"M1420","Ye","r/r","s/s"
"M1449","Ye","r/r","s/s"
"M1453","Ye","r/r","s/s"
"J0420","FR","R/R","S/+"
"M1504","Ye","r/r","s/s"
"M1509","FR","R/R","S/+"
"M1515","FR","R/R","S/+"
"M1520","Ye","r/r","s/s"
"M1524","FR","R/R","S/+"
"M1548","Ye","r/r","s/s"
"M1635","WO","R/r","s/s"
"M1711","FR","R/R","S/+"
"M1804","FR","R/R","S/+"
"J1101","FR","R/R","S/+"
"M1888","FR","R/R","S/+"
"M1893","FR","R/R","S/+"
"M1898","FO","R/R","s/s"
"M1900","WR","R/r","S/+"
"M1902","FR","R/R","S/+"
"M1957","FR","R/R","S/+"
"M1970","Ye","r/r","s/s"
"M1976","FR","R/R","S/+"
"M1981","Ye","r/r","s/s"
"L1181","WR","R/r","S/+"
"M1997","Wh","r/r","S/+"
"M2024","FR","R/R","S/+"
"M2026","WR","R/r","S/+"
"M2028","FR","R/R","S/+"
"M2029","FR","R/R","S/+"
"M2030","FR","R/R","S/+"
"M2033","FR","R/R","S/+"
"M2035","FR","R/R","S/+"
"M2037","FR","R/R","S/+"
"M2047","FR","R/R","S/+"
"M3089",NA,NA,NA
"M3090",NA,NA,NA
"M3091",NA,NA,NA
"M3092",NA,NA,NA
"M3093",NA,NA,NA
"M3094",NA,NA,NA
"M3095",NA,NA,NA
"M3096",NA,NA,NA
"M3097",NA,NA,NA
"M3099","WO","R/r","s/s"
"M3100",NA,NA,NA
"M3101","WO","R/r","s/s"
"M3102",NA,NA,NA
"M3103","Ye","r/r","s/s"
"M3104",NA,NA,NA
"M3105","Ye","r/r","s/s"
"M0066",NA,NA,NA
"M1811","FR","R/R","S/+"
"M1812","FR","R/R","S/+"
"M0233","FR","R/R","S/+"
"M1844","FR","R/R","S/+"
"M1873","FR","R/R","S/+"
"M1964","FR","R/R","S/+"
"M1966","Ye","r/r","s/s"
"L0933","WR","R/r","S/+"
"M1969","WO","R/r","s/s"
"M1971","FR","R/R","S/+"
"M1973","FR","R/R","S/+"
"M1975","FR","R/R","S/+"
"M1979","FR","R/R","S/+"
"M1991","FR","R/R","S/+"
"M1993","FO","R/R","s/s"
"K1200","FR","R/R","S/+"
"M2000","FR","R/R","S/+"
"M2001","FR","R/R","S/+"
"M2002","FR","R/R","S/+"
"M2003","FR","R/R","S/+"
"M2004","Ye","r/r","s/s"
"M2005","WR","R/r","S/+"
"M2006","FR","R/R","S/+"
"M2007","WR","R/r","S/+"
"M2008","FR","R/R","S/+"
"M1455","FR","R/R","S/+"
"M2010","FR","R/R","S/+"
"M2012","FR","R/R","S/+"
"M2015","FR","R/R","S/+"
"M0067","FR","R/R","S/+"
"M2019",NA,NA,NA
"M2020","WO","R/r","s/s"
"M2021","WR","R/r","S/+"
"M2022","FR","R/R","S/+"
"M2023","FR","R/R","S/+"
"K1085","FR","R/R","S/+"
"M2055","WO","R/r","s/s"
"M2058","FR","R/R","S/+"
"M2059","FR","R/R","S/+"
"M1914","FR","R/R","S/+"
"M2062","FR","R/R","S/+"
"M2064","WR","R/r","S/+"
"M2066",NA,NA,NA
"M2069","FR","R/R","S/+"
